row_name,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
intangable_head,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
intangible_acct301_organization,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
intangible_acct302_franchises_consents,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
intangible_acct303_misc,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
intangible_total,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
production_head,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
steam_head,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
steam_acct310_land,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
steam_acct311_structures,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
steam_acct312_boiler_equip,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
steam_acct313_engines,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
steam_acct314_turbogenerators,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
steam_acct315_accessory_equip,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
steam_acct316_misc_equip,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
steam_acct317_asset_retirement,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
steam_total,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
nuclear_head,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
nuclear_acct320_land,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
nuclear_acct321_structures,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
nuclear_acct322_reactor_equip,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
nuclear_acct323_turbogenerators,20,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
nuclear_acct324_accessory_equip,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
nuclear_acct325_misc_equip,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
nuclear_acct326_asset_retirement,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
nuclear_total,23,23,23,23,23,23,23,23,23,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
hydro_head,24,24,24,24,24,24,24,24,24,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
hydro_acct330_land,25,25,25,25,25,25,25,25,25,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
hydro_acct331_structures,26,26,26,26,26,26,26,26,26,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
hydro_acct332_reservoirs_dams_waterways,27,27,27,27,27,27,27,27,27,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
hydro_acct333_wheels_turbines_generators,28,28,28,28,28,28,28,28,28,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
hydro_acct334_accessory_equip,29,29,29,29,29,29,29,29,29,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
hydro_acct335_misc_equip,30,30,30,30,30,30,30,30,30,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
hydro_acct336_roads_railroads_bridges,31,31,31,31,31,31,31,31,31,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
hydro_acct337_asset_retirement,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
hydro_total,32,32,32,32,32,32,32,32,32,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
other_head,33,33,33,33,33,33,33,33,33,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
other_acct340_land,34,34,34,34,34,34,34,34,34,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
other_acct341_structures,35,35,35,35,35,35,35,35,35,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
other_acct342_fuel_accessories,36,36,36,36,36,36,36,36,36,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
other_acct343_prime_movers,37,37,37,37,37,37,37,37,37,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
other_acct344_generators,38,38,38,38,38,38,38,38,38,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
other_acct345_accessory_equip,39,39,39,39,39,39,39,39,39,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
other_acct346_misc_equip,40,40,40,40,40,40,40,40,40,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
other_acct347_asset_retirement,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
other_total,41,41,41,41,41,41,41,41,41,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
production_total,42,42,42,42,42,42,42,42,42,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
transmission_head,43,43,43,43,43,43,43,43,43,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
transmission_acct350_land,44,44,44,44,44,44,44,44,44,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
transmission_acct352_structures,45,45,45,45,45,45,45,45,45,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
transmission_acct353_station_equip,46,46,46,46,46,46,46,46,46,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
transmission_acct354_towers,47,47,47,47,47,47,47,47,47,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
transmission_acct355_poles,48,48,48,48,48,48,48,48,48,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
transmission_acct356_overhead_conductors,49,49,49,49,49,49,49,49,49,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
transmission_acct357_underground_conduit,50,50,50,50,50,50,50,50,50,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
transmission_acct358_underground_conductors,51,51,51,51,51,51,51,51,51,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
transmission_acct359_roads_trails,52,52,52,52,52,52,52,52,52,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
transmission_acct359_1_asset_retirement,-1,-1,-1,-1,-1,-1,-1,-1,-1,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
transmission_total,53,53,53,53,53,53,53,53,53,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
distribution_head,54,54,54,54,54,54,54,54,54,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
distribution_acct360_land,55,55,55,55,55,55,55,55,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
distribution_acct361_structures,56,56,56,56,56,56,56,56,56,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61
distribution_acct362_station_equip,57,57,57,57,57,57,57,57,57,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
distribution_acct363_storage_battery_equip,58,58,58,58,58,58,58,58,58,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
distribution_acct364_poles_towers,59,59,59,59,59,59,59,59,59,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
distribution_acct365_overhead_conductors,60,60,60,60,60,60,60,60,60,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
distribution_acct366_underground_conduit,61,61,61,61,61,61,61,61,61,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
distribution_acct367_underground_conductors,62,62,62,62,62,62,62,62,62,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
distribution_acct368_line_transformers,63,63,63,63,63,63,63,63,63,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
distribution_acct369_services,64,64,64,64,64,64,64,64,64,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
distribution_acct370_meters,65,65,65,65,65,65,65,65,65,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
distribution_acct371_customer_installations,66,66,66,66,66,66,66,66,66,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71
distribution_acct372_leased_property,67,67,67,67,67,67,67,67,67,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
distribution_acct373_street_lighting,68,68,68,68,68,68,68,68,68,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
distribution_acct374_asset_retirement,-1,-1,-1,-1,-1,-1,-1,-1,-1,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
