year_index,utility_id_eia,plant_id_eia,boiler_id,generator_id
2009,utility_id,plant_code,boiler_id,
2010,utility_id,plant_code,boiler_id,generator_id
2011,utility_id,plant_code,boiler_id,generator_id
2012,utility_id,plant_code,boiler_id,generator_id
2013,utility_id,plant_code,boiler_id,generator_id
2014,utility_id,plant_code,boiler_id,generator_id
2015,utility_id,plant_code,boiler_id,generator_id
2016,utility_id,plant_code,boiler_id,generator_id
2017,utility_id,plant_code,boiler_id,generator_id
2018,utility_id,plant_code,boiler_id,generator_id
