year_index,2008
utility_id_eia,utilcode
utility_name_eia,utilname
plant_id_eia,plntcode
plant_name_eia,plntname
state,state
generator_id,gencode
prime_mover_code,primemover
unit_id_eia,unit_code
operational_status_code,status
ownership_code,ownership
capacity_mw,nameplate
summer_capacity_mw,summer_capability
winter_capacity_mw,winter_capability
operating_month,operating_month
operating_year,operating_year
retirement_month,retirement_month
retirement_year,retirement_year
planned_retirement_month,planned_retirement_month
planned_retirement_year,planned_retirement_year
deliver_power_transgrid,deliver_power_transgrid
associated_combined_heat_power,cogenerator
syncronized_transmission_grid,synchronized_grid
duct_burners,duct_burners
solid_fuel_gasification,sfg_system
energy_source_code_1,energy_source_1
energy_source_code_2,energy_source_2
energy_source_code_3,energy_source_3
energy_source_code_4,energy_source_4
energy_source_code_5,energy_source_5
energy_source_code_6,energy_source_6
turbines_num,turbines
multiple_fuels,multiple_fuels
planned_modifications,planned_modifications
planned_net_summer_capacity_uprate_mw,planned_uprates_net_summer_cap
planned_net_winter_capacity_uprate_mw,planned_uprates_net_winter_cap
planned_uprate_month,planned_uprates_month
planned_uprate_year,planned_uprates_year
planned_net_summer_capacity_derate_mw,planned derates_net_summer_cap
planned_net_winter_capacity_derate_mw,planned_derates_net_winter_cap
planned_derate_month,planned_derates_month
planned_derate_year,planned_derates_year
planned_new_prime_mover_code,planned_new_primemover
planned_energy_source_code_1,planned_energy_source_1
planned_repower_month,planned_repower_month
planned_repower_year,planned_repower_year
other_planned_modifications,other_mods
other_modifications_month,other_mod_month
other_modifications_year,other_mod_year
