year_index,utility_id_eia,utility_name_eia,plant_id_eia,plant_name_eia,state,county,generator_id,technology_description,prime_mover_code,unit_id_eia,operational_status_code,capacity_mw,summer_capacity_mw,winter_capacity_mw,ownership_code,operating_month,operating_year,retirement_month,retirement_year,energy_source_code_1,energy_source_code_2,energy_source_code_3,energy_source_code_4,energy_source_code_5,energy_source_code_6,multiple_fuels,deliver_power_transgrid,syncronized_transmission_grid,turbines_num,associated_combined_heat_power,sector_name,sector_id,topping_bottoming_code,duct_burners,planned_modifications,planned_net_summer_capacity_uprate_mw,planned_net_winter_capacity_uprate_mw,planned_uprate_month,planned_uprate_year,planned_net_summer_capacity_derate_mw,planned_net_winter_capacity_derate_mw,planned_derate_month,planned_derate_year,planned_new_prime_mover_code,planned_energy_source_code_1,planned_repower_month,planned_repower_year,other_planned_modifications,other_modifications_month,other_modifications_year,solid_fuel_gasification,pulverized_coal_tech,fluidized_bed_tech,subcritical_tech,supercritical_tech,ultrasupercritical_tech,carbon_capture,startup_source_code_1,startup_source_code_2,startup_source_code_3,startup_source_code_4,bypass_heat_recovery,rto_iso_lmp_node_id,rto_iso_location_wholesale_reporting_id,minimum_load_mw,uprate_derate_during_year,uprate_derate_completed_month,uprate_derate_completed_year,nameplate_power_factor,turbines_inverters_hydrokinetics,time_cold_shutdown_full_load_code,stoker_tech,other_combustion_tech,cofire_fuels,switch_oil_gas
2009,utility_id,utility_name,plant_code,plant_name,state,county,generator_id,,prime_mover,unit_code,status,nameplate,summer_capability,winter_capability,ownership,operating_month,operating_year,retirement_month,retirement_year,energy_source_1,energy_source_2,energy_source_3,energy_source_4,energy_source_5,energy_source_6,multiple_fuels,deliver_power_transgrid,synchronized_grid,turbines,cogenerator,sector_name,,topping_bottoming,duct_burners,planned_modifications,planned_uprates_net_summer_cap,planned_uprates_net_winter_cap,planned_uprates_month,planned_uprates_year,planned_derates_net_summer_cap,planned_derates_net_winter_cap,planned_derates_month,planned_derates_year,planned_new_primemover,planned_energy_source_1,planned_repower_month,planned_repower_year,other_mods,other_mod_month,other_mod_year,sfg_system,pulverized_coal,fluidized_bed,subcritical,supercritical,ultrasupercritical,carboncapture,startup_source_1,startup_source_2,startup_source_3,startup_source_4,,,,,,,,,,,,,,
2010,utility_id,utility_name,plant_code,plant_name,state,county,generator_id,,prime_mover,unit_code,status,nameplate,summer_capability,winter_capability,ownership,operating_month,operating_year,retirement_month,retirement_year,energy_source_1,energy_source_2,energy_source_3,energy_source_4,energy_source_5,energy_source_6,multiple_fuels,deliver_power_transgrid,synchronized_grid,turbines,cogenerator,sector_name,sector_number,topping_bottoming,duct_burners,planned_modifications,planned_uprates_net_summer_cap,planned_uprates_net_winter_cap,planned_uprates_month,planned_uprates_year,planned_derates_net_summer_cap,planned_derates_net_winter_cap,planned_derates_month,planned_derates_year,planned_new_primemover,planned_energy_source_1,planned_repower_month,planned_repower_year,other_mods,other_mod_month,other_mod_year,sfg_system,pulverized_coal,fluidized_bed,subcritical,supercritical,ultrasupercritical,carboncapture,startup_source_1,startup_source_2,startup_source_3,startup_source_4,,,,,,,,,,,,,,
2011,utility_id,utility_name,plant_code,plant_name,state,county,generator_id,,prime_mover,unit_code,status,nameplate,summer_capability,winter_capability,ownership,operating_month,operating_year,retirement_month,retirement_year,energy_source_1,energy_source_2,energy_source_3,energy_source_4,energy_source_5,energy_source_6,multiple_fuels,deliver_power_transgrid,synchronized_grid,turbines,cogenerator,sector_name,sector,topping_bottoming,duct_burners,planned_modifications,planned_uprates_net_summer_cap,planned_uprates_net_winter_cap,planned_uprates_month,planned_uprates_year,planned_derates_net_summer_cap,planned_derates_net_winter_cap,planned_derates_month,planned_derates_year,planned_new_primemover,planned_energy_source_1,planned_repower_month,planned_repower_year,other_mods,other_mod_month,other_mod_year,sfg_system,pulverized_coal,fluidized_bed,subcritical,supercritical,ultrasupercritical,carboncapture,startup_source_1,startup_source_2,startup_source_3,startup_source_4,,,,,,,,,,,,,,
2012,utility_id,utility_name,plant_code,plant_name,state,county,generator_id,,prime_mover,unit_code,status,nameplate_capacity_mw,summer_capacity_mw,winter_capacity_mw,ownership,operating_month,operating_year,retirement_month,retirement_year,energy_source_1,energy_source_2,energy_source_3,energy_source_4,energy_source_5,energy_source_6,multiple_fuels,deliver_power_to_transmission_grid,synchronized_to_transmission_grid,turbines,cogenerator,sector_name,sector,topping_or_bottoming,duct_burners,planned_modifications,planned_uprates_net_summer_capacity,planned_uprates_net_winter_capacity,planned_uprate_month,planned_uprate_year,planned_derates_net_summer_capacity,planned_derates_net_winter_capacity,planned_derates_month,planned_derates_year,planned_new_prime_mover,planned_energy_source_1,planned_repower_month,planned_repower_year,other_modifications,other_modifications_month,other_modifications_year,solid_fuel_gasification_system,pulverized_coal_technology,fluidized_bed_technology,subcritical_technology,supercritical_technology,ultrasupercritical_technology,carbon_capture_technology,startup_source_1,startup_source_2,startup_source_3,startup_source_4,,,,,,,,,,,,,,
2013,utility_id,utility_name,plant_code,plant_name,state,county,generator_id,,prime_mover,unit_code,status,nameplate_capacity_mw,summer_capacity_mw,winter_capacity_mw,ownership,operating_month,operating_year,retirement_month,retirement_year,energy_source_1,energy_source_2,energy_source_3,energy_source_4,energy_source_5,energy_source_6,,,synchronized_to_transmission_grid,,associated_with_combined_heat_and_power_system,sector_name,sector,topping_or_bottoming,duct_burners,,,,,,,,,,,,,,,,,solid_fuel_gasification_system,pulverized_coal_technology,fluidized_bed_technology,subcritical_technology,supercritical_technology,ultrasupercritical_technology,carbon_capture_technology,startup_source_1,startup_source_2,startup_source_3,startup_source_4,can_bypass_heat_recovery_steam_generator,rto_iso_lmp_node_designation,rto_iso_location_designation_for_reporting_wholesale_sales_data_to_ferc,minimum_load_mw,uprate_or_derate_completed_during_year,month_uprate_or_derate_completed,year_uprate_or_derate_completed,nameplate_power_factor,turbines_inverters_or_hydrokinetic_buoys,time_from_cold_shutdown_to_full_load,stoker_technology,other_combustion_technology,cofire_fuels,switch_between_oil_and_natural_gas
2014,utility_id,utility_name,plant_code,plant_name,state,county,generator_id,technology,prime_mover,unit_code,status,nameplate_capacity_mw,summer_capacity_mw,winter_capacity_mw,ownership,operating_month,operating_year,retirement_month,retirement_year,energy_source_1,energy_source_2,energy_source_3,energy_source_4,energy_source_5,energy_source_6,,,synchronized_to_transmission_grid,,associated_with_combined_heat_and_power_system,sector_name,sector,topping_or_bottoming,duct_burners,,,,,,,,,,,,,,,,,solid_fuel_gasification_system,pulverized_coal_technology,fluidized_bed_technology,subcritical_technology,supercritical_technology,ultrasupercritical_technology,carbon_capture_technology,startup_source_1,startup_source_2,startup_source_3,startup_source_4,can_bypass_heat_recovery_steam_generator,rto_iso_lmp_node_designation,rto_iso_location_designation_for_reporting_wholesale_sales_data_to_ferc,minimum_load_mw,uprate_or_derate_completed_during_year,month_uprate_or_derate_completed,year_uprate_or_derate_completed,nameplate_power_factor,turbines_inverters_or_hydrokinetic_buoys,time_from_cold_shutdown_to_full_load,stoker_technology,other_combustion_technology,cofire_fuels,switch_between_oil_and_natural_gas
2015,utility_id,utility_name,plant_code,plant_name,state,county,generator_id,technology,prime_mover,unit_code,status,nameplate_capacity_mw,summer_capacity_mw,winter_capacity_mw,ownership,operating_month,operating_year,retirement_month,retirement_year,energy_source_1,energy_source_2,energy_source_3,energy_source_4,energy_source_5,energy_source_6,,,synchronized_to_transmission_grid,,associated_with_combined_heat_and_power_system,sector_name,sector,topping_or_bottoming,duct_burners,,,,,,,,,,,,,,,,,solid_fuel_gasification_system,pulverized_coal_technology,fluidized_bed_technology,subcritical_technology,supercritical_technology,ultrasupercritical_technology,carbon_capture_technology,startup_source_1,startup_source_2,startup_source_3,startup_source_4,can_bypass_heat_recovery_steam_generator,rto_iso_lmp_node_designation,rto_iso_location_designation_for_reporting_wholesale_sales_data_to_ferc,minimum_load_mw,uprate_or_derate_completed_during_year,month_uprate_or_derate_completed,year_uprate_or_derate_completed,nameplate_power_factor,turbines_inverters_or_hydrokinetic_buoys,time_from_cold_shutdown_to_full_load,stoker_technology,other_combustion_technology,cofire_fuels,switch_between_oil_and_natural_gas
2016,utility_id,utility_name,plant_code,plant_name,state,county,generator_id,technology,prime_mover,unit_code,status,nameplate_capacity_mw,summer_capacity_mw,winter_capacity_mw,ownership,operating_month,operating_year,retirement_month,retirement_year,energy_source_1,energy_source_2,energy_source_3,energy_source_4,energy_source_5,energy_source_6,multiple_fuels,,synchronized_to_transmission_grid,,associated_with_combined_heat_and_power_system,sector_name,sector,topping_or_bottoming,duct_burners,,,,,,,,,,,,,,,,,solid_fuel_gasification_system,pulverized_coal_technology,fluidized_bed_technology,subcritical_technology,supercritical_technology,ultrasupercritical_technology,carbon_capture_technology,startup_source_1,startup_source_2,startup_source_3,startup_source_4,can_bypass_heat_recovery_steam_generator,rto_iso_lmp_node_designation,rto_iso_location_designation_for_reporting_wholesale_sales_data_to_ferc,minimum_load_mw,uprate_or_derate_completed_during_year,month_uprate_or_derate_completed,year_uprate_or_derate_completed,nameplate_power_factor,turbines_or_hydrokinetic_buoys,time_from_cold_shutdown_to_full_load,stoker_technology,other_combustion_technology,cofire_fuels,switch_between_oil_and_natural_gas
2017,utility_id,utility_name,plant_code,plant_name,state,county,generator_id,technology,prime_mover,unit_code,status,nameplate_capacity_mw,summer_capacity_mw,winter_capacity_mw,ownership,operating_month,operating_year,retirement_month,retirement_year,energy_source_1,energy_source_2,energy_source_3,energy_source_4,energy_source_5,energy_source_6,multiple_fuels,,synchronized_to_transmission_grid,,associated_with_combined_heat_and_power_system,sector_name,sector,topping_or_bottoming,duct_burners,,,,,,,,,,,,,,,,,solid_fuel_gasification_system,pulverized_coal_technology,fluidized_bed_technology,subcritical_technology,supercritical_technology,ultrasupercritical_technology,carbon_capture_technology,startup_source_1,startup_source_2,startup_source_3,startup_source_4,can_bypass_heat_recovery_steam_generator,rto_iso_lmp_node_designation,rto_iso_location_designation_for_reporting_wholesale_sales_data_to_ferc,minimum_load_mw,uprate_or_derate_completed_during_year,month_uprate_or_derate_completed,year_uprate_or_derate_completed,nameplate_power_factor,turbines_or_hydrokinetic_buoys,time_from_cold_shutdown_to_full_load,stoker_technology,other_combustion_technology,cofire_fuels,switch_between_oil_and_natural_gas
2018,utility_id,utility_name,plant_code,plant_name,state,county,generator_id,technology,prime_mover,unit_code,status,nameplate_capacity_mw,summer_capacity_mw,winter_capacity_mw,ownership,operating_month,operating_year,retirement_month,retirement_year,energy_source_1,energy_source_2,energy_source_3,energy_source_4,energy_source_5,energy_source_6,multiple_fuels,,synchronized_to_transmission_grid,,associated_with_combined_heat_and_power_system,sector_name,sector,topping_or_bottoming,duct_burners,,,,,,,,,,,,,,,,,solid_fuel_gasification_system,pulverized_coal_technology,fluidized_bed_technology,subcritical_technology,supercritical_technology,ultrasupercritical_technology,carbon_capture_technology,startup_source_1,startup_source_2,startup_source_3,startup_source_4,can_bypass_heat_recovery_steam_generator,rto_iso_lmp_node_designation,rto_iso_location_designation_for_reporting_wholesale_sales_data_to_ferc,minimum_load_mw,uprate_or_derate_completed_during_year,month_uprate_or_derate_completed,year_uprate_or_derate_completed,nameplate_power_factor,turbines_or_hydrokinetic_buoys,time_from_cold_shutdown_to_full_load,stoker_technology,other_combustion_technology,cofire_fuels,switch_between_oil_and_natural_gas
