year_index,2020
utility_id_eia,entity id
utility_name_eia,entity_name
plant_id_eia,plant_id
plant_name_eia,plant_name
state,plant_state
county,county
generator_id,generator_id
prime_mover_code,prime_mover_code
unit_id_eia,unit_code
operational_status_code,status
ownership_code,
duct_burners,
capacity_mw,nameplate_capacity_mw
summer_capacity_mw,net_summer_capacity_mw
winter_capacity_mw,net_winter_capacity_mw
operating_month,operating_month
operating_year,operating_year
energy_source_code_1,energy_source_code
energy_source_code_2,
energy_source_code_3,
energy_source_code_4,
energy_source_code_5,
energy_source_code_6,
multiple_fuels,
deliver_power_transgrid,
syncronized_transmission_grid,
turbines_num,
associated_combined_heat_power,
sector_name,sector
sector_id,
topping_bottoming_code,
planned_modifications,
planned_net_summer_capacity_uprate_mw,planned_uprate_of_summer_capacity_mw
planned_net_winter_capacity_uprate_mw,
planned_uprate_month,planned_uprate_month
planned_uprate_year,planned_uprate_year
planned_net_summer_capacity_derate_mw,planned_derate_of_summer_capacity_mw
planned_net_winter_capacity_derate_mw,
planned_derate_month,planned_derate_month
planned_derate_year,planned_derate_year
planned_new_prime_mover_code,
planned_energy_source_code_1,
planned_repower_month,
planned_repower_year,
other_planned_modifications,
other_modifications_month,
other_modifications_year,
planned_retirement_month,planned_retirement_month
planned_retirement_year,planned_retirement_year
solid_fuel_gasification,
pulverized_coal_tech,
fluidized_bed_tech,
subcritical_tech,
supercritical_tech,
ultrasupercritical_tech,
carbon_capture,
startup_source_code_1,
startup_source_code_2,
startup_source_code_3,
startup_source_code_4,
technology_description,technology
turbines_inverters_hydrokinetics,
time_cold_shutdown_full_load_code,
stoker_tech,
other_combustion_tech,
planned_new_capacity_mw,
cofire_fuels,
switch_oil_gas,
bypass_heat_recovery,
rto_iso_lmp_node_id,
rto_iso_location_wholesale_reporting_id,
nameplate_power_factor,
minimum_load_mw,
uprate_derate_during_year,
uprate_derate_completed_month,
uprate_derate_completed_year,
