year_index,2019,2020
utility_id_eia,utility_id,entity id
utility_name_eia,utility_name,entity name
plant_id_eia,plant_code,plant id
plant_name_eia,plant_name,plant name
state,state,plant_state
county,county,county
generator_id,generator_id,generator_id
technology_description,technology,technology
prime_mover_code,prime_mover,prime_mover_code
operational_status_code,status,status
capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw
summer_capacity_mw,summer_capacity_mw,net_summer_capacity_mw
winter_capacity_mw,winter_capacity_mw,net_winter_capacity_mw
unit_id_eia,unit_code,unit_code
original_planned_operating_month,effective_month,
original_planned_operating_year,effective_year,
current_planned_operating_month,current_month,planned_operation_month
current_planned_operating_year,current_year,planned_operation_year
energy_source_code_1,energy_source_1,energy_source_code
energy_source_code_2,energy_source_2,
energy_source_code_3,energy_source_3,
energy_source_code_4,energy_source_4,
energy_source_code_5,energy_source_5,
energy_source_code_6,energy_source_6,
multiple_fuels,multiple_fuels,
ownership_code,ownership,
turbines_num,,
associated_combined_heat_power,associated_with_combined_heat_and_power_system,
sector_name,sector_name,sector
sector_id,sector,
duct_burners,duct_burners,
solid_fuel_gasification,solid_fuel_gasification_system,
pulverized_coal_tech,pulverized_coal_technology,
fluidized_bed_tech,fluidized_bed_technology,
subcritical_tech,subcritical_technology,
supercritical_tech,supercritical_technology,
ultrasupercritical_tech,ultrasupercritical_technology,
carbon_capture,carbon_capture_technology,
startup_source_code_1,,
startup_source_code_2,,
startup_source_code_3,,
startup_source_code_4,,
summer_estimated_capability_mw,,
winter_estimated_capability_mw,,
operating_switch,,
bypass_heat_recovery,can_bypass_heat_recovery_steam_generator,
rto_iso_lmp_node_id,rto_iso_lmp_node_designation,
rto_iso_location_wholesale_reporting_id,rto_iso_location_designation_for_reporting_wholesale_sales_data_to_ferc,
nameplate_power_factor,nameplate_power_factor,
turbines_inverters_hydrokinetics,turbines_or_hydrokinetic_buoys,
stoker_tech,stoker_technology,
other_combustion_tech,other_combustion_technology,
switch_oil_gas,switch_between_oil_and_natural_gas,
cofire_fuels,cofire_fuels,
previously_canceled,previously_canceled,
