year_index,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
report_year,0,0,0,0,0,0,0,0,0,0,0,0
utility_id_eia,1,1,1,1,1,1,1,1,1,1,1,1
utility_name_eia,2,2,2,2,2,2,2,2,2,2,2,2
sales_to_ultimate_consumers_mwh,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
sales_for_resale_mwh,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
entity_type,-1,-1,-1,-1,3,3,3,3,3,4,4,4
nerc_region,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
state,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,3
short_form,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,5
residential_energy_efficiency_incremental_effects_mwh,3,3,3,3,4,4,4,4,4,6,6,6
commercial_energy_efficiency_incremental_effects_mwh,4,4,4,4,5,5,5,5,5,7,7,7
industrial_energy_efficiency_incremental_effects_mwh,5,5,5,5,6,6,6,6,6,8,8,8
other_energy_efficiency_incremental_effects_mwh,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
transportation_energy_efficiency_incremental_effects_mwh,6,6,6,6,7,7,7,7,7,9,9,9
total_energy_efficiency_incremental_effects_mwh,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,10,10
residential_energy_efficiency_annual_effects_mwh,11,11,11,11,12,12,12,12,12,16,16,16
commercial_energy_efficiency_annual_effects_mwh,12,12,12,12,13,13,13,13,13,17,17,17
industrial_energy_efficiency_annual_effects_mwh,13,13,13,13,14,14,14,14,14,18,18,18
other_energy_efficiency_annual_effects_mwh,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
transportation_energy_efficiency_annual_effects_mwh,14,14,14,14,15,15,15,15,15,19,19,19
total_energy_efficiency_annual_effects_mwh,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,20
residential_energy_efficiency_incremental_actual_peak_reduction_mw,7,7,7,7,8,8,8,8,8,11,11,11
commercial_energy_efficiency_incremental_actual_peak_reduction_mw,8,8,8,8,9,9,9,9,9,12,12,12
industrial_energy_efficiency_incremental_actual_peak_reduction_mw,9,9,9,9,10,10,10,10,10,13,13,13
other_energy_efficiency_incremental_actual_peak_reduction_mw,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
transportation_energy_efficiency_incremental_actual_peak_reduction_mw,10,10,10,10,11,11,11,11,11,14,14,14
total_energy_efficiency_incremental_actual_peak_reduction_mw,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,15,15
residential_energy_efficiency_annual_actual_peak_reduction_mw,15,15,15,15,16,16,16,16,16,21,21,21
commercial_energy_efficiency_annual_actual_peak_reduction_mw,16,16,16,16,17,17,17,17,17,22,22,22
industrial_energy_efficiency_annual_actual_peak_reduction_mw,17,17,17,17,18,18,18,18,18,23,23,23
other_energy_efficiency_annual_actual_peak_reduction_mw,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
transportation_energy_efficiency_annual_actual_peak_reduction_mw,18,18,18,18,19,19,19,19,19,24,24,24
total_energy_efficiency_annual_actual_peak_reduction_mw,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,25,25
residential_load_management_incremental_effects_mwh,19,19,19,19,20,20,20,20,20,26,26,26
commercial_load_management_incremental_effects_mwh,20,20,20,20,21,21,21,21,21,27,27,27
industrial_load_management_incremental_effects_mwh,21,21,21,21,22,22,22,22,22,28,28,28
other_load_management_incremental_effects_mwh,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
transportation_load_management_incremental_effects_mwh,22,22,22,22,23,23,23,23,23,29,29,29
total_load_management_incremental_effects_mwh,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,30,30
residential_load_management_annual_effects_mwh,31,31,31,31,32,32,32,32,32,41,41,41
commercial_load_management_annual_effects_mwh,32,32,32,32,33,33,33,33,33,42,42,42
industrial_load_management_annual_effects_mwh,33,33,33,33,34,34,34,34,34,43,43,43
other_load_management_annual_effects_mwh,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
transportation_load_management_annual_effects_mwh,34,34,34,34,35,35,35,35,35,44,44,44
total_load_management_annual_effects_mwh,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,45,45
residential_load_management_incremental_potential_peak_reduction_mw,23,23,23,23,24,24,24,24,24,36,36,36
commercial_load_management_incremental_potential_peak_reduction_mw,24,24,24,24,25,25,25,25,25,37,37,37
industrial_load_management_incremental_potential_peak_reduction_mw,25,25,25,25,26,26,26,26,26,38,38,38
other_load_management_incremental_potential_peak_reduction_mw,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
transportation_load_management_incremental_potential_peak_reduction_mw,26,26,26,26,27,27,27,27,27,39,39,39
total_load_management_incremental_potential_peak_reduction_mw,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,40,40
residential_load_management_annual_potential_peak_reduction_mw,35,35,35,35,36,36,36,36,36,51,51,51
commercial_load_management_annual_potential_peak_reduction_mw,36,36,36,36,37,37,37,37,37,52,52,52
