year_index,2013,2014,2015,2016,2017,2018
report_year,0,0,0,0,0,0
utility_id_eia,1,1,1,1,1,1
utility_name_eia,2,2,2,2,2,2
state,3,3,3,3,3,3
balancing_authority_code_eia,4,4,4,4,4,4
residential_incremental_energy_savings_mwh,5,5,5,5,5,5
commercial_incremental_energy_savings_mwh,6,6,6,6,6,6
industrial_incremental_energy_savings_mwh,7,7,7,7,7,7
transportation_incremental_energy_savings_mwh,8,8,8,8,8,8
total_incremental_energy_savings_mwh,9,9,9,9,9,9
residential_incremental_peak_reduction_mw,10,10,10,10,10,10
commercial_incremental_peak_reduction_mw,11,11,11,11,11,11
industrial_incremental_peak_reduction_mw,12,12,12,12,12,12
other_incremental_peak_reduction_mw,-1,-1,-1,-1,-1,-1
transportation_incremental_peak_reduction_mw,13,13,13,13,13,13
total_incremental_peak_reduction_mw,14,14,14,14,14,14
residential_incremental_life_cycle_energy_savings_mwh,15,15,15,15,15,15
commercial_incremental_life_cycle_energy_savings_mwh,16,16,16,16,16,16
industrial_incremental_life_cycle_energy_savings_mwh,17,17,17,17,17,17
transportation_incremental_life_cycle_energy_savings_mwh,18,18,18,18,18,18
total_incremental_life_cycle_energy_savings_mwh,19,19,19,19,19,19
residential_incremental_life_cycle_peak_reduction_mwh,20,20,20,20,20,20
commercial_incremental_life_cycle_peak_reduction_mwh,21,21,21,21,21,21
industrial_incremental_life_cycle_peak_reduction_mwh,22,22,22,22,22,22
transportation_incremental_life_cycle_peak_reduction_mwh,23,23,23,23,23,23
total_incremental_life_cycle_peak_reduction_mwh,24,24,24,24,24,24
residential_customer_incentives_incremental_cost,25,25,25,25,25,25
commercial_customer_incentives_incremental_cost,26,26,26,26,26,26
industrial_customer_incentives_incremental_cost,27,27,27,27,27,27
transportation_customer_incentives_incremental_cost,28,28,28,28,28,28
total_customer_incentives_incremental_cost,29,29,29,29,29,29
residential_other_costs_incremental_cost,30,30,30,30,30,30
commercial_other_costs_incremental_cost,31,31,31,31,31,31
industrial_other_costs_incremental_cost,32,32,32,32,32,32
transportation_other_costs_incremental_cost,33,33,33,33,33,33
total_other_costs_incremental_cost,34,34,34,34,34,34
residential_customer_incentives_incremental_life_cycle_cost,35,35,35,35,35,35
commercial_customer_incentives_incremental_life_cycle_cost,36,36,36,36,36,36
industrial_customer_incentives_incremental_life_cycle_cost,37,37,37,37,37,37
transportation_customer_incentives_incremental_life_cycle_cost,38,38,38,38,38,38
total_customer_incentives_incremental_life_cycle_cost,39,39,39,39,39,39
residential_customer_other_costs_incremental_life_cycle_cost,40,40,40,40,40,40
commercial_customer_other_costs_incremental_life_cycle_cost,41,41,41,41,41,41
industrial_customer_other_costs_incremental_life_cycle_cost,42,42,42,42,42,42
transportation_customer_other_costs_incremental_life_cycle_cost,43,43,43,43,43,43
total_customer_other_costs_incremental_life_cycle_cost,44,44,44,44,44,44
residential_weighted_average_life_years,45,45,45,45,45,45
commercial_weighted_average_life_years,46,46,46,46,46,46
industrial_weighted_average_life_years,47,47,47,47,47,47
transportation_weighted_average_life_years,48,48,48,48,48,48
website,49,49,49,49,49,49
