year_index,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
report_year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
utility_id_eia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
utility_name_eia,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3
short_form,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1
state,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1
residential_total_energy_displaced_mwh,-1,-1,-1,-1,-1,9,9,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
commercial_total_energy_displaced_mwh,-1,-1,-1,-1,-1,10,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
industrial_total_energy_displaced_mwh,-1,-1,-1,-1,-1,11,11,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
transportation_total_energy_displaced_mwh,-1,-1,-1,-1,-1,12,12,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
total_total_energy_displaced_mwh,-1,-1,-1,-1,-1,13,13,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
residential_pv_sold_to_utility_mwh,-1,-1,-1,-1,-1,-1,-1,-1,4,4,14,14,14,14,35,36,36,37,36
commercial_pv_sold_to_utility_mwh,-1,-1,-1,-1,-1,-1,-1,-1,5,5,15,15,15,15,36,37,37,38,37
industrial_pv_sold_to_utility_mwh,-1,-1,-1,-1,-1,-1,-1,-1,6,6,16,16,16,16,37,38,38,39,38
transportation_pv_sold_to_utility_mwh,-1,-1,-1,-1,-1,-1,-1,-1,7,7,17,17,17,17,38,39,39,40,39
total_pv_sold_to_utility_mwh,-1,-1,-1,-1,-1,-1,-1,-1,8,8,18,18,18,18,39,40,40,41,40
residential_pv_capacity_mw,-1,-1,-1,-1,-1,-1,-1,-1,9,9,4,4,4,4,5,6,6,7,6
commercial_pv_capacity_mw,-1,-1,-1,-1,-1,-1,-1,-1,10,10,5,5,5,5,6,7,7,8,7
industrial_pv_capacity_mw,-1,-1,-1,-1,-1,-1,-1,-1,11,11,6,6,6,6,7,8,8,9,8
transportation_pv_capacity_mw,-1,-1,-1,-1,-1,-1,-1,-1,12,12,7,7,7,7,8,9,9,10,9
