year_index,2016,2017,2018
report_year,0,0,0
state,1,1,1
utility_id_eia,2,2,2
utility_name_eia,3,3,3
ba_code,4,4,4
generators_number,5,5,5
total_capacity,6,6,6
backup_capacity,7,7,7
utility_owned_capacity,8,8,8
pv_type,9,9,9
pv_residential_capacity,10,10,10
pv_commercial_capacity,11,11,11
pv_industrial_capacity,12,12,12
pv_transportation_capacity,13,13,13
pv_direct_connected,14,14,14
pv_total,15,15,15
storage_residential_capacity,16,16,16
storage_commercial_capacity,17,17,17
storage_industrial_capacity,18,18,18
storage_transportation_capacity,19,19,19
storage_direct_connect_capacity,20,20,20
storage_total_capacity,21,21,21
wind_residential_capacity,22,22,22
wind_commercial_capacity,23,23,23
wind_industrial_capacity,24,24,24
wind_transportation_connected,25,25,25
wind_direct_connected,26,26,26
wind_total,27,27,27
hydro_residential_capacity,28,28,28
hydro_commercial_capacity,29,29,29
hydro_industrial_capacity,30,30,30
hydro_transportation_capacity,31,31,31
hydro_direct_connected,32,32,32
hydro_total,33,33,33
fuel_cell_residential_capacity,34,34,34
fuel_cell_commercial_capacity,35,35,35
fuel_cell_industrial_capacity,36,36,36
fuel_cell_transportation_capacity,37,37,37
fuel_cell_direct_connected,38,38,38
fuel_cell_total,39,39,39
internal_combustion_residential_capacity,40,40,40
internal_combustion_commercial_capacity,41,41,41
internal_combustion_industrial_capacity,42,42,42
internal_combustion_transportation_capacity,43,43,43
internal_combustion_direct_connected,44,44,44
internal_combustion_total,45,45,45
combustion_turbine_residential_capacity,46,46,46
combustion_turbine_commercial_capacity,47,47,47
combustion_turbine_industrial_capacity,48,48,48
combustion_turbine_transportation_capacity,49,49,49
combustion_turbine_direct_connected,50,50,50
combustion_turbine_total,51,51,51
steam_residential_capacity,52,52,52
steam_commercial_capacity,53,53,53
steam_industrial_capacity,54,54,54
steam_transportation_capacity,55,55,55
steam_direct_connected,56,56,56
steam_total,57,57,57
other_residential_capacity,58,58,58
other_commercial_capacity,59,59,59
other_industrial_capacity,60,60,60
other_transportation_capacity,61,61,61
other_direct_connected,62,62,62
other_total,63,63,63
total_residential_capacity,64,64,64
total_commercial_capacity,65,65,65
total_industrial_capacity,66,66,66
total_transportation_capacity,67,67,67
total_direct_connected,68,68,68
total_total,69,69,69
