year_index,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
report_year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
utility_id_eia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
utility_name_eia,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
business_model,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
service_type,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
data_observed,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
state,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
entity_type,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
balancing_authority_code_eia,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,8,8,8,8,8,8
short_form,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9
residential_sales_revenue,4,4,4,4,4,4,4,4,4,5,5,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,10
residential_sales_mwh,5,5,5,5,5,5,5,5,5,6,6,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,11
residential_customers,6,6,6,6,6,6,6,6,6,7,7,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,12
commercial_sales_revenue,7,7,7,7,7,7,7,7,7,8,8,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,13
commercial_sales_mwh,8,8,8,8,8,8,8,8,8,9,9,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,14
commercial_customers,9,9,9,9,9,9,9,9,9,10,10,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,15
industrial_sales_revenue,10,10,10,10,10,10,10,10,10,11,11,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,16
industrial_sales_mwh,11,11,11,11,11,11,11,11,11,12,12,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,17
industrial_customers,12,12,12,12,12,12,12,12,12,13,13,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,18
transportation_sales_revenue,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,19
transportation_sales_mwh,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,20
transportation_customers,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,21
other_sales_revenue,13,13,13,13,13,13,13,13,13,14,14,17,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
other_sales_mwh,14,14,14,14,14,14,14,14,14,15,15,18,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
other_customers,15,15,15,15,15,15,15,15,15,16,16,19,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
total_sales_revenue,16,16,16,16,16,16,16,16,16,17,17,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,21,21,22
total_sales_mwh,17,17,17,17,17,17,17,17,17,18,18,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,23
total_customers,18,18,18,18,18,18,18,18,18,19,19,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,24
