year_index,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
report_year,0,0,0,0,0,0,0,0,0,0,0,0,0,0
utility_id_eia,1,1,1,1,1,1,1,1,1,1,1,1,1,1
utility_name_eia,2,2,2,2,2,2,2,2,2,2,2,2,2,2
short_form,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1
state,3,3,3,3,3,3,3,3,3,3,3,3,4,3
entity_type,4,4,4,4,4,4,4,4,4,4,4,4,5,4
nerc_region,5,5,5,5,5,5,5,5,5,5,5,5,6,5
tre_nerc_region_operation,6,6,6,6,6,6,6,6,6,6,6,6,7,6
frcc_nerc_region_operation,7,7,7,7,7,7,7,7,7,7,7,7,8,7
mro_nerc_region_operation,8,8,8,8,8,8,8,8,8,8,8,8,9,8
npcc_nerc_region_operation,9,9,9,9,9,9,9,9,9,9,9,9,10,9
rfc_nerc_region_operation,10,10,10,10,10,10,10,10,10,10,10,10,11,10
serc_nerc_region_operation,11,11,11,11,11,11,11,11,11,11,11,11,12,11
spp_nerc_region_operation,12,12,12,12,12,12,12,12,12,12,12,12,13,12
wecc_nerc_region_operation,13,13,13,13,13,13,13,13,13,13,13,13,14,13
operates_generating_plant,14,14,14,22,22,-1,-1,-1,-1,-1,-1,-1,-1,-1
generation_activity,15,15,15,23,23,22,22,22,22,22,22,22,23,22
transmission_activity,16,16,16,24,24,23,23,23,23,23,23,23,24,23
buying_transmission_activity,17,17,17,25,25,24,24,24,24,24,24,24,25,24
distribution_activity,18,18,18,26,26,25,25,25,25,25,25,25,26,25
buying_distribution_activity,19,19,19,27,27,26,26,26,26,26,26,26,27,26
wholesale_marketing_activity,20,20,20,28,28,27,27,27,27,27,27,27,28,27
retail_marketing_activity,21,21,21,29,29,28,28,28,28,28,28,28,29,28
bundled_activity,22,22,22,30,30,29,29,29,29,29,29,29,30,29
alternative_fuel_vehicle_activity,23,23,23,31,31,30,30,30,30,30,30,30,31,30
alternative_fuel_vehicle_2_activity,24,24,24,32,32,31,31,31,31,31,31,31,32,31
caiso_rto_operation,-1,-1,-1,14,14,14,14,14,14,14,14,14,15,14
ercot_rto_operation,-1,-1,-1,15,15,15,15,15,15,15,15,15,16,15
pjm_rto_operation,-1,-1,-1,16,16,16,16,16,16,16,16,16,17,16
nyiso_rto_operation,-1,-1,-1,17,17,17,17,17,17,17,17,17,18,17
spp_rto_operation,-1,-1,-1,18,18,18,18,18,18,18,18,18,19,18
miso_rto_operation,-1,-1,-1,19,19,19,19,19,19,19,19,19,20,19
isone_rto_operation,-1,-1,-1,20,20,20,20,20,20,20,20,20,21,20
other_rto_operation,-1,-1,-1,21,21,21,21,21,21,21,21,21,22,21
