page,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
advanced_metering_infrastructure_eia861,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2007/Advanced_Meters_2007.xlsx,2008/Advanced_Meters_2008.xlsx,2009/Advanced_Meters_2009.xlsx,2010/Advanced_Meters_2010.xlsx,2011/Advanced_Meters_2011.xlsx,advanced_meters_2012.xls,Advanced_Meters_2013.xls,Advanced_Meters_2014.xls,Advanced_Meters_2015.xlsx,Advanced_Meters_2016.xlsx,Advanced_Meters_2017.xlsx,Advanced_Meters_2018.xlsx,Advanced_Meters_2019.xlsx
balancing_authority_eia861,-1,-1,-1,-1,-1,1995/Utility_Data_1995.xlsx,1996/Utility_Data_1996.xlsx,1997/Utility_Data_1997.xlsx,1998/Utility_Data_1998.xlsx,1999/Utility_Data_1999.xlsx,2000/Utility_Data_2000.xlsx,2001/Control_Area_Operator_2001.xlsx,2002/Control_Area_Operator_2002.xlsx,2003/Control_Area_Operator_2003.xlsx,2004/Control_Area_Operator_2004.xlsx,2005/Control_Area_Operator_2005.xlsx,2006/Control_Area_Operator_2006.xlsx,2007/Control_Area_Operator_2007.xlsx,2008/Control_Area_Operator_2008.xlsx,2009/Control_Area_Operator_2009.xlsx,2010/Control_Area_Operator_2010.xlsx,2011/Control_Area_Operator_2011.xlsx,balancing_authority_2012.xls,Balancing_Authority_2013.xls,Balancing_Authority_2014.xls,Balancing_Authority_2015.xlsx,Balancing_Authority_2016.xlsx,Balancing_Authority_2017.xlsx,Balancing_Authority_2018.xlsx,Balancing_Authority_2019.xlsx
demand_response_eia861,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Demand_Response_2013.xls,Demand_Response_2014.xls,Demand_Response_2015.xlsx,Demand_Response_2016.xlsx,Demand_Response_2017.xlsx,Demand_Response_2018.xlsx,Demand_Response_2019.xlsx
demand_side_management_eia861,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2001/DSM_2001.xlsx,2002/DSM_2002.xlsx,2003/DSM_2003.xlsx,2004/DSM_2004.xlsx,2005/DSM_2005.xlsx,2006/DSM_2006.xlsx,2007/DSM_2007.xlsx,2008/DSM_2008.xlsx,2009/DSM_2009.xlsx,2010/DSM_2010.xlsx,2011/DSM_2011.xlsx,dsm_2012.xls,-1,-1,-1,-1,-1,-1,-1
distributed_generation_eia861,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2004/file6.xls,2005/file6.xls,file6.xls,2007/file6_2007.xls,2008/file6_2008.xls,2009/file6_2009.xls,file6_2010.xls,file6_2011.xls,distributed_generation_2012.xls,Distributed_Generation_2013.xls,Distributed_Generation_2014.xls,Distributed_Generation_2015.xlsx,-1,-1,-1,-1
distribution_systems_eia861,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Distribution_Systems_2016.xlsx,Distribution_Systems_2017.xlsx,Distribution_Systems_2018.xlsx,Distribution_Systems_2019.xlsx
dynamic_pricing_eia861,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dynamic_Pricing2013.xls,Dynamic_Pricing2014.xls,Dynamic_Pricing2015.xlsx,Dynamic_Pricing2016.xlsx,Dynamic_Pricing_2017.xlsx,Dynamic_Pricing_2018.xlsx,Dynamic_Pricing_2019.xlsx
energy_efficiency_eia861,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Energy_Efficiency_2013.xlsx,Energy_Efficiency_2014.xlsx,Energy_Efficiency_2015.xlsx,Energy_Efficiency_2016.xlsx,Energy_Efficiency_2017.xlsx,Energy_Efficiency_2018.xlsx,Energy_Efficiency_2019.xlsx
frame_eia861,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Frame_2016.xlsx,Frame_2017.xlsx,Frame_2018.xlsx,Frame_2019.xlsx
green_pricing_eia861,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2001/Green_Pricing_2001.xlsx,2002/Green_Pricing_2002.xlsx,2003/Green_Pricing_2003.xlsx,2004/Green_Pricing_2004.xlsx,2005/Green_Pricing_2005.xlsx,2006/Green_Pricing_2006.xlsx,2007/Green_Pricing_2007.xlsx,2008/Green_Pricing_2008.xlsx,2009/Green_Pricing_2009.xlsx,2010/Green_Pricing_2010.xlsx,2011/Green_Pricing_2011.xlsx,green_pricing_2012.xls,-1,-1,-1,-1,-1,-1,-1
mergers_eia861,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2007/Mergers_2007.xlsx,2008/Mergers_2008.xlsx,2009/Mergers_2009.xlsx,2010/Mergers_2010.xlsx,2011/Mergers_2011.xlsx,mergers_2012.xls,Mergers_2013.xls,Mergers_2014.xls,Mergers_2015.xlsx,Mergers_2016.xlsx,Mergers_2017.xlsx,Mergers_2018.xlsx,Mergers_2019.xlsx
net_metering_eia861,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2001/Net_Metering_2001.xlsx,2002/Net_Metering_2002.xlsx,2003/Net_Metering_2003.xlsx,2004/Net_Metering_2004.xlsx,2005/Net_Metering_2005.xlsx,2006/Net_Metering_2006.xlsx,2007/Net_Metering_2007.xlsx,2008/Net_Metering_2008.xlsx,2009/Net_Metering_2009.xlsx,2010/Net_Metering_2010.xlsx,2011/Net_Metering_2011.xlsx,net_metering_2012.xls,Net_Metering_2013.xls,Net_Metering_2014.xls,Net_Metering_2015.xlsx,Net_Metering_2016.xlsx,Net_Metering_2017.xlsx,Net_Metering_2018.xlsx,Net_Metering_2019.xlsx
non_net_metering_eia861,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Non_Net_Metering_Distributed_2016.xlsx,Non_Net_Metering_Distributed_2017.xlsx,Non_Net_Metering_Distributed_2018.xlsx,Non_Net_Metering_Distributed_2019.xlsx
operational_data_eia861,1990/Operational_Data_1990.xlsx,1991/Operational_Data_1991.xlsx,1992/Operational_Data_1992.xlsx,1993/Operational_Data_1993.xlsx,1994/Operational_Data_1994.xlsx,1995/Operational_Data_1995.xlsx,1996/Operational_Data_1996.xlsx,1997/Operational_Data_1997.xlsx,1998/Operational_Data_1998.xlsx,1999/Operational_Data_1999.xlsx,2000/Operational_Data_2000.xlsx,2001/Operational_Data_2001.xlsx,2002/Operational_Data_2002.xlsx,2003/Operational_Data_2003.xlsx,2004/Operational_Data_2004.xlsx,2005/Operational_Data_2005.xlsx,2006/Operational_Data_2006.xlsx,2007/Operational_Data_2007.xlsx,2008/Operational_Data_2008.xlsx,2009/Operational_Data_2009.xlsx,2010/Operational_Data_2010.xlsx,2011/Operational_Data_2011.xlsx,operational_data_2012.xls,Operational_Data_2013.xlsx,Operational_Data_2014.xlsx,Operational_Data_2015.xlsx,Operational_Data_2016.xlsx,Operational_Data_2017.xlsx,Operational_Data_2018.xlsx,Operational_Data_2019.xlsx
