year_index,sales_eia861,mergers_eia861,advanced_metering_infrastructure_eia861,operational_data_eia861,balancing_authority_eia861,service_territory_eia861,frame_eia861,distribution_systems_eia861,distributed_generation_eia861,green_pricing_eia861,net_metering_eia861,non_net_metering_eia861,demand_side_management_eia861,dynamic_pricing_eia861,utility_data_eia861,reliability_data_eia861,short_form_eia861,demand_response_eia861
1999,FILE2.xls,-1,-1,File1.xls,-1,FILE5.xls,-1,-1,-1,-1,-1,-1,FILE4.xls,-1,-1,-1,-1,-1
2000,FILE2.xls,-1,-1,FILE1.xls,-1,FILE5.xls,-1,-1,-1,-1,-1,-1,FILE4.xls,-1,-1,-1,-1,-1
2001,file2.xls,-1,-1,file1.xls,file1_cao.xls,file4.xls,-1,-1,-1,-1,-1,-1,file3.xls,-1,-1,-1,-1,-1
2002,file2.xls,-1,-1,file1.xls,file1_cao.xls,file4.xls,-1,-1,-1,file5.xls,file5.xls,-1,file3.xls,-1,-1,-1,-1,-1
2003,file2.xls,-1,-1,file1.xls,file1_cao.xls,file4.xls,-1,-1,-1,file5.xls,file5.xls,-1,file3.xls,-1,-1,-1,-1,-1
2004,file2.xls,-1,-1,file1.xls,file1_cao.xls,file4.xls,-1,-1,file6.xls,file5.xls,file5.xls,-1,file3.xls,-1,-1,-1,-1,-1
2005,file2.xls,-1,-1,file1.xls,file1_cao.xls,file4.xls,-1,-1,file6.xls,file5.xls,file5.xls,-1,file3.xls,-1,-1,-1,-1,-1
2006,file2.xls,-1,-1,file1.xls,file1_cao.xls,file4.xls,-1,-1,file6.xls,file5.xls,file5.xls,-1,file3.xls,-1,-1,-1,-1,-1
2007,file2_2007.xls,file7_2007.xls,file8_2007.xls,file1_2007.xls,file1_cao_2007.xls,file4_2007.xls,-1,-1,file6_2007.xls,file5_2007.xls,file5_2007.xls,-1,file3_2007.xls,-1,file1a_2007.xls,-1,-1,-1
2008,file2_2008.xls,file7_2008.xls,file8_2008.xls,file1_2008.xls,file1_cao_2008.xls,file4_2008.xls,-1,-1,file6_2008.xls,file5_2008.xls,file5_2008.xls,-1,file3_2008.xls,-1,file1a_2007.xls,-1,-1,-1
