year_index,sales_states_eia861,sales_territories_eia861,sales_decoupled_eia861,mergers_eia861,advanced_metering_infrastructure__states_eia861,advanced_metering_infrastructure_territories_eia861,operational_data_states_eia861,operational_data_territories_eia861,balancing_authority_eia861,service_territory_states_eia861,service_territory_territories_eia861,frame_eia861,distribution_systems_states_eia861,distribution_systems_territories_eia861,distributed_generation_states_eia861,dispersed_generation_states_eia861,distributed_generation_territories_eia861,dispersed_generation_territories_eia861,green_pricing_states_eia861,net_metering_states_eia861,green_pricing_territories_eia861,net_metering_territories_eia861,net_metering_tpos_eia861,non_net_metering_states_eia861,non_net_metering_territories_eia861,demand_side_management_states_eia861,demand_side_management_territories_eia861,dynamic_pricing_states_eia861,dynamic_pricing_territories_eia861,utility_data_states_eia861,utility_data_territories_eia861,reliability_states_eia861,reliability_territories_eia861,short_form_eia861,demand_response_states_eia861,demand_response_territories_eia861
1999,0,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2000,0,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2001,0,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2002,0,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,0,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2004,0,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,0,1,-1,-1,0,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2005,0,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,0,1,-1,-1,0,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2006,0,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,0,1,-1,-1,0,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2007,0,-1,-1,0,0,-1,0,-1,0,0,-1,-1,-1,-1,0,1,-1,-1,0,1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
2008,0,1,-1,0,0,-1,0,-1,0,0,-1,-1,-1,-1,0,1,-1,-1,1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
2009,0,1,-1,0,0,-1,0,-1,0,0,-1,-1,-1,-1,0,1,-1,-1,1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
2010,0,1,-1,0,0,-1,0,1,0,0,-1,-1,-1,-1,0,2,1,3,0,2,1,3,-1,-1,-1,0,1,-1,-1,0,-1,-1,-1,-1,-1,-1
2011,0,1,-1,0,0,1,0,1,0,0,-1,-1,-1,-1,0,2,1,3,0,2,1,3,-1,-1,-1,0,1,-1,-1,0,-1,-1,-1,-1,-1,-1
2012,0,1,-1,0,0,1,0,1,0,0,-1,-1,-1,-1,0,2,1,3,0,0,1,1,-1,-1,-1,0,1,-1,-1,0,1,-1,-1,0,-1,-1
2013,0,1,-1,0,0,1,0,1,0,0,-1,-1,0,1,0,2,1,3,-1,0,-1,1,2,-1,-1,0,-1,0,1,0,1,0,1,0,0,1
2014,0,1,-1,0,0,1,0,1,0,0,-1,-1,0,1,0,2,1,3,-1,0,-1,1,2,-1,-1,0,-1,0,1,0,1,0,1,0,0,1
2015,0,1,-1,0,0,1,0,1,0,0,-1,-1,0,1,0,2,1,3,-1,0,-1,1,2,-1,-1,0,-1,0,1,0,1,0,1,0,0,1
2016,0,1,2,0,0,1,0,1,0,0,-1,0,0,1,-1,-1,-1,-1,-1,0,-1,1,2,0,1,0,1,0,1,0,1,0,1,0,0,1
2017,0,1,2,0,0,1,0,1,0,0,1,0,0,1,-1,-1,-1,-1,-1,0,-1,1,2,0,1,0,1,0,1,0,1,0,1,0,0,1
2018,0,1,2,0,0,1,0,1,0,0,1,0,0,1,-1,-1,-1,-1,-1,0,-1,1,2,0,1,0,1,0,1,0,1,0,1,0,0,1
