year_index,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
utility_id_eia,1,1,1,1,1,1,1,1,1,1,1,1
utility_name,2,2,2,2,2,2,2,2,2,2,2,2
short_form,3,3,3,3,3,3,3,3,3,3,3,3
state,4,4,4,4,4,4,4,4,4,4,4,4
ba_code,-1,-1,-1,-1,-1,-1,-1,-1,5,5,5,5
automated_meter_reading_residential,5,5,5,5,5,5,5,5,6,6,6,6
automated_meter_reading_commercial,6,6,6,6,6,6,6,6,7,7,7,7
automated_meter_reading_industrial,7,7,7,7,7,7,7,7,8,8,8,8
automated_meter_reading_transportation,8,8,8,8,8,8,8,8,9,9,9,9
automated_meter_reading_total,9,9,9,9,9,9,9,9,10,10,10,10
advanced_metering_infrastructure_residential,10,10,10,10,10,10,10,10,11,11,11,11
advanced_metering_infrastructure_commercial,11,11,11,11,11,11,11,11,12,12,12,12
advanced_metering_infrastructure_industrial,12,12,12,12,12,12,12,12,13,13,13,13
advanced_metering_infrastructure_transportation,13,13,13,13,13,13,13,13,14,14,14,14
advanced_metering_infrastructure_total,14,14,14,14,14,14,14,14,15,15,15,15
residential,-1,-1,-1,-1,-1,-1,15,15,16,16,16,16
commercial,-1,-1,-1,-1,-1,-1,16,16,17,17,17,17
industrial,-1,-1,-1,-1,-1,-1,17,17,18,18,18,18
transportation,-1,-1,-1,-1,-1,-1,18,18,19,19,19,19
total,-1,-1,-1,-1,-1,-1,19,19,20,20,20,20
home_area_network_residential,-1,-1,-1,-1,-1,-1,20,20,21,21,21,21
home_area_network_commercial,-1,-1,-1,-1,-1,-1,21,21,22,22,22,22
home_area_network_industrial,-1,-1,-1,-1,-1,-1,22,22,23,23,23,23
home_area_network_transportation,-1,-1,-1,-1,-1,-1,23,23,24,24,24,24
home_area_network_total,-1,-1,-1,-1,-1,-1,24,24,25,25,25,25
non_amr_ami_residential,-1,-1,-1,-1,-1,-1,25,25,26,26,26,26
non_amr_ami_commercial,-1,-1,-1,-1,-1,-1,26,26,27,27,27,27
non_amr_ami_industrial,-1,-1,-1,-1,-1,-1,27,27,28,28,28,28
non_amr_ami_transportation,-1,-1,-1,-1,-1,-1,28,28,29,29,29,29
non_amr_ami_total,-1,-1,-1,-1,-1,-1,29,29,30,30,30,30
total_meters_residential,-1,-1,-1,-1,-1,-1,30,30,31,31,31,31
total_meters_commercial,-1,-1,-1,-1,-1,-1,31,31,32,32,32,32
total_meters_industrial,-1,-1,-1,-1,-1,-1,32,32,33,33,33,33
total_meters_transportation,-1,-1,-1,-1,-1,-1,33,33,34,34,34,34
total_meters_total,-1,-1,-1,-1,-1,-1,34,34,35,35,35,35
energy_served_ami_mwh_residential,15,15,15,15,15,15,35,35,36,36,36,36
energy_served_ami_mwh_commercial,16,16,16,16,16,16,36,36,37,37,37,37
energy_served_ami_mwh_industrial,17,17,17,17,17,17,37,37,38,38,38,38
energy_served_ami_mwh_transportation,18,18,18,18,18,18,38,38,39,39,39,39
energy_served_ami_mwh_total,19,19,19,19,19,19,39,39,40,40,40,40
direct_load_control_customers_residential,-1,-1,-1,-1,-1,-1,40,40,41,41,41,41
direct_load_control_customers_commercial,-1,-1,-1,-1,-1,-1,41,41,42,42,42,42
direct_load_control_customers_industrial,-1,-1,-1,-1,-1,-1,42,42,43,43,43,43
direct_load_control_customers_transportation,-1,-1,-1,-1,-1,-1,43,43,44,44,44,44
direct_load_control_customers_total,-1,-1,-1,-1,-1,-1,44,44,45,45,45,45
