year_index,2013,2014,2015,2016,2017,2018
year,0,0,0,0,0,0
utility_id_eia,1,1,1,1,1,1
utility_name_eia,2,2,2,2,2,2
State,3,3,3,3,3,3
ba_code,-1,-1,-1,-1,4,4
residential_customers,4,4,4,4,5,5
commercial_customers,5,5,5,5,6,6
industrial_customers,6,6,6,6,7,7
transportation_customers,7,7,7,7,8,8
total_customers,8,8,8,8,9,9
residential_energy_savings,9,9,9,9,10,10
commercial_energy_savings,10,10,10,10,11,11
industrial_energy_savings,11,11,11,11,12,12
Transportation,12,12,12,12,13,13
total_energy_savings,13,13,13,13,14,14
residential_potential_peak_demand_savings,14,14,14,14,15,15
commercial_potential_peak_demand_savings,15,15,15,15,16,16
industrial_potential_peak_demand_savings,16,16,16,16,17,17
transportation_potential_peak_demand_savings,17,17,17,17,18,18
total_potential_peak_demand_savings,18,18,18,18,19,19
residential_actual_peak_demand_savings,19,19,19,19,20,20
commercial_actual_peak_demand_savings,20,20,20,20,21,21
industrial_actual_peak_demand_savings,21,21,21,21,22,22
transportation_actual_peak_demand_savings,22,22,22,22,23,23
total_actual_peak_demand_savings,23,23,23,23,24,24
residential_customer_incentives_cost,24,24,24,24,25,25
commercial_customer_incentives_cost,25,25,25,25,26,26
industrial_customer_incentives_cost,26,26,26,26,27,27
transportation_customer_incentives_cost,27,27,27,27,28,28
total_customer_incentives_cost,28,28,28,28,29,29
residential_other_costs,29,29,29,29,30,30
commercial_other_costs,30,30,30,30,31,31
industrial_other_costs,31,31,31,31,32,32
transportation_other_costs,32,32,32,32,33,33
total_other_costs,33,33,33,33,34,34
water_heater,34,34,34,34,35,35
