year_index,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
year,0,0,0,0,0,0,0,0,0,0,0,0
utility_id_eia,1,1,1,1,1,1,1,1,1,1,1,1
utility_name_eia,2,2,2,2,2,2,2,2,2,2,2,2
generators_num,3,3,3,3,3,3,3,3,4,4,4,4
generators_num_less_1_mw,4,4,4,4,4,4,4,4,-1,-1,-1,-1
total_capacity_mw,5,5,5,5,5,5,5,5,5,5,5,5
total_capacity_mw_less_1_mw,6,6,6,6,6,6,6,6,-1,-1,-1,-1
backup_percentage,7,7,7,7,7,7,7,7,-1,-1,-1,-1
estimated_or_actual_capacity,8,8,8,8,8,8,8,8,8,8,8,8
internal_combustion_capacity_percentage,9,9,9,9,9,9,9,9,-1,-1,-1,-1
combustion_turbine_capacity_percentage,10,10,10,10,10,10,10,10,-1,-1,-1,-1
steam_turbine_capacity_percentage,11,11,11,11,11,11,11,11,-1,-1,-1,-1
hydroelectric_capacity_percentage,12,12,12,12,12,12,12,12,-1,-1,-1,-1
wind_capacity_percentage,13,13,13,13,13,13,13,13,-1,-1,-1,-1
other_capacity_percentage,14,14,14,14,14,14,14,14,-1,-1,-1,-1
estimated_or_actual_technology,15,15,15,15,15,15,15,15,18,18,18,18
distillate_fuel_percentage,16,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1
natural_gas_fuel_percentage,17,17,17,-1,-1,-1,-1,-1,-1,-1,-1,-1
wood_fuel_percentage_percentage,18,18,18,-1,-1,-1,-1,-1,-1,-1,-1,-1
water_fuel_percentage,19,19,19,-1,-1,-1,-1,-1,-1,-1,-1,-1
wind_fuel_percentage,20,20,20,-1,-1,-1,-1,-1,-1,-1,-1,-1
other_renewable_fuel_percentage,21,21,21,-1,-1,-1,-1,-1,-1,-1,-1,-1
other_fuel_percentage,22,22,22,-1,-1,-1,-1,-1,-1,-1,-1,-1
estimated_or_actual_fuel,23,23,23,-1,-1,-1,-1,-1,-1,-1,-1,-1
state,-1,-1,-1,-1,16,16,16,16,-1,-1,-1,-1
generator_capacity_owned_percentage,-1,-1,-1,-1,17,17,17,17,3,3,3,3
backup_capacity,-1,-1,-1,-1,-1,-1,-1,-1,6,6,6,6
distributed_generation_capacity_owned,-1,-1,-1,-1,-1,-1,-1,-1,7,7,7,7
internal_combustion_capacity,-1,-1,-1,-1,-1,-1,-1,-1,9,9,9,9
combustion_turbine_capacity,-1,-1,-1,-1,-1,-1,-1,-1,10,10,10,10
steam_turbine_capacity,-1,-1,-1,-1,-1,-1,-1,-1,11,11,11,11
hydroelectric_capacity,-1,-1,-1,-1,-1,-1,-1,-1,12,12,12,12
wind_capacity,-1,-1,-1,-1,-1,-1,-1,-1,13,13,13,13
photovoltaic_capacity,-1,-1,-1,-1,-1,-1,-1,-1,14,14,14,14
storage_capacity,-1,-1,-1,-1,-1,-1,-1,-1,15,15,15,15
other_capacity,-1,-1,-1,-1,-1,-1,-1,-1,16,16,16,16
total_capacity,-1,-1,-1,-1,-1,-1,-1,-1,17,17,17,17
distillate_capacity,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
natural_gas_capacity,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wood_capacity_capacity,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
water_capacity,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wind_fuel_capacity,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
other_renewable_capacity,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
other_fuel_capacity,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
