year_index,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
year,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
utility_id_eia,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
utility_name_eia,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
sales_to_ultimate_consumers,2,2,5,5,5,5,5,5,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1
sales_for_resale,3,3,6,6,6,6,6,6,6,6,6,-1,-1,-1,-1,-1,-1,-1,-1,-1
ownership,-1,-1,3,3,3,3,3,3,3,3,3,3,3,4,-1,-1,-1,-1,-1,-1
nerc_region,-1,49,4,4,4,4,4,4,4,4,4,5,5,-1,-1,-1,-1,-1,-1,-1
state,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,3,3,3,3,3,3,3
short_form,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1
ba_code,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,4,4,4,4
residential_incremental_energy_efficiency_energy_effects ,4,4,7,7,7,7,7,7,7,7,7,6,6,6,5,5,5,5,5,5
commercial_incremental_energy_efficiency_energy_effects ,5,5,8,8,8,8,8,8,8,8,8,7,7,7,6,6,6,6,6,6
industrial_incremental_energy_efficiency_energy_effects ,6,6,9,9,9,9,9,9,9,9,9,8,8,8,7,7,7,7,7,7
other_incremental_energy_efficiency_energy_effects ,7,7,10,10,10,10,10,10,10,10,10,9,9,-1,-1,-1,-1,-1,-1,-1
transportation_incremental_energy_efficiency_energy_effects ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,8,8,8,8,8,8
total_incremental_energy_efficiency_energy_effects ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,10,10,9,9,9,9,9,9
residential_annual_energy_efficiency_energy_effects ,8,8,11,11,11,11,11,11,11,11,11,11,11,16,-1,-1,-1,-1,-1,-1
commercial_annual_energy_efficiency_energy_effects ,9,9,12,12,12,12,12,12,12,12,12,12,12,17,-1,-1,-1,-1,-1,-1
industrial_annual_energy_efficiency_energy_effects ,10,10,13,13,13,13,13,13,13,13,13,13,13,18,-1,-1,-1,-1,-1,-1
other_annual_energy_efficiency_energy_effects ,11,11,14,14,14,14,14,14,14,14,14,14,14,-1,-1,-1,-1,-1,-1,-1
transportation_annual_energy_efficiency_energy_effects ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,-1,-1,-1,-1,-1,-1
total_annual_energy_efficiency_energy_effects ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,15,20,-1,-1,-1,-1,-1,-1
residential_incremental_energy_efficiency_actual_peak_reduction,12,12,15,15,15,15,15,15,15,15,15,16,16,11,10,10,10,10,10,10
commercial_incremental_energy_efficiency_actual_peak_reduction,13,13,16,16,16,16,16,16,16,16,16,17,17,12,11,11,11,11,11,11
industrial_incremental_energy_efficiency_actual_peak_reduction,14,14,17,17,17,17,17,17,17,17,17,18,18,13,12,12,12,12,12,12
other_incremental_energy_efficiency_actual_peak_reduction,15,15,18,18,18,18,18,18,18,18,18,19,19,-1,-1,-1,-1,-1,-1,-1
transportation_incremental_energy_efficiency_actual_peak_reduction,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,13,13,13,13,13,13
total_incremental_energy_efficiency_actual_peak_reduction,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,15,14,14,14,14,14,14
residential_annual_energy_efficiency_actual_peak_reduction,16,16,19,19,19,19,19,19,19,19,19,21,21,21,-1,-1,-1,-1,-1,-1
commercial_annual_energy_efficiency_actual_peak_reduction,17,17,20,20,20,20,20,20,20,20,20,22,22,22,-1,-1,-1,-1,-1,-1
industrial_annual_energy_efficiency_actual_peak_reduction,18,18,21,21,21,21,21,21,21,21,21,23,23,23,-1,-1,-1,-1,-1,-1
other_annual_energy_efficiency_actual_peak_reduction,19,19,22,22,22,22,22,22,22,22,22,24,24,-1,-1,-1,-1,-1,-1,-1
transportation_annual_energy_efficiency_actual_peak_reduction,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,-1,-1,-1,-1,-1,-1
total_annual_energy_efficiency_actual_peak_reduction,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,25,25,-1,-1,-1,-1,-1,-1
residential_incremental_load_management_energy_effects ,20,20,23,23,23,23,23,23,23,23,23,26,26,26,-1,-1,-1,-1,-1,-1
commercial_incremental_load_management_energy_effects ,21,21,24,24,24,24,24,24,24,24,24,27,27,27,-1,-1,-1,-1,-1,-1
industrial_incremental_load_management_energy_effects ,22,22,25,25,25,25,25,25,25,25,25,28,28,28,-1,-1,-1,-1,-1,-1
other_incremental_load_management_energy_effects ,23,23,26,26,26,26,26,26,26,26,26,29,29,-1,-1,-1,-1,-1,-1,-1
transportation_incremental_load_management_energy_effects ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,-1,-1,-1,-1,-1,-1
total_incremental_load_management_energy_effects ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,30,30,-1,-1,-1,-1,-1,-1
residential_annual_load_management_energy_effects ,24,24,27,27,27,27,27,27,27,27,27,31,31,41,-1,-1,-1,-1,-1,-1
commercial_annual_load_management_energy_effects ,25,25,28,28,28,28,28,28,28,28,28,32,32,42,-1,-1,-1,-1,-1,-1
industrial_annual_load_management_energy_effects ,26,26,29,29,29,29,29,29,29,29,29,33,33,43,-1,-1,-1,-1,-1,-1
other_annual_load_management_energy_effects ,27,27,30,30,30,30,30,30,30,30,30,34,34,-1,-1,-1,-1,-1,-1,-1
transportation_annual_load_management_energy_effects ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,-1,-1,-1,-1,-1,-1
total_annual_load_management_energy_effects ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35,35,45,-1,-1,-1,-1,-1,-1
residential_incremental_load_management_potential_peak_reduction,28,28,31,31,31,31,31,31,31,31,31,36,36,36,-1,-1,-1,-1,-1,-1
commercial_incremental_load_management_potential_peak_reduction,29,29,32,32,32,32,32,32,32,32,32,37,37,37,-1,-1,-1,-1,-1,-1
industrial_incremental_load_management_potential_peak_reduction,30,30,33,33,33,33,33,33,33,33,33,38,38,38,-1,-1,-1,-1,-1,-1
other_incremental_load_management_potential_peak_reduction,31,31,34,34,34,34,34,34,34,34,34,39,39,-1,-1,-1,-1,-1,-1,-1
transportation_incremental_load_management_potential_peak_reduction,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39,-1,-1,-1,-1,-1,-1
total_incremental_load_management_potential_peak_reduction,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,40,40,-1,-1,-1,-1,-1,-1
residential_annual_load_management_potential_peak_reduction,32,32,35,35,35,35,35,35,35,35,35,41,41,51,-1,-1,-1,-1,-1,-1
commercial_annual_load_management_potential_peak_reduction,33,33,36,36,36,36,36,36,36,36,36,42,42,52,-1,-1,-1,-1,-1,-1
industrial_annual_load_management_potential_peak_reduction,3,3,37,37,37,37,37,37,37,37,37,43,43,53,-1,-1,-1,-1,-1,-1
other_annual_load_management_potential_peak_reduction,35,35,38,38,38,38,38,38,38,38,38,44,44,-1,-1,-1,-1,-1,-1,-1
transportation_annual_load_management_potential_peak_reduction,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,54,-1,-1,-1,-1,-1,-1
total_annual_load_management_potential_peak_reduction,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,45,55,-1,-1,-1,-1,-1,-1
residential_incremental_load_management_actual_peak_reduction,36,36,39,39,39,39,39,39,39,39,39,46,46,31,-1,-1,-1,-1,-1,-1
commercial_incremental_load_management_actual_peak_reduction,37,37,40,40,40,40,40,40,40,40,40,47,47,32,-1,-1,-1,-1,-1,-1
industrial_incremental_load_management_actual_peak_reduction,38,38,41,41,41,41,41,41,41,41,41,48,48,33,-1,-1,-1,-1,-1,-1
other_incremental_load_management_actual_peak_reduction,39,39,42,42,42,42,42,42,42,42,42,49,49,-1,-1,-1,-1,-1,-1,-1
transportation_incremental_load_management_actual_peak_reduction,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,-1,-1,-1,-1,-1,-1
total_incremental_load_management_actual_peak_reduction,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,35,-1,-1,-1,-1,-1,-1
residential_annual_load_management_actual_peak_reduction,40,40,43,43,43,43,43,43,43,43,43,51,51,46,-1,-1,-1,-1,-1,-1
