year_index,2016,2017,2018
data_year,0,0,0
utility_id_eia,1,1,1
utility_name_eia,2,2,2
ownership_code,3,3,3
ownership,4,4,4
monthly,-1,5,5
short_form,5,6,6
advanced_metering,6,7,7
demand_response,7,8,8
distribution_systems,8,9,9
dynamic_pricing,9,10,10
energy_efficiency,10,11,11
mergers,11,12,12
net_metering,12,13,13
non_net_metering_distributed,13,14,14
operational_data,14,15,15
reliability,15,16,16
sales_to_ultimate_customers,16,17,17
service_territory,17,18,18
utility_data,18,19,19
