year_index,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
utility_id_eia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
utility_name_eia,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3
state,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1
residential_customers,4,4,4,4,4,4,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1
commercial_customers,5,5,5,5,5,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1
industrial_customers,6,6,6,6,6,6,6,6,-1,-1,-1,-1,-1,-1,-1,-1,-1
transportation_customers,7,7,7,7,7,7,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1
total_customers,8,8,8,8,8,8,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1
energy_displaced_residential_mwh,-1,-1,-1,-1,-1,9,9,9,-1,-1,-1,-1,-1,-1,-1,-1,-1
energy_displaced_commercial_mwh,-1,-1,-1,-1,-1,10,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1
energy_displaced_industrial_mwh,-1,-1,-1,-1,-1,11,11,11,-1,-1,-1,-1,-1,-1,-1,-1,-1
energy_displaced_transportation_mwh,-1,-1,-1,-1,-1,12,12,12,-1,-1,-1,-1,-1,-1,-1,-1,-1
energy_displaced_total_mwh,-1,-1,-1,-1,-1,13,13,13,-1,-1,-1,-1,-1,-1,-1,-1,-1
pv_residential_sold_to_utility,-1,-1,-1,-1,-1,-1,-1,-1,4,4,14,14,14,14,35,36,36
pv_commercial_sold_to_utility,-1,-1,-1,-1,-1,-1,-1,-1,5,5,15,15,15,15,36,37,37
pv_industrial_sold_to_utility,-1,-1,-1,-1,-1,-1,-1,-1,6,6,16,16,16,16,37,38,38
pv_transportation_sold_to_utility,-1,-1,-1,-1,-1,-1,-1,-1,7,7,17,17,17,17,38,39,39
pv_total_sold_to_utility,-1,-1,-1,-1,-1,-1,-1,-1,8,8,18,18,18,18,39,40,40
pv_residential_capacity,-1,-1,-1,-1,-1,-1,-1,-1,9,9,4,4,4,4,5,6,6
pv_commercial_capacity,-1,-1,-1,-1,-1,-1,-1,-1,10,10,5,5,5,5,6,7,7
pv_industrial_capacity,-1,-1,-1,-1,-1,-1,-1,-1,11,11,6,6,6,6,7,8,8
pv_transportation_capacity,-1,-1,-1,-1,-1,-1,-1,-1,12,12,7,7,7,7,8,9,9
pv_total_capacity,-1,-1,-1,-1,-1,-1,-1,-1,13,13,8,8,8,8,9,10,10
pv_residential_customers,-1,-1,-1,-1,-1,-1,-1,-1,14,14,9,9,9,9,10,11,11
pv_commercial_customers,-1,-1,-1,-1,-1,-1,-1,-1,15,15,10,10,10,10,11,12,12
