year_index,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
year,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
utility_id_eia,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
utility_name_eia,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
state,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ownership_type,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
nerc_region,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
summer_peak_demand,34,34,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
winter_peak_demand,35,35,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
net_generation,40,38,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
wholesale_power_purchases,-1,-1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
exchange_energy_received,44,40,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
exchange_energy_delivered,45,41,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
net_power_exchanged,46,42,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
wheeled_power_received,47,43,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
wheeled_power_delivered,48,43,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
net_wheeled_power,49,43,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
transmission_by_other_losses,50,46,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
total_sources,51,47,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
retail_sales,52,48,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
sales_for_resale,53,49,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
furnished_without_charge,55,50,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
consumed_by_respondent_without_charge,-1,-1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
consumed_by_facility,-1,-1,22,22,22,22,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
total_energy_losses,57,52,23,23,23,23,23,22,22,22,22,22,22,22,22,22,22,22,22,22
total_disposition,58,53,24,24,24,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23
revenue_from_retail_sales,59,54,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24
unbundled_revenues,-1,-1,-1,-1,-1,-1,-1,-1,25,25,25,25,25,-1,-1,-1,-1,-1,-1,-1
revenue_from_delivery_customers,-1,-1,26,26,26,26,26,25,-1,-1,-1,-1,-1,25,25,25,25,25,25,25
revenue_from_sales_for_resale,60,55,27,27,27,27,27,26,26,26,26,26,26,26,26,26,26,26,26,26
revenue_from_credits_or_adjustments,61,56,28,28,28,28,28,27,27,27,27,27,27,27,27,27,27,27,27,27
revenue_from_transmission,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,28,28,28,28,28,28,28,28
revenue_from_other,62,57,29,29,29,29,29,28,28,28,28,29,29,29,29,29,29,29,29,29
total,63,58,30,30,30,30,30,29,29,29,29,30,30,30,30,30,30,30,30,30
data_type_o_=_observed_i_=_imputed,-1,-1,31,31,31,31,31,30,30,30,30,31,31,31,31,31,31,31,31,31
