year_index,2013,2014,2015,2016,2017,2018
year,0,0,0,0,0,0
utility_id_eia,1,1,1,1,1,1
utility_name_eia,2,2,2,2,2,2
state,3,3,3,3,3,3
ownership,-1,-1,-1,4,4,4
saidi_with_med_ieee_standard,4,4,4,5,5,5
saidi_without_med_ieee_standard,5,5,5,6,6,8
saidi_with_med_minus_los_ieee_standard,6,6,6,7,7,11
saifi_with_med_ieee_standard,7,7,7,8,8,6
caidi_with_med_ieee_standard,-1,-1,-1,-1,-1,7
saifi_without_med_ieee_standard,8,8,8,9,9,9
caidi_without_med_ieee_standard,-1,-1,-1,-1,-1,10
saifi_with_med_minus_los_ieee_standard,9,9,9,10,10,12
caidi_with_med_minus_los_ieee_standard,-1,-1,-1,-1,-1,13
customers_ieee_standard,10,10,10,11,11,14
highest_distribution_voltage_ieee_standard,11,11,11,12,12,15
outages_recorded_automatically_ieee_standard,12,12,12,13,13,16
saidi_with_med_other_standard,13,13,13,14,14,17
saidi_without_med_other_standard,14,14,14,15,15,20
saifi_with_med_other_standard,15,15,15,16,16,18
caidi_with_med_other_standard,-1,-1,-1,-1,-1,19
saifi_without_med_other_standard,16,16,16,17,17,21
caidi_without_med_other_standard,-1,-1,-1,-1,-1,22
customers_other_standard,17,17,17,18,18,23
inactive_accounts_included_other_standard,18,18,18,19,19,24
momentary_interruptions_other_standard,19,19,19,20,20,25
highest_distribution_voltage_other_standard,20,20,20,21,21,26
outages_recorded_automatically_other_standard,21,21,21,22,22,27
