year_index,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
utility_id_eia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
utility_name_eia,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
part,-1,-1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
service_type,-1,-1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
data_type,-1,-1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
state,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
ownership,-1,-1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
ba_code,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,8,8,8,8,8
residential_revenues,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9
residential_sales_mwh,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10
residential_customers,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11
commercial_revenues,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12
commercial_sales_mwh,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13
commercial_consumers,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14
industrial_revenues,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15
industrial_sales_mwh,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16
industrial_consumers,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17
transportation_revenues,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18
transportation_sales_mwh,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19
transportation_consumers,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20
other_revenues,20,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
other_sales_mwh,21,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
other_consumers,22,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
total_revenues,23,23,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,21,21
total_sales_mwh,24,24,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22
total_customers,25,25,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23
