year_index,report_year,report_month,plant_id_eia,plant_name_eia,plant_state,contract_type_code,contract_expiration_date,energy_source_code,fuel_group_code,mine_type_code,state,county_id_fips,mine_id_msha,mine_name,supplier_name,fuel_qty_units,heat_content_mmbtu_per_unit,sulfur_content_pct,ash_content_pct,mercury_content_ppm,fuel_cost_per_mmbtu,regulated,operator_name,operator_id,reporting_frequency,primary_transportation_mode_code,secondary_transportation_mode_code,natural_gas_transport_code,natural_gas_delivery_contract_type_code,moisture_content_pct,chlorine_content_ppm
2009,year,month,plant_id,plant_name,state,contract_type,contract_exp_date,energy_source,fuel_group,coalmine_type,coalmine_state,coalmine_county,coalmine_msha_id,coalmine_name,supplier,quantity,average_heat_content,average_sulfur_content,average_ash_content,,fuel_cost,regulated,operator_name,operator_id,respondent_frequency,primary_transportation_mode,secondary_transportation_mode,natural_gas_transportation_service,,,
2010,year,month,plant_id,plant_name,state,contract_type,contract_exp_date,energy_source,fuel_group,coalmine_type,coalmine_state,coalmine_county,coalmine_msha_id,coalmine_name,supplier,quantity,average_heat_content,average_sulfur_content,average_ash_content,,fuel_cost,regulated,operator_name,operator_id,respondent_frequency,primary_transportation_mode,secondary_transportation_mode,natural_gas_transportation_service,,,
2011,year,month,plant_id,plant_name,state,contract_type,contract_exp_date,energy_source,fuel_group,coalmine_type,coalmine_state,coalmine_county,coalmine_msha_id,coalmine_name,supplier,quantity,average_heat_content,average_sulfur_content,average_ash_content,,fuel_cost,regulated,operator_name,operator_id,respondent_frequency,primary_transportation_mode,secondary_transportation_mode,natural_gas_transportation_service,,,
2012,year,month,plant_id,plant_name,plant_state,purchase_type,contract_expiration_date,energy_source,fuel_group,coalmine_type,coalmine_state,coalmine_county,coalmine_msha_id,coalmine_name,supplier,quantity,average_heat_content,average_sulfur_content,average_ash_content,average_mercury_content,fuel_cost,regulated,operator_name,operator_id,reporting_frequency,primary_transportation_mode,secondary_transportation_mode,natural_gas_transportation_service,,,
2013,year,month,plant_id,plant_name,state,contract_type,contract_exp_date,energy_source,fuel_group,coalmine_type,coalmine_state,coalmine_county,coalmine_msha_id,coalmine_name,supplier,quantity,average_heat_content,average_sulfur_content,average_ash_content,,fuel_cost,regulated,operator_name,operator_id,respondent_frequency,primary_transportation_mode,secondary_transportation_mode,natural_gas_transportation_service,,,
2014,year,month,plant_id,plant_name,plant_state,purchase_type,contract_expiration_date,energy_source,fuel_group,coalmine_type,coalmine_state,coalmine_county,coalmine_msha_id,coalmine_name,supplier,quantity,average_heat_content,average_sulfur_content,average_ash_content,average_mercury_content,fuel_cost,regulated,operator_name,operator_id,reporting_frequency,primary_transportation_mode,secondary_transportation_mode,natural_gas_transportation_service,,,
2015,year,month,plant_id,plant_name,plant_state,purchase_type,contract_expiration_date,energy_source,fuel_group,coalmine_type,coalmine_state,coalmine_county,coalmine_msha_id,coalmine_name,supplier,quantity,average_heat_content,average_sulfur_content,average_ash_content,average_mercury_content,fuel_cost,regulated,operator_name,operator_id,reporting_frequency,primary_transportation_mode,secondary_transportation_mode,natural_gas_transportation_service,,,
2016,year,month,plant_id,plant_name,plant_state,purchase_type,contract_expiration_date,energy_source,fuel_group,coalmine_type,coalmine_state,coalmine_county,coalmine_msha_id,coalmine_name,supplier,quantity,average_heat_content,average_sulfur_content,average_ash_content,average_mercury_content,fuel_cost,regulated,operator_name,operator_id,reporting_frequency,primary_transportation_mode,secondary_transportation_mode,natural_gas_supply_contract_type,natural_gas_delivery_contract_type,moisture_content,chlorine_content
2017,year,month,plant_id,plant_name,plant_state,purchase_type,contract_expiration_date,energy_source,fuel_group,coalmine_type,coalmine_state,coalmine_county,coalmine_msha_id,coalmine_name,supplier,quantity,average_heat_content,average_sulfur_content,average_ash_content,average_mercury_content,fuel_cost,regulated,operator_name,operator_id,reporting_frequency,primary_transportation_mode,secondary_transportation_mode,natural_gas_supply_contract_type,natural_gas_delivery_contract_type,moisture_content,chlorine_content
2018,year,month,plant_id,plant_name,plant_state,purchase_type,contract_expiration_date,energy_source,fuel_group,coalmine_type,coalmine_state,coalmine_county,coalmine_msha_id,coalmine_name,supplier,quantity,average_heat_content,average_sulfur_content,average_ash_content,average_mercury_content,fuel_cost,regulated,operator_name,operator_id,reporting_frequency,primary_transportation_mode,secondary_transportation_mode,natural_gas_supply_contract_type,natural_gas_delivery_contract_type,moisture_content,chlorine_content
