"page",2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"boiler_fuel","EIA923 SCHEDULES 2_3_4_5 M Final 2009 REVISED 05252011.XLS","EIA923 SCHEDULES 2_3_4_5 Final 2010.xls","EIA923_Schedules_2_3_4_5_2011_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2012_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_2013_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2014_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2015_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2016_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2017_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2018_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_11_2019_21JAN2020.xlsx"
"coal_stocks","EIA923 SCHEDULES 2_3_4_5 M Final 2009 REVISED 05252011.XLS","EIA923 SCHEDULES 2_3_4_5 Final 2010.xls","EIA923_Schedules_2_3_4_5_2011_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2012_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_2013_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2014_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2015_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2016_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2017_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2018_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_11_2019_21JAN2020.xlsx"
"energy_storage","EIA923 SCHEDULES 2_3_4_5 M Final 2009 REVISED 05252011.XLS","EIA923 SCHEDULES 2_3_4_5 Final 2010.xls","EIA923_Schedules_2_3_4_5_2011_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2012_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_2013_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2014_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2015_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2016_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2017_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2018_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_11_2019_21JAN2020.xlsx"
"fuel_receipts_costs","EIA923 SCHEDULES 2_3_4_5 M Final 2009 REVISED 05252011.XLS","EIA923 SCHEDULES 2_3_4_5 Final 2010.xls","EIA923_Schedules_2_3_4_5_2011_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2012_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_2013_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2014_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2015_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2016_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2017_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2018_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_11_2019_21JAN2020.xlsx"
"generation_fuel","EIA923 SCHEDULES 2_3_4_5 M Final 2009 REVISED 05252011.XLS","EIA923 SCHEDULES 2_3_4_5 Final 2010.xls","EIA923_Schedules_2_3_4_5_2011_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2012_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_2013_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2014_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2015_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2016_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2017_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2018_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_11_2019_21JAN2020.xlsx"
"generator","EIA923 SCHEDULES 2_3_4_5 M Final 2009 REVISED 05252011.XLS","EIA923 SCHEDULES 2_3_4_5 Final 2010.xls","EIA923_Schedules_2_3_4_5_2011_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2012_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_2013_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2014_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2015_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2016_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2017_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2018_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_11_2019_21JAN2020.xlsx"
"oil_stocks","EIA923 SCHEDULES 2_3_4_5 M Final 2009 REVISED 05252011.XLS","EIA923 SCHEDULES 2_3_4_5 Final 2010.xls","EIA923_Schedules_2_3_4_5_2011_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2012_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_2013_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2014_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2015_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2016_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2017_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2018_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_11_2019_21JAN2020.xlsx"
"petcoke_stocks","EIA923 SCHEDULES 2_3_4_5 M Final 2009 REVISED 05252011.XLS","EIA923 SCHEDULES 2_3_4_5 Final 2010.xls","EIA923_Schedules_2_3_4_5_2011_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2012_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_2013_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2014_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2015_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2016_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2017_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2018_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_11_2019_21JAN2020.xlsx"
"plant_frame","EIA923 SCHEDULES 2_3_4_5 M Final 2009 REVISED 05252011.XLS","EIA923 SCHEDULES 2_3_4_5 Final 2010.xls","EIA923_Schedules_2_3_4_5_2011_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2012_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_2013_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2014_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2015_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2016_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2017_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2018_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_11_2019_21JAN2020.xlsx"
"puerto_rico","EIA923 SCHEDULES 2_3_4_5 M Final 2009 REVISED 05252011.XLS","EIA923 SCHEDULES 2_3_4_5 Final 2010.xls","EIA923_Schedules_2_3_4_5_2011_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2012_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_2013_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2014_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2015_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2016_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2017_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_12_2018_Final_Revision.xlsx","EIA923_Schedules_2_3_4_5_M_11_2019_21JAN2020.xlsx"
