# This is a comment line... what happens?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year_index,plant_id_eia,combined_heat_power,nuclear_unit_id,plant_name_eia,operator_name,operator_id,plant_state,census_region,nerc_region,reserved,naics_code,eia_sector,sector_name,prime_mover_code,fuel_type,fuel_type_code_aer,reserved_1,reserved_2,fuel_unit,fuel_consumed_units_january,fuel_consumed_units_february,fuel_consumed_units_march,fuel_consumed_units_april,fuel_consumed_units_may,fuel_consumed_units_june,fuel_consumed_units_july,fuel_consumed_units_august,fuel_consumed_units_september,fuel_consumed_units_october,fuel_consumed_units_november,fuel_consumed_units_december,fuel_consumed_for_electricity_units_january,fuel_consumed_for_electricity_units_february,fuel_consumed_for_electricity_units_march,fuel_consumed_for_electricity_units_april,fuel_consumed_for_electricity_units_may,fuel_consumed_for_electricity_units_june,fuel_consumed_for_electricity_units_july,fuel_consumed_for_electricity_units_august,fuel_consumed_for_electricity_units_september,fuel_consumed_for_electricity_units_october,fuel_consumed_for_electricity_units_november,fuel_consumed_for_electricity_units_december,fuel_mmbtu_per_unit_january,fuel_mmbtu_per_unit_february,fuel_mmbtu_per_unit_march,fuel_mmbtu_per_unit_april,fuel_mmbtu_per_unit_may,fuel_mmbtu_per_unit_june,fuel_mmbtu_per_unit_july,fuel_mmbtu_per_unit_august,fuel_mmbtu_per_unit_september,fuel_mmbtu_per_unit_october,fuel_mmbtu_per_unit_november,fuel_mmbtu_per_unit_december,fuel_consumed_mmbtu_january,fuel_consumed_mmbtu_february,fuel_consumed_mmbtu_march,fuel_consumed_mmbtu_april,fuel_consumed_mmbtu_may,fuel_consumed_mmbtu_june,fuel_consumed_mmbtu_july,fuel_consumed_mmbtu_august,fuel_consumed_mmbtu_september,fuel_consumed_mmbtu_october,fuel_consumed_mmbtu_november,fuel_consumed_mmbtu_december,fuel_consumed_for_electricity_mmbtu_january,fuel_consumed_for_electricity_mmbtu_february,fuel_consumed_for_electricity_mmbtu_march,fuel_consumed_for_electricity_mmbtu_april,fuel_consumed_for_electricity_mmbtu_may,fuel_consumed_for_electricity_mmbtu_june,fuel_consumed_for_electricity_mmbtu_july,fuel_consumed_for_electricity_mmbtu_august,fuel_consumed_for_electricity_mmbtu_september,fuel_consumed_for_electricity_mmbtu_october,fuel_consumed_for_electricity_mmbtu_november,fuel_consumed_for_electricity_mmbtu_december,net_generation_mwh_january,net_generation_mwh_february,net_generation_mwh_march,net_generation_mwh_april,net_generation_mwh_may,net_generation_mwh_june,net_generation_mwh_july,net_generation_mwh_august,net_generation_mwh_september,net_generation_mwh_october,net_generation_mwh_november,net_generation_mwh_december,total_fuel_consumption_quantity,electric_fuel_consumption_quantity,total_fuel_consumption_mmbtu,elec_fuel_consumption_mmbtu,net_generation_megawatthours,report_year
2009,plant_id,combined_heat_power_plant,nuclear_unit_i_d,plant_name,operator_name,operator_id,state,census_region,nerc_region,reserved,naics_code,eia_sector_number,sector_name,reported_prime_mover,reported_fuel_type_code,aer_fuel_type_code,reserved,reserved,physical_unit_label,quantity_jan,quantity_feb,quantity_mar,quantity_apr,quantity_may,quantity_jun,quantity_jul,quantity_aug,quantity_sep,quantity_oct,quantity_nov,quantity_dec,elec_quantity_jan,elec_quantity_feb,elec_quantity_mar,elec_quantity_apr,elec_quantity_may,elec_quantity_jun,elec_quantity_jul,elec_quantity_aug,elec_quantity_sep,elec_quantity_oct,elec_quantity_nov,elec_quantity_dec,mmbtu_per_unit_jan,mmbtu_per_unit_feb,mmbtu_per_unit_mar,mmbtu_per_unit_apr,mmbtu_per_unit_may,mmbtu_per_unit_jun,mmbtu_per_unit_jul,mmbtu_per_unit_aug,mmbtu_per_unit_sep,mmbtu_per_unit_oct,mmbtu_per_unit_nov,mmbtu_per_unit_dec,tot_mmbtu_jan,tot_mmbtu_feb,tot_mmbtu_mar,tot_mmbtu_apr,tot_mmbtu_may,tot_mmbtu_jun,tot_mmbtu_jul,tot_mmbtu_aug,tot_mmbtu_sep,tot_mmbtu_oct,tot_mmbtu_nov,tot_mmbtu_dec,elec_mmbtus_jan,elec_mmbtus_feb,elec_mmbtus_mar,elec_mmbtus_apr,elec_mmbtus_may,elec_mmbtus_jun,elec_mmbtus_jul,elec_mmbtus_aug,elec_mmbtus_sep,elec_mmbtus_oct,elec_mmbtus_nov,elec_mmbtus_dec,netgen_jan,netgen_feb,netgen_mar,netgen_apr,netgen_may,netgen_jun,netgen_jul,netgen_aug,netgen_sep,netgen_oct,netgen_nov,netgen_dec,total_fuel_consumption_quantity,electric_fuel_consumption_quantity,total_fuel_consumption_mmbtus,elec_fuel_consumption_mmbtus,net_generation_megawatthours,year
2010,plant_id,combined_heat_power_plant,nuclear_unit_i_d,plant_name,operator_name,operator_id,state,census_region,nerc_region,reserved,naics_code,eia_sector_number,sector_name,reported_prime_mover,reported_fuel_type_code,aer_fuel_type_code,reserved,reserved,physical_unit_label,quantity_jan,quantity_feb,quantity_mar,quantity_apr,quantity_may,quantity_jun,quantity_jul,quantity_aug,quantity_sep,quantity_oct,quantity_nov,quantity_dec,elec_quantity_jan,elec_quantity_feb,elec_quantity_mar,elec_quantity_apr,elec_quantity_may,elec_quantity_jun,elec_quantity_jul,elec_quantity_aug,elec_quantity_sep,elec_quantity_oct,elec_quantity_nov,elec_quantity_dec,mmbtu_per_unit_jan,mmbtu_per_unit_feb,mmbtu_per_unit_mar,mmbtu_per_unit_apr,mmbtu_per_unit_may,mmbtu_per_unit_jun,mmbtu_per_unit_jul,mmbtu_per_unit_aug,mmbtu_per_unit_sep,mmbtu_per_unit_oct,mmbtu_per_unit_nov,mmbtu_per_unit_dec,tot_mmbtu_jan,tot_mmbtu_feb,tot_mmbtu_mar,tot_mmbtu_apr,tot_mmbtu_may,tot_mmbtu_jun,tot_mmbtu_jul,tot_mmbtu_aug,tot_mmbtu_sep,tot_mmbtu_oct,tot_mmbtu_nov,tot_mmbtu_dec,elec_mmbtus_jan,elec_mmbtus_feb,elec_mmbtus_mar,elec_mmbtus_apr,elec_mmbtus_may,elec_mmbtus_jun,elec_mmbtus_jul,elec_mmbtus_aug,elec_mmbtus_sep,elec_mmbtus_oct,elec_mmbtus_nov,elec_mmbtus_dec,netgen_jan,netgen_feb,netgen_mar,netgen_apr,netgen_may,netgen_jun,netgen_jul,netgen_aug,netgen_sep,netgen_oct,netgen_nov,netgen_dec,total_fuel_consumption_quantity,electric_fuel_consumption_quantity,total_fuel_consumption_mmbtus,elec_fuel_consumption_mmbtus,net_generation_megawatthours,year
2011,plant_id,combined_heat_power_plant,nuclear_unit_id,plant_name,operator_name,operator_id,state,census_region,nerc_region,reserved,naics_code,eia_sector_number,sector_name,reported_prime_mover,reported_fuel_type_code,aer_fuel_type_code,reserved,reserved,physical_unit_label,quantity_jan,quantity_feb,quantity_mar,quantity_apr,quantity_may,quantity_jun,quantity_jul,quantity_aug,quantity_sep,quantity_oct,quantity_nov,quantity_dec,elec_quantity_jan,elec_quantity_feb,elec_quantity_mar,elec_quantity_apr,elec_quantity_may,elec_quantity_jun,elec_quantity_jul,elec_quantity_aug,elec_quantity_sep,elec_quantity_oct,elec_quantity_nov,elec_quantity_dec,mmbtuper_unit_jan,mmbtuper_unit_feb,mmbtuper_unit_mar,mmbtuper_unit_apr,mmbtuper_unit_may,mmbtuper_unit_jun,mmbtuper_unit_jul,mmbtuper_unit_aug,mmbtuper_unit_sep,mmbtuper_unit_oct,mmbtuper_unit_nov,mmbtuper_unit_dec,tot_mmbtujan,tot_mmbtufeb,tot_mmbtumar,tot_mmbtuapr,tot_mmbtumay,tot_mmbtujun,tot_mmbtujul,tot_mmbtuaug,tot_mmbtusep,tot_mmbtuoct,tot_mmbtunov,tot_mmbtudec,elec_mmbtujan,elec_mmbtufeb,elec_mmbtumar,elec_mmbtuapr,elec_mmbtumay,elec_mmbtujun,elec_mmbtujul,elec_mmbtuaug,elec_mmbtusep,elec_mmbtuoct,elec_mmbtunov,elec_mmbtudec,netgen_jan,netgen_feb,netgen_mar,netgen_apr,netgen_may,netgen_jun,netgen_jul,netgen_aug,netgen_sep,netgen_oct,netgen_nov,netgen_dec,total_fuel_consumption_quantity,electric_fuel_consumption_quantity,total_fuel_consumption_mmbtu,elec_fuel_consumption_mmbtu,net_generation_megawatthours,year
2012,plant_id,combined_heat_and_power_plant,nuclear_unit_id,plant_name,operator_name,operator_id,plant_state,census_region,nerc_region,reserved,naics_code,eia_sector_number,sector_name,reported_prime_mover,reported_fuel_type_code,aer_fuel_type_code,reserved,reserved,physical_unit_label,quantity_january,quantity_february,quantity_march,quantity_april,quantity_may,quantity_june,quantity_july,quantity_august,quantity_september,quantity_october,quantity_november,quantity_december,elec_quantity_january,elec_quantity_february,elec_quantity_march,elec_quantity_april,elec_quantity_may,elec_quantity_june,elec_quantity_july,elec_quantity_august,elec_quantity_september,elec_quantity_october,elec_quantity_november,elec_quantity_december,mmbtuper_unit_january,mmbtuper_unit_february,mmbtuper_unit_march,mmbtuper_unit_april,mmbtuper_unit_may,mmbtuper_unit_june,mmbtuper_unit_july,mmbtuper_unit_august,mmbtuper_unit_september,mmbtuper_unit_october,mmbtuper_unit_november,mmbtuper_unit_december,tot_mmbtu_january,tot_mmbtu_february,tot_mmbtu_march,tot_mmbtu_april,tot_mmbtu_may,tot_mmbtu_june,tot_mmbtu_july,tot_mmbtu_august,tot_mmbtu_september,tot_mmbtu_october,tot_mmbtu_november,tot_mmbtu_december,elec_mmbtu_january,elec_mmbtu_february,elec_mmbtu_march,elec_mmbtu_april,elec_mmbtu_may,elec_mmbtu_june,elec_mmbtu_july,elec_mmbtu_august,elec_mmbtu_september,elec_mmbtu_october,elec_mmbtu_november,elec_mmbtu_december,netgen_january,netgen_february,netgen_march,netgen_april,netgen_may,netgen_june,netgen_july,netgen_august,netgen_september,netgen_october,netgen_november,netgen_december,total_fuel_consumption_quantity,electric_fuel_consumption_quantity,total_fuel_consumption_mmbtu,elec_fuel_consumption_mmbtu,net_generation_megawatthours,year
2013,plant_id,combined_heat_power_plant,nuclear_unit_id,plant_name,operator_name,operator_id,state,census_region,nerc_region,reserved,naics_code,eia_sector_number,sector_name,reported_prime_mover,reported_fuel_type_code,aer_fuel_type_code,reserved,reserved,physical_unit_label,quantity_jan,quantity_feb,quantity_mar,quantity_apr,quantity_may,quantity_jun,quantity_jul,quantity_aug,quantity_sep,quantity_oct,quantity_nov,quantity_dec,elec_quantity_jan,elec_quantity_feb,elec_quantity_mar,elec_quantity_apr,elec_quantity_may,elec_quantity_jun,elec_quantity_jul,elec_quantity_aug,elec_quantity_sep,elec_quantity_oct,elec_quantity_nov,elec_quantity_dec,mmbtuper_unit_jan,mmbtuper_unit_feb,mmbtuper_unit_mar,mmbtuper_unit_apr,mmbtuper_unit_may,mmbtuper_unit_jun,mmbtuper_unit_jul,mmbtuper_unit_aug,mmbtuper_unit_sep,mmbtuper_unit_oct,mmbtuper_unit_nov,mmbtuper_unit_dec,tot_mmbtujan,tot_mmbtufeb,tot_mmbtumar,tot_mmbtuapr,tot_mmbtumay,tot_mmbtujun,tot_mmbtujul,tot_mmbtuaug,tot_mmbtusep,tot_mmbtuoct,tot_mmbtunov,tot_mmbtudec,elec_mmbtujan,elec_mmbtufeb,elec_mmbtumar,elec_mmbtuapr,elec_mmbtumay,elec_mmbtujun,elec_mmbtujul,elec_mmbtuaug,elec_mmbtusep,elec_mmbtuoct,elec_mmbtunov,elec_mmbtudec,netgen_jan,netgen_feb,netgen_mar,netgen_apr,netgen_may,netgen_jun,netgen_jul,netgen_aug,netgen_sep,netgen_oct,netgen_nov,netgen_dec,total_fuel_consumption_quantity,electric_fuel_consumption_quantity,total_fuel_consumption_mmbtu,elec_fuel_consumption_mmbtu,net_generation_megawatthours,year
2014,plant_id,combined_heat_and_power_plant,nuclear_unit_id,plant_name,operator_name,operator_id,plant_state,census_region,nerc_region,reserved,naics_code,eia_sector_number,sector_name,reported_prime_mover,reported_fuel_type_code,aer_fuel_type_code,reserved,reserved,physical_unit_label,quantity_january,quantity_february,quantity_march,quantity_april,quantity_may,quantity_june,quantity_july,quantity_august,quantity_september,quantity_october,quantity_november,quantity_december,elec_quantity_january,elec_quantity_february,elec_quantity_march,elec_quantity_april,elec_quantity_may,elec_quantity_june,elec_quantity_july,elec_quantity_august,elec_quantity_september,elec_quantity_october,elec_quantity_november,elec_quantity_december,mmbtuper_unit_january,mmbtuper_unit_february,mmbtuper_unit_march,mmbtuper_unit_april,mmbtuper_unit_may,mmbtuper_unit_june,mmbtuper_unit_july,mmbtuper_unit_august,mmbtuper_unit_september,mmbtuper_unit_october,mmbtuper_unit_november,mmbtuper_unit_december,tot_mmbtu_january,tot_mmbtu_february,tot_mmbtu_march,tot_mmbtu_april,tot_mmbtu_may,tot_mmbtu_june,tot_mmbtu_july,tot_mmbtu_august,tot_mmbtu_september,tot_mmbtu_october,tot_mmbtu_november,tot_mmbtu_december,elec_mmbtu_january,elec_mmbtu_february,elec_mmbtu_march,elec_mmbtu_april,elec_mmbtu_may,elec_mmbtu_june,elec_mmbtu_july,elec_mmbtu_august,elec_mmbtu_september,elec_mmbtu_october,elec_mmbtu_november,elec_mmbtu_december,netgen_january,netgen_february,netgen_march,netgen_april,netgen_may,netgen_june,netgen_july,netgen_august,netgen_september,netgen_october,netgen_november,netgen_december,total_fuel_consumption_quantity,electric_fuel_consumption_quantity,total_fuel_consumption_mmbtu,elec_fuel_consumption_mmbtu,net_generation_megawatthours,year
2015,plant_id,combined_heat_and_power_plant,nuclear_unit_id,plant_name,operator_name,operator_id,plant_state,census_region,nerc_region,reserved,naics_code,eia_sector_number,sector_name,reported_prime_mover,reported_fuel_type_code,aer_fuel_type_code,reserved,reserved,physical_unit_label,quantity_january,quantity_february,quantity_march,quantity_april,quantity_may,quantity_june,quantity_july,quantity_august,quantity_september,quantity_october,quantity_november,quantity_december,elec_quantity_january,elec_quantity_february,elec_quantity_march,elec_quantity_april,elec_quantity_may,elec_quantity_june,elec_quantity_july,elec_quantity_august,elec_quantity_september,elec_quantity_october,elec_quantity_november,elec_quantity_december,mmbtuper_unit_january,mmbtuper_unit_february,mmbtuper_unit_march,mmbtuper_unit_april,mmbtuper_unit_may,mmbtuper_unit_june,mmbtuper_unit_july,mmbtuper_unit_august,mmbtuper_unit_september,mmbtuper_unit_october,mmbtuper_unit_november,mmbtuper_unit_december,tot_mmbtu_january,tot_mmbtu_february,tot_mmbtu_march,tot_mmbtu_april,tot_mmbtu_may,tot_mmbtu_june,tot_mmbtu_july,tot_mmbtu_august,tot_mmbtu_september,tot_mmbtu_october,tot_mmbtu_november,tot_mmbtu_december,elec_mmbtu_january,elec_mmbtu_february,elec_mmbtu_march,elec_mmbtu_april,elec_mmbtu_may,elec_mmbtu_june,elec_mmbtu_july,elec_mmbtu_august,elec_mmbtu_september,elec_mmbtu_october,elec_mmbtu_november,elec_mmbtu_december,netgen_january,netgen_february,netgen_march,netgen_april,netgen_may,netgen_june,netgen_july,netgen_august,netgen_september,netgen_october,netgen_november,netgen_december,total_fuel_consumption_quantity,electric_fuel_consumption_quantity,total_fuel_consumption_mmbtu,elec_fuel_consumption_mmbtu,net_generation_megawatthours,year
2016,plant_id,combined_heat_and_power_plant,nuclear_unit_id,plant_name,operator_name,operator_id,plant_state,census_region,nerc_region,reserved,naics_code,eia_sector_number,sector_name,reported_prime_mover,reported_fuel_type_code,aer_fuel_type_code,reserved,reserved,physical_unit_label,quantity_january,quantity_february,quantity_march,quantity_april,quantity_may,quantity_june,quantity_july,quantity_august,quantity_september,quantity_october,quantity_november,quantity_december,elec_quantity_january,elec_quantity_february,elec_quantity_march,elec_quantity_april,elec_quantity_may,elec_quantity_june,elec_quantity_july,elec_quantity_august,elec_quantity_september,elec_quantity_october,elec_quantity_november,elec_quantity_december,mmbtuper_unit_january,mmbtuper_unit_february,mmbtuper_unit_march,mmbtuper_unit_april,mmbtuper_unit_may,mmbtuper_unit_june,mmbtuper_unit_july,mmbtuper_unit_august,mmbtuper_unit_september,mmbtuper_unit_october,mmbtuper_unit_november,mmbtuper_unit_december,tot_mmbtu_january,tot_mmbtu_february,tot_mmbtu_march,tot_mmbtu_april,tot_mmbtu_may,tot_mmbtu_june,tot_mmbtu_july,tot_mmbtu_august,tot_mmbtu_september,tot_mmbtu_october,tot_mmbtu_november,tot_mmbtu_december,elec_mmbtu_january,elec_mmbtu_february,elec_mmbtu_march,elec_mmbtu_april,elec_mmbtu_may,elec_mmbtu_june,elec_mmbtu_july,elec_mmbtu_august,elec_mmbtu_september,elec_mmbtu_october,elec_mmbtu_november,elec_mmbtu_december,netgen_january,netgen_february,netgen_march,netgen_april,netgen_may,netgen_june,netgen_july,netgen_august,netgen_september,netgen_october,netgen_november,netgen_december,total_fuel_consumption_quantity,electric_fuel_consumption_quantity,total_fuel_consumption_mmbtu,elec_fuel_consumption_mmbtu,net_generation_megawatthours,year
2017,plant_id,combined_heat_and_power_plant,nuclear_unit_id,plant_name,operator_name,operator_id,plant_state,census_region,nerc_region,reserved,naics_code,eia_sector_number,sector_name,reported_prime_mover,reported_fuel_type_code,aer_fuel_type_code,reserved,reserved,physical_unit_label,quantity_january,quantity_february,quantity_march,quantity_april,quantity_may,quantity_june,quantity_july,quantity_august,quantity_september,quantity_october,quantity_november,quantity_december,elec_quantity_january,elec_quantity_february,elec_quantity_march,elec_quantity_april,elec_quantity_may,elec_quantity_june,elec_quantity_july,elec_quantity_august,elec_quantity_september,elec_quantity_october,elec_quantity_november,elec_quantity_december,mmbtuper_unit_january,mmbtuper_unit_february,mmbtuper_unit_march,mmbtuper_unit_april,mmbtuper_unit_may,mmbtuper_unit_june,mmbtuper_unit_july,mmbtuper_unit_august,mmbtuper_unit_september,mmbtuper_unit_october,mmbtuper_unit_november,mmbtuper_unit_december,tot_mmbtu_january,tot_mmbtu_february,tot_mmbtu_march,tot_mmbtu_april,tot_mmbtu_may,tot_mmbtu_june,tot_mmbtu_july,tot_mmbtu_august,tot_mmbtu_september,tot_mmbtu_october,tot_mmbtu_november,tot_mmbtu_december,elec_mmbtu_january,elec_mmbtu_february,elec_mmbtu_march,elec_mmbtu_april,elec_mmbtu_may,elec_mmbtu_june,elec_mmbtu_july,elec_mmbtu_august,elec_mmbtu_september,elec_mmbtu_october,elec_mmbtu_november,elec_mmbtu_december,netgen_january,netgen_february,netgen_march,netgen_april,netgen_may,netgen_june,netgen_july,netgen_august,netgen_september,netgen_october,netgen_november,netgen_december,total_fuel_consumption_quantity,electric_fuel_consumption_quantity,total_fuel_consumption_mmbtu,elec_fuel_consumption_mmbtu,net_generation_megawatthours,year
2018,plant_id,combined_heat_and_power_plant,nuclear_unit_id,plant_name,operator_name,operator_id,plant_state,census_region,nerc_region,reserved,naics_code,eia_sector_number,sector_name,reported_prime_mover,reported_fuel_type_code,aer_fuel_type_code,reserved,reserved,physical_unit_label,quantity_january,quantity_february,quantity_march,quantity_april,quantity_may,quantity_june,quantity_july,quantity_august,quantity_september,quantity_october,quantity_november,quantity_december,elec_quantity_january,elec_quantity_february,elec_quantity_march,elec_quantity_april,elec_quantity_may,elec_quantity_june,elec_quantity_july,elec_quantity_august,elec_quantity_september,elec_quantity_october,elec_quantity_november,elec_quantity_december,mmbtuper_unit_january,mmbtuper_unit_february,mmbtuper_unit_march,mmbtuper_unit_april,mmbtuper_unit_may,mmbtuper_unit_june,mmbtuper_unit_july,mmbtuper_unit_august,mmbtuper_unit_september,mmbtuper_unit_october,mmbtuper_unit_november,mmbtuper_unit_december,tot_mmbtu_january,tot_mmbtu_february,tot_mmbtu_march,tot_mmbtu_april,tot_mmbtu_may,tot_mmbtu_june,tot_mmbtu_july,tot_mmbtu_august,tot_mmbtu_september,tot_mmbtu_october,tot_mmbtu_november,tot_mmbtu_december,elec_mmbtu_january,elec_mmbtu_february,elec_mmbtu_march,elec_mmbtu_april,elec_mmbtu_may,elec_mmbtu_june,elec_mmbtu_july,elec_mmbtu_august,elec_mmbtu_september,elec_mmbtu_october,elec_mmbtu_november,elec_mmbtu_december,netgen_january,netgen_february,netgen_march,netgen_april,netgen_may,netgen_june,netgen_july,netgen_august,netgen_september,netgen_october,netgen_november,netgen_december,total_fuel_consumption_quantity,electric_fuel_consumption_quantity,total_fuel_consumption_mmbtu,elec_fuel_consumption_mmbtu,net_generation_megawatthours,year
