year_index,utility_id_eia,utility_name_eia,plant_id_eia,plant_name_eia,state,generator_id,operational_status_code,owner_utility_id_eia,owner_name,owner_state,owner_street_address,owner_city,owner_zip_code,fraction_owned
2009,utility_id,utility_name,plant_code,plant_name,state,generator_id,status,ownership_id,owner_name,owner_state,,,,percent_owned
2010,utility_id,utility_name,plant_code,plant_name,state,generator_id,status,ownership_id,owner_name,owner_state,,,,percent_owned
2011,utility_id,utility_name,plant_code,plant_name,state,generator_id,status,ownership_id,owner_name,owner_state,,,,percent_owned
2012,utility_id,utility_name,plant_code,plant_name,state,generator_id,status,ownership_id,owner_name,owner_state,,,,percent_owned
2013,utility_id,utility_name,plant_code,plant_name,state,generator_id,status,ownership_id,owner_name,owner_state,owner_street_address,owner_city,owner_zip,percent_owned
2014,utility_id,utility_name,plant_code,plant_name,state,generator_id,status,ownership_id,owner_name,owner_state,owner_street_address,owner_city,owner_zip,percent_owned
2015,utility_id,utility_name,plant_code,plant_name,state,generator_id,status,ownership_id,owner_name,owner_state,owner_street_address,owner_city,owner_zip,percent_owned
2016,utility_id,utility_name,plant_code,plant_name,state,generator_id,status,ownership_id,owner_name,owner_state,owner_street_address,owner_city,owner_zip,percent_owned
2017,utility_id,utility_name,plant_code,plant_name,state,generator_id,status,ownership_id,owner_name,owner_state,owner_street_address,owner_city,owner_zip,percent_owned
2018,utility_id,utility_name,plant_code,plant_name,state,generator_id,status,ownership_id,owner_name,owner_state,owner_street_address,owner_city,owner_zip,percent_owned
