year_index,utility_id_eia,utility_name_eia,plant_id_eia,plant_name_eia,street_address,city,county,state,zip_code,water_source,nerc_region,primary_purpose_naics_id,transmission_distribution_owner_name,transmission_distribution_owner_id,transmission_distribution_owner_state,regulatory_status_code,sector_name,sector_id,ferc_cogen_status,ferc_cogen_docket_no,net_metering,ferc_small_power_producer,ferc_small_power_producer_docket_no,ferc_exempt_wholesale_generator,ferc_exempt_wholesale_generator_docket_no,iso_rto,iso_rto_code,latitude,longitude,balancing_authority_code,balancing_authority_name,grid_voltage_kv,grid_voltage_2_kv,grid_voltage_3_kv,ash_impoundment,ash_impoundment_lined,ash_impoundment_status,energy_storage,natural_gas_pipeline_name_1,natural_gas_pipeline_name_2,natural_gas_pipeline_name_3,pipeline_notes,natural_gas_local_distribution_company,natural_gas_storage,liquefied_natural_gas_storage
2009,utility_id,,plant_code,plant_name,street_address,city,county,state,zip5,name_of_water_source,nerc,primary_purpose,ownertransdist,ownertransid,ownerstate,regulatory_status,sector_name,sector_number,ferc_cogen,ferc_cogen_docket,,ferc_small_power,ferc_small_power_docket,ferc_exempt_wholesale,ferc_exempt_wholesale_docket,,,,,,,,,,,,,,,,,,,,
2010,utility_id,,plant_code,plant_name,street_address,city,county,state,zip5,name_of_water_source,nerc,primary_purpose,ownertransdist,ownertransid,ownerstate,regulatory_status,sector_name,sector_number,ferc_cogen,ferc_cogen_docket,,ferc_small_power,ferc_small_power_docket,ferc_exempt_wholesale,ferc_exempt_wholesale_docket,iso_rto,iso_rto_code,,,,,,,,,,,,,,,,,,
2011,utility_id,,plant_code,plant_name,street_address,city,county,state,zip5,name_of_water_source,nerc,primary_purpose,ownertransdist,ownertransid,ownerstate,regulatory_status,sector_name,sector,ferc_cogen,ferc_cogen_docket,,ferc_small_power,ferc_small_power_docket,ferc_exempt_wholesale,ferc_exempt_wholesale_docket,iso_rto,iso_rto_code,,,,,gridvoltage,,,,,,,,,,,,,
2012,utility_id,,plant_code,plant_name,street_address,city,county,state,zip,name_of_water_source,nerc_region,primary_purpose_naics_code,transmission_or_distribution_system_owner,transmission_or_distribution_system_owner_id,transmission_or_distribution_system_owner_state,regulatory_status,sector_name,sector,ferc_cogeneration_status,ferc_cogeneration_docket_number,,ferc_small_power_producer_status,ferc_small_power_producer_docket_number,ferc_exempt_wholesale_generator_status,ferc_exempt_wholesale_generator_docket_number,iso_rto,iso_rto_code,latitude,longitude,,,grid_voltage_kv,,,,,,,,,,,,,
2013,utility_id,utility_name,plant_code,plant_name,street_address,city,county,state,zip,name_of_water_source,nerc_region_code,primary_purpose_naics_code,transmission_or_distribution_system_owner,transmission_or_distribution_system_owner_id,transmission_or_distribution_system_owner_state,regulatory_status,sector_name,sector,ferc_cogeneration_status,ferc_cogeneration_docket_number,net_metering_for_facilities_with_solar_or_wind_generation,ferc_small_power_producer_status,ferc_small_power_producer_docket_number,ferc_exempt_wholesale_generator_status,ferc_exempt_wholesale_generator_docket_number,,,latitude,longitude,balancing_authority_code,balancing_authority_name,grid_voltage_kv,grid_voltage_2_kv,grid_voltage_3_kv,ash_impoundment,ash_impoundment_lined,ash_impoundment_status,,natural_gas_pipeline_name,,,,,,
2014,utility_id,utility_name,plant_code,plant_name,street_address,city,county,state,zip,name_of_water_source,nerc_region,primary_purpose_naics_code,transmission_or_distribution_system_owner,transmission_or_distribution_system_owner_id,transmission_or_distribution_system_owner_state,regulatory_status,sector_name,sector,ferc_cogeneration_status,ferc_cogeneration_docket_number,net_metering_for_facilities_with_solar_or_wind_generation,ferc_small_power_producer_status,ferc_small_power_producer_docket_number,ferc_exempt_wholesale_generator_status,ferc_exempt_wholesale_generator_docket_number,,,latitude,longitude,balancing_authority_code,balancing_authority_name,grid_voltage_kv,grid_voltage_2_kv,grid_voltage_3_kv,ash_impoundment,ash_impoundment_lined,ash_impoundment_status,,natural_gas_pipeline_name,,,,,,
2015,utility_id,utility_name,plant_code,plant_name,street_address,city,county,state,zip,name_of_water_source,nerc_region,primary_purpose_naics_code,transmission_or_distribution_system_owner,transmission_or_distribution_system_owner_id,transmission_or_distribution_system_owner_state,regulatory_status,sector_name,sector,ferc_cogeneration_status,ferc_cogeneration_docket_number,net_metering_for_facilities_with_solar_or_wind_generation,ferc_small_power_producer_status,ferc_small_power_producer_docket_number,ferc_exempt_wholesale_generator_status,ferc_exempt_wholesale_generator_docket_number,,,latitude,longitude,balancing_authority_code,balancing_authority_name,grid_voltage_kv,grid_voltage_2_kv,grid_voltage_3_kv,ash_impoundment,ash_impoundment_lined,ash_impoundment_status,,natural_gas_pipeline_name,,,,,,
2016,utility_id,utility_name,plant_code,plant_name,street_address,city,county,state,zip,name_of_water_source,nerc_region,primary_purpose_naics_code,transmission_or_distribution_system_owner,transmission_or_distribution_system_owner_id,transmission_or_distribution_system_owner_state,regulatory_status,sector_name,sector,ferc_cogeneration_status,ferc_cogeneration_docket_number,,ferc_small_power_producer_status,ferc_small_power_producer_docket_number,ferc_exempt_wholesale_generator_status,ferc_exempt_wholesale_generator_docket_number,,,latitude,longitude,balancing_authority_code,balancing_authority_name,grid_voltage_kv,grid_voltage_2_kv,grid_voltage_3_kv,ash_impoundment,ash_impoundment_lined,ash_impoundment_status,energy_storage,natural_gas_pipeline_name_1,natural_gas_pipeline_name_2,natural_gas_pipeline_name_3,pipeline_notes,natural_gas_ldc_name,natural_gas_storage,liquefied_natural_gas_storage
2017,utility_id,utility_name,plant_code,plant_name,street_address,city,county,state,zip,name_of_water_source,nerc_region,primary_purpose_naics_code,transmission_or_distribution_system_owner,transmission_or_distribution_system_owner_id,transmission_or_distribution_system_owner_state,regulatory_status,sector_name,sector,ferc_cogeneration_status,ferc_cogeneration_docket_number,,ferc_small_power_producer_status,ferc_small_power_producer_docket_number,ferc_exempt_wholesale_generator_status,ferc_exempt_wholesale_generator_docket_number,,,latitude,longitude,balancing_authority_code,balancing_authority_name,grid_voltage_kv,grid_voltage_2_kv,grid_voltage_3_kv,ash_impoundment,ash_impoundment_lined,ash_impoundment_status,energy_storage,natural_gas_pipeline_name_1,natural_gas_pipeline_name_2,natural_gas_pipeline_name_3,pipeline_notes,natural_gas_ldc_name,natural_gas_storage,liquefied_natural_gas_storage
2018,utility_id,utility_name,plant_code,plant_name,street_address,city,county,state,zip,name_of_water_source,nerc_region,primary_purpose_naics_code,transmission_or_distribution_system_owner,transmission_or_distribution_system_owner_id,transmission_or_distribution_system_owner_state,regulatory_status,sector_name,sector,ferc_cogeneration_status,ferc_cogeneration_docket_number,,ferc_small_power_producer_status,ferc_small_power_producer_docket_number,ferc_exempt_wholesale_generator_status,ferc_exempt_wholesale_generator_docket_number,,,latitude,longitude,balancing_authority_code,balancing_authority_name,grid_voltage_kv,grid_voltage_2_kv,grid_voltage_3_kv,ash_impoundment,ash_impoundment_lined,ash_impoundment_status,energy_storage,natural_gas_pipeline_name_1,natural_gas_pipeline_name_2,natural_gas_pipeline_name_3,pipeline_notes,natural_gas_ldc_name,natural_gas_storage,liquefied_natural_gas_storage
