year_index,utility_id_eia,utility_name_eia,street_address,city,state,zip_code,plants_reported_owner,plants_reported_operator,plants_reported_asset_manager,plants_reported_other_relationship,entity_type,utility_attn,utility_pobox,utility_zip4,contact_firstname,contact_lastname,contact_title,contact_firstname2,contact_lastname2,contact_title2
2009,utility_id,utility_name,utility_street_address,utility_city,utility_state,utility_zip5,,,,,,utility_attention_line,utility_po_box_line,utility_zip4,contact_firstname,contact_name,contact_title,contact_firstname2,contact_name2,contact_title2
2010,utility_id,utility_name,utility_street_address_2,utility_city,utility_state,utility_zip5,,,,,,,utility_street_address,utility_zip4,,,,,,
2011,utility_id,utility_name,street_address,city,state,zip5,,,,,,,,,,,,,,
2012,utility_id,utility_name,street_address,city,state,zip,,,,,,,,,,,,,,
2013,utility_id,utility_name,street_address,city,state,zip,owner,operator,asset_manager,other_reltionships_with_plants_reported_on_form,entity_type,,,,,,,,,
2014,utility_id,utility_name,street_address,city,state,zip,owner,operator,asset_manager,other_relationships_with_plants_reported_on_form,entity_type,,,,,,,,,
2015,utility_id,utility_name,street_address,city,state,zip,owner_of_plants_reported_on_form,operator_of_plants_reported_on_form,asset_manager_of_plants_reported_on_form,other_relationships_with_plants_reported_on_form,entity_type,,,,,,,,,
2016,utility_id,utility_name,street_address,city,state,zip,owner_of_plants_reported_on_form,operator_of_plants_reported_on_form,asset_manager_of_plants_reported_on_form,other_relationships_with_plants_reported_on_form,entity_type,,,,,,,,,
2017,utility_id,utility_name,street_address,city,state,zip,owner_of_plants_reported_on_form,operator_of_plants_reported_on_form,asset_manager_of_plants_reported_on_form,other_relationships_with_plants_reported_on_form,entity_type,,,,,,,,,
2018,utility_id,utility_name,street_address,city,state,zip,owner_of_plants_reported_on_form,operator_of_plants_reported_on_form,asset_manager_of_plants_reported_on_form,other_relationships_with_plants_reported_on_form,entity_type,,,,,,,,,
