year_index,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
data_date,,,,,,,,,,,,,,,,,,,,,DATAFILE_AS_OF,DATAFILE_AS_OF,DATAFILE_AS_OF,DATAFILE_AS_OF,DATAFILE_AS_OF,DATAFILE_AS_OF,DATAFILE_AS_OF,DATAFILE_AS_OF,DATAFILE_AS_OF,DATAFILE_AS_OF,DATAFILE_AS_OF,DATAFILE_AS_OF,DATAFILE_AS_OF
report_year,YR,YR,YR,YR        ,YR        ,YR        ,YR        ,YR        ,YR,YR,YR,YR,YR,YR,YR,YR,YR,YR,YR,YR,REPORT_YEAR,REPORT_YEAR,REPORT_YEAR,REPORT_YEAR,REPORT_YEAR,REPORT_YEAR,REPORT_YEAR,REPORT_YEAR,REPORT_YEAR,REPORT_YEAR,REPORT_YEAR,REPORT_YEAR,REPORT_YEAR
report_number,RPTID,RPTID,RPTID,RPTID,RPTID,RPTID,RPTID,RPTID,RPTID,RPTID,RPTID,RPTID,RPTID,RPTID,RPTID,RPTID,RPTID,RPTID,RPTID,RPTID,REPORT_NUMBER,REPORT_NUMBER,REPORT_NUMBER,REPORT_NUMBER,REPORT_NUMBER,REPORT_NUMBER,REPORT_NUMBER,REPORT_NUMBER,REPORT_NUMBER,REPORT_NUMBER,REPORT_NUMBER,REPORT_NUMBER,REPORT_NUMBER
log,,,,,LOG       ,LOG       ,LOG       ,LOG       ,,,,,,,,,,,,,,,,,,,,,,,,,
supplemental_report_number,,,,,,,,,,,,,,,D_SUP_ID,D_SUP_ID,D_SUP_ID,D_SUP_ID,D_SUP_ID,D_SUP_ID,SUPPLEMENTAL_NUMBER,SUPPLEMENTAL_NUMBER,SUPPLEMENTAL_NUMBER,SUPPLEMENTAL_NUMBER,SUPPLEMENTAL_NUMBER,SUPPLEMENTAL_NUMBER,SUPPLEMENTAL_NUMBER,SUPPLEMENTAL_NUMBER,SUPPLEMENTAL_NUMBER,SUPPLEMENTAL_NUMBER,SUPPLEMENTAL_NUMBER,SUPPLEMENTAL_NUMBER,SUPPLEMENTAL_NUMBER
operator_id_phmsa,OPID,OPID,OPID,OPID      ,OPID      ,OPID      ,OPID      ,OPID      ,OPID,OPID,OPERATOR_ID,OPERATOR_ID,OPERATOR_ID,OPERATOR_ID,OPERATOR_ID,OPERATOR_ID,OPERATOR_ID,OPERATOR_ID,OPERATOR_ID,OPERATOR_ID,OPERATOR_ID,OPERATOR_ID,OPERATOR_ID,OPERATOR_ID,OPERATOR_ID,OPERATOR_ID,OPERATOR_ID,OPERATOR_ID,OPERATOR_ID,OPERATOR_ID,OPERATOR_ID,OPERATOR_ID,OPERATOR_ID
operator_name_phmsa,NAME,NAME,NAME,NAME      ,NAME      ,NAME      ,NAME      ,NAME      ,NAME,NAME,NAME,NAME,NAME,NAME,NAME,NAME,NAME,NAME,NAME,NAME,OPERATOR_NAME,OPERATOR_NAME,OPERATOR_NAME,OPERATOR_NAME,OPERATOR_NAME,OPERATOR_NAME,OPERATOR_NAME,OPERATOR_NAME,OPERATOR_NAME,OPERATOR_NAME,OPERATOR_NAME,OPERATOR_NAME,OPERATOR_NAME
office_address_street,OSTREET,OSTREET,OSTREET,STADD     ,STADD     ,STADD     ,STADD     ,STADD     ,STADD,OSTREET,OSTREET,OSTREET,OSTREET,OSTREET,OFSTREET,OFSTREET,OFSTREET,OFSTREET,OFSTREET,OFSTREET,OFFICE_ADDRESS_STREET,OFFICE_ADDRESS_STREET,OFFICE_ADDRESS_STREET,OFFICE_ADDRESS_STREET,OFFICE_ADDRESS_STREET,OFFICE_ADDRESS_STREET,OFFICE_ADDRESS_STREET,OFFICE_ADDRESS_STREET,OFFICE_ADDRESS_STREET,OFFICE_ADDRESS_STREET,OFFICE_ADDRESS_STREET,OFFICE_ADDRESS_STREET,OFFICE_ADDRESS_STREET
office_address_city,OCITY,OCITY,OCITY,CITY      ,CITY      ,CITY      ,CITY      ,CITY      ,CITY,OCITY,OCITY,OCITY,OCITY,OCITY,OFCITY,OFCITY,OFCITY,OFCITY,OFCITY,OFCITY,OFFICE_ADDRESS_CITY,OFFICE_ADDRESS_CITY,OFFICE_ADDRESS_CITY,OFFICE_ADDRESS_CITY,OFFICE_ADDRESS_CITY,OFFICE_ADDRESS_CITY,OFFICE_ADDRESS_CITY,OFFICE_ADDRESS_CITY,OFFICE_ADDRESS_CITY,OFFICE_ADDRESS_CITY,OFFICE_ADDRESS_CITY,OFFICE_ADDRESS_CITY,OFFICE_ADDRESS_CITY
office_address_county,OCOUNTY,OCOUNTY,OCOUNTY,COUNT     ,COUNT     ,COUNT     ,COUNT     ,COUNT     ,COUNT,OCOUNTY,OCOUNTY,OCOUNTY,OCOUNTY,OCOUNTY,OFCOUNTY,OFCOUNTY,OFCOUNTY,OFCOUNTY,OFCOUNTY,OFCOUNTY,OFFICE_ADDRESS_COUNTY,OFFICE_ADDRESS_COUNTY,OFFICE_ADDRESS_COUNTY,OFFICE_ADDRESS_COUNTY,OFFICE_ADDRESS_COUNTY,OFFICE_ADDRESS_COUNTY,OFFICE_ADDRESS_COUNTY,OFFICE_ADDRESS_COUNTY,OFFICE_ADDRESS_COUNTY,OFFICE_ADDRESS_COUNTY,OFFICE_ADDRESS_COUNTY,OFFICE_ADDRESS_COUNTY,OFFICE_ADDRESS_COUNTY
office_address_state,OSTATE,OSTATE,OSTATE,ST        ,ST        ,ST        ,ST        ,ST        ,ST,OSTATE,OSTATE,OSTATE,OSTATE,OSTATE,OFSTATE,OFSTATE,OFSTATE,OFSTATE,OFSTATE,OFSTATE,OFFICE_ADDRESS_STATE,OFFICE_ADDRESS_STATE,OFFICE_ADDRESS_STATE,OFFICE_ADDRESS_STATE,OFFICE_ADDRESS_STATE,OFFICE_ADDRESS_STATE,OFFICE_ADDRESS_STATE,OFFICE_ADDRESS_STATE,OFFICE_ADDRESS_STATE,OFFICE_ADDRESS_STATE,OFFICE_ADDRESS_STATE,OFFICE_ADDRESS_STATE,OFFICE_ADDRESS_STATE
office_address_zip,OZIP,OZIP,OZIP,ZIP       ,ZIP       ,ZIP       ,ZIP       ,ZIP       ,ZIP,OZIP,OZIP,OZIP,OZIP,OZIP,OFZIP,OFZIP,OFZIP,OFZIP,OFZIP,OFZIP,OFFICE_ADDRESS_ZIP,OFFICE_ADDRESS_ZIP,OFFICE_ADDRESS_ZIP,OFFICE_ADDRESS_ZIP,OFFICE_ADDRESS_ZIP,OFFICE_ADDRESS_ZIP,OFFICE_ADDRESS_ZIP,OFFICE_ADDRESS_ZIP,OFFICE_ADDRESS_ZIP,OFFICE_ADDRESS_ZIP,OFFICE_ADDRESS_ZIP,OFFICE_ADDRESS_ZIP,OFFICE_ADDRESS_ZIP
headquarters_address_street,HSTREET,HSTREET,HSTREET,HSTAD     ,HSTAD     ,HSTAD     ,HSTAD     ,HSTAD     ,HSTAD,HSTREET,HSTREET,HSTREET,HSTREET,HSTREET,HQSTREET,HQSTREET,HQSTREET,HQSTREET,HQSTREET,HQSTREET,HQ_ADDRESS_STREET,HQ_ADDRESS_STREET,HQ_ADDRESS_STREET,HQ_ADDRESS_STREET,HQ_ADDRESS_STREET,HQ_ADDRESS_STREET,HQ_ADDRESS_STREET,HQ_ADDRESS_STREET,HQ_ADDRESS_STREET,HQ_ADDRESS_STREET,HQ_ADDRESS_STREET,HQ_ADDRESS_STREET,HQ_ADDRESS_STREET
headquarters_address_city,HCITY,HCITY,HCITY,HCITY     ,HCITY     ,HCITY     ,HCITY     ,HCITY     ,HCITY,HCITY,HCITY,HCITY,HCITY,HCITY,HQCITY,HQCITY,HQCITY,HQCITY,HQCITY,HQCITY,HQ_ADDRESS_CITY,HQ_ADDRESS_CITY,HQ_ADDRESS_CITY,HQ_ADDRESS_CITY,HQ_ADDRESS_CITY,HQ_ADDRESS_CITY,HQ_ADDRESS_CITY,HQ_ADDRESS_CITY,HQ_ADDRESS_CITY,HQ_ADDRESS_CITY,HQ_ADDRESS_CITY,HQ_ADDRESS_CITY,HQ_ADDRESS_CITY
headquarters_address_county,HCOUNTY,HCOUNTY,HCOUNTY,HCNTY     ,HCNTY     ,HCNTY     ,HCNTY     ,HCNTY     ,HCNTY,HCOUNTY,HCOUNTY,HCOUNTY,HCOUNTY,HCOUNTY,HQCOUNTY,HQCOUNTY,HQCOUNTY,HQCOUNTY,HQCOUNTY,HQCOUNTY,HQ_ADDRESS_COUNTY,HQ_ADDRESS_COUNTY,HQ_ADDRESS_COUNTY,HQ_ADDRESS_COUNTY,HQ_ADDRESS_COUNTY,HQ_ADDRESS_COUNTY,HQ_ADDRESS_COUNTY,HQ_ADDRESS_COUNTY,HQ_ADDRESS_COUNTY,HQ_ADDRESS_COUNTY,HQ_ADDRESS_COUNTY,HQ_ADDRESS_COUNTY,HQ_ADDRESS_COUNTY
headquarters_address_state,HSTATE,HSTATE,HSTATE,HST       ,HST       ,HST       ,HST       ,HST       ,HST,HSTATE,HSTATE,HSTATE,HSTATE,HSTATE,HQSTATE,HQSTATE,HQSTATE,HQSTATE,HQSTATE,HQSTATE,HQ_ADDRESS_STATE,HQ_ADDRESS_STATE,HQ_ADDRESS_STATE,HQ_ADDRESS_STATE,HQ_ADDRESS_STATE,HQ_ADDRESS_STATE,HQ_ADDRESS_STATE,HQ_ADDRESS_STATE,HQ_ADDRESS_STATE,HQ_ADDRESS_STATE,HQ_ADDRESS_STATE,HQ_ADDRESS_STATE,HQ_ADDRESS_STATE
headquarters_address_zip,HZIP,HZIP,HZIP,HZIP      ,HZIP      ,HZIP      ,HZIP      ,HZIP      ,HZIP,HZIP,HZIP,HZIP,HZIP,HZIP,HQZIP,HQZIP,HQZIP,HQZIP,HQZIP,HQZIP,HQ_ADDRESS_ZIP,HQ_ADDRESS_ZIP,HQ_ADDRESS_ZIP,HQ_ADDRESS_ZIP,HQ_ADDRESS_ZIP,HQ_ADDRESS_ZIP,HQ_ADDRESS_ZIP,HQ_ADDRESS_ZIP,HQ_ADDRESS_ZIP,HQ_ADDRESS_ZIP,HQ_ADDRESS_ZIP,HQ_ADDRESS_ZIP,HQ_ADDRESS_ZIP
commodity,,,,,,,,,,,,,,,,,,,,,,,,,,COMMODITY,COMMODITY,COMMODITY,COMMODITY,COMMODITY,COMMODITY,COMMODITY,COMMODITY
operating_state,STOP,STOP,STOP,STOP      ,STOP      ,STOP      ,STOP      ,STOP      ,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
operator_type,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR_TYPE,OPERATOR_TYPE,OPERATOR_TYPE,OPERATOR_TYPE,OPERATOR_TYPE,OPERATOR_TYPE,OPERATOR_TYPE,OPERATOR_TYPE
main_miles_unprotected_steel_bare,B1M_1,B1M_1,B1M_1,B1M_1     ,B1M_1     ,B1M_1     ,B1M_1     ,B1M_1     ,B1M_1,B1M_1,B1M_1,B1M_1,B1M_1,B1M_1,B1M_1,B1M_1,B1M_1,B1M_1,B1M_1,B1M_1,MMILES_STEEL_UNP_BARE,MMILES_STEEL_UNP_BARE,MMILES_STEEL_UNP_BARE,MMILES_STEEL_UNP_BARE,MMILES_STEEL_UNP_BARE,MMILES_STEEL_UNP_BARE,MMILES_STEEL_UNP_BARE,MMILES_STEEL_UNP_BARE,MMILES_STEEL_UNP_BARE,MMILES_STEEL_UNP_BARE,MMILES_STEEL_UNP_BARE,MMILES_STEEL_UNP_BARE,MMILES_STEEL_UNP_BARE
main_miles_unprotected_steel_coated,B1M_2,B1M_2,B1M_2,B1M_2     ,B1M_2     ,B1M_2     ,B1M_2     ,B1M_2     ,B1M_2,B1M_2,B1M_2,B1M_2,B1M_2,B1M_2,B1M_2,B1M_2,B1M_2,B1M_2,B1M_2,B1M_2,MMILES_STEEL_UNP_COATED,MMILES_STEEL_UNP_COATED,MMILES_STEEL_UNP_COATED,MMILES_STEEL_UNP_COATED,MMILES_STEEL_UNP_COATED,MMILES_STEEL_UNP_COATED,MMILES_STEEL_UNP_COATED,MMILES_STEEL_UNP_COATED,MMILES_STEEL_UNP_COATED,MMILES_STEEL_UNP_COATED,MMILES_STEEL_UNP_COATED,MMILES_STEEL_UNP_COATED,MMILES_STEEL_UNP_COATED
main_miles_cathodically_protected_steel_bare,B1M_3,B1M_3,B1M_3,B1M_3     ,B1M_3     ,B1M_3     ,B1M_3     ,B1M_3     ,B1M_3,B1M_3,B1M_3,B1M_3,B1M_3,B1M_3,B1M_3,B1M_3,B1M_3,B1M_3,B1M_3,B1M_3,MMILES_STEEL_CP_BARE,MMILES_STEEL_CP_BARE,MMILES_STEEL_CP_BARE,MMILES_STEEL_CP_BARE,MMILES_STEEL_CP_BARE,MMILES_STEEL_CP_BARE,MMILES_STEEL_CP_BARE,MMILES_STEEL_CP_BARE,MMILES_STEEL_CP_BARE,MMILES_STEEL_CP_BARE,MMILES_STEEL_CP_BARE,MMILES_STEEL_CP_BARE,MMILES_STEEL_CP_BARE
main_miles_cathodically_protected_steel_coated,B1M_4,B1M_4,B1M_4,B1M_4     ,B1M_4     ,B1M_4     ,B1M_4     ,B1M_4     ,B1M_4,B1M_4,B1M_4,B1M_4,B1M_4,B1M_4,B1M_4,B1M_4,B1M_4,B1M_4,B1M_4,B1M_4,MMILES_STEEL_CP_COATED,MMILES_STEEL_CP_COATED,MMILES_STEEL_CP_COATED,MMILES_STEEL_CP_COATED,MMILES_STEEL_CP_COATED,MMILES_STEEL_CP_COATED,MMILES_STEEL_CP_COATED,MMILES_STEEL_CP_COATED,MMILES_STEEL_CP_COATED,MMILES_STEEL_CP_COATED,MMILES_STEEL_CP_COATED,MMILES_STEEL_CP_COATED,MMILES_STEEL_CP_COATED
main_miles_plastic,B1M_5,B1M_5,B1M_5,B1M_5     ,B1M_5     ,B1M_5     ,B1M_5     ,B1M_5     ,B1M_5,B1M_5,B1M_5,B1M_5,B1M_5,B1M_5,B1M_5,B1M_5,B1M_5,B1M_5,B1M_5,B1M_5,MMILES_PLASTIC,MMILES_PLASTIC,MMILES_PLASTIC,MMILES_PLASTIC,MMILES_PLASTIC,MMILES_PLASTIC,MMILES_PLASTIC,MMILES_PLASTIC,MMILES_PLASTIC,MMILES_PLASTIC,MMILES_PLASTIC,MMILES_PLASTIC,MMILES_PLASTIC
main_miles_cast_or_wrought_iron,B1M_6,B1M_6,B1M_6,B1M_6     ,B1M_6     ,B1M_6     ,B1M_6     ,B1M_6     ,B1M_6,B1M_6,B1M_6,B1M_6,B1M_6,B1M_6,B1M_6,B1M_6,B1M_6,B1M_6,B1M_6,B1M_6,MMILES_CI,MMILES_CI,MMILES_CI,MMILES_CI,MMILES_CI,MMILES_CI,MMILES_CI,MMILES_CI,MMILES_CI,MMILES_CI,MMILES_CI,MMILES_CI,MMILES_CI
