year_index,1970,1980,1982,1984,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
data_date,,,,,,,,,,,,,,,,,,,,,,,,,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of
report_year,annual_report_for_year,annual_report_for_year,report_year,annual_report_for_year,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year
report_id,annual_report,annual_report,report_id,annual_report,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number
log_number,,,,,,,,,log,log,log,log,,,,,,,,,,,,,,,,,,,,,,,,,,,
supplemental_report_id,,,,,,,,,,,,,,,,,,,d_sup_id,d_sup_id,d_sup_id,d_sup_id,d_sup_id,d_sup_id,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number
operator_id_phmsa,operator_id,operator_id,operator_id_code,operator_id,opid,opid,opid,opid,opid,opid,opid,opid,opid,opid,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id
operator_name_phmsa,operator,operator,company_name,operator,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,operator_name,operator_name,operator_name,operator_name,operator_name,operator_name,operator_name,operator_name,operator_name,operator_name,operator_name,operator_name,operator_name,operator_name,operator_name
office_street_address,,street,street_address,street,ostreet,ostreet,ostreet,stadd,stadd,stadd,stadd,stadd,stadd,ostreet,ostreet,ostreet,ostreet,ostreet,ofstreet,ofstreet,ofstreet,ofstreet,ofstreet,ofstreet,office_address_street,office_address_street,office_address_street,office_address_street,office_address_street,office_address_street,office_address_street,office_address_street,office_address_street,office_address_street,office_address_street,office_address_street,office_address_street,office_address_street,office_address_street
office_city,,city,city,county,ocity,ocity,ocity,city,city,city,city,city,city,ocity,ocity,ocity,ocity,ocity,ofcity,ofcity,ofcity,ofcity,ofcity,ofcity,office_address_city,office_address_city,office_address_city,office_address_city,office_address_city,office_address_city,office_address_city,office_address_city,office_address_city,office_address_city,office_address_city,office_address_city,office_address_city,office_address_city,office_address_city
office_county,,county,county,city,ocounty,ocounty,ocounty,count,count,count,count,count,count,ocounty,ocounty,ocounty,ocounty,ocounty,ofcounty,ofcounty,ofcounty,ofcounty,ofcounty,ofcounty,office_address_county,office_address_county,office_address_county,office_address_county,office_address_county,office_address_county,office_address_county,office_address_county,office_address_county,office_address_county,office_address_county,office_address_county,office_address_county,office_address_county,office_address_county
