year_index,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
data_date,,,,,,,,,,,,,,,,,,,,,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of
report_year,,,,,,,,,,,,,,,,,,,,,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year
report_number,,,,,,,,,,,,,,,,,,,,,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number
supplemental_report_number,,,,,,,,,,,,,,,,,,,,,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number
operator_id_phmsa,,,,,,,,,,,,,,,,,,,,,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id
operator_name_phmsa,,,,,,,,,,,,,,,,,,,,,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp
commodity_group,,,,,,,,,,,,,,,,,,,,,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity
interstate_or_intrastate,,,,,,,,,,,,,,,,,,,,,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra
report_state,,,,,,,,,,,,,,,,,,,,,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name
repaired_leaks_transmission_external_corrosion_onshore_hca,,,,,,,,,,,,,,,,,,,,,partmtceconhca,partmtceconhca,partmtceconhca,partmtceconhca,partmtceconhca,partmtceconhca,partmtceconhca,partmtceconhca,partmtceconhca,partmtceconhca,partmtceconhca,partmtceconhca,partmtceconhca
repaired_leaks_transmission_external_corrosion_onshore_mca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtlfmcaec,partmtlfmcaec
repaired_leaks_transmission_external_corrosion_onshore_nonhca,,,,,,,,,,,,,,,,,,,,,partmtceconnhca,partmtceconnhca,partmtceconnhca,partmtceconnhca,partmtceconnhca,partmtceconnhca,partmtceconnhca,partmtceconnhca,partmtceconnhca,partmtceconnhca,partmtceconnhca,,
repaired_leaks_transmission_external_corrosion_onshore_class_3_class_4_nonhca_nonmca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtlfcl34ec,partmtlfcl34ec
repaired_leaks_transmission_external_corrosion_onshore_class_1_class_2_nonhca_nonmca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtlfcl12ec,partmtlfcl12ec
repaired_leaks_transmission_external_corrosion_offshore_hca,,,,,,,,,,,,,,,,,,,,,partmtcecoffhca,partmtcecoffhca,partmtcecoffhca,partmtcecoffhca,partmtcecoffhca,partmtcecoffhca,partmtcecoffhca,partmtcecoffhca,partmtcecoffhca,partmtcecoffhca,partmtcecoffhca,partmtcecoffhca,partmtcecoffhca
repaired_leaks_transmission_external_corrosion_offshore_nonhca,,,,,,,,,,,,,,,,,,,,,partmtcecoffnhca,partmtcecoffnhca,partmtcecoffnhca,partmtcecoffnhca,partmtcecoffnhca,partmtcecoffnhca,partmtcecoffnhca,partmtcecoffnhca,partmtcecoffnhca,partmtcecoffnhca,partmtcecoffnhca,partmtcecoffnhca,partmtcecoffnhca
repaired_failures_transmission_external_corrosion,,,,,,,,,,,,,,,,,,,,,partmtcecfhca,partmtcecfhca,partmtcecfhca,partmtcecfhca,partmtcecfhca,partmtcecfhca,partmtcecfhca,partmtcecfhca,partmtcecfhca,partmtcecfhca,partmtcecfhca,partmtcecfhca,partmtcecfhca
repaired_leaks_gathering_external_corrosion_onshore_type_a,,,,,,,,,,,,,,,,,,,,,partmgcecona,partmgcecona,partmgcecona,partmgcecona,partmgcecona,partmgcecona,partmgcecona,partmgcecona,partmgcecona,partmgcecona,partmgcecona,partmgcecona,partmgcecona
repaired_leaks_gathering_external_corrosion_onshore_type_b,,,,,,,,,,,,,,,,,,,,,partmgceconb,partmgceconb,partmgceconb,partmgceconb,partmgceconb,partmgceconb,partmgceconb,partmgceconb,partmgceconb,partmgceconb,partmgceconb,partmgceconb,partmgceconb
repaired_leaks_gathering_external_corrosion_onshore_type_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmgceconc,partmgceconc
repaired_leaks_gathering_external_corrosion_offshore,,,,,,,,,,,,,,,,,,,,,partmgcecoff,partmgcecoff,partmgcecoff,partmgcecoff,partmgcecoff,partmgcecoff,partmgcecoff,partmgcecoff,partmgcecoff,partmgcecoff,partmgcecoff,partmgcecoff,partmgcecoff
repaired_leaks_transmission_internal_corrosion_onshore_hca,,,,,,,,,,,,,,,,,,,,,partmtciconhca,partmtciconhca,partmtciconhca,partmtciconhca,partmtciconhca,partmtciconhca,partmtciconhca,partmtciconhca,partmtciconhca,partmtciconhca,partmtciconhca,partmtciconhca,partmtciconhca
repaired_leaks_transmission_internal_corrosion_onshore_mca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtlfmcaic,partmtlfmcaic
