year_index,data_date,report_year,report_number,supplemental_report_number,operator_id_phmsa,operator_name_phmsa,commodity_group,interstate_or_intrastate,report_state,onshore_gathering_pipe_unknown_size_miles,onshore_gathering_pipe_nps_4_or_less_miles,onshore_gathering_pipe_nps_4_to_10_miles,onshore_gathering_pipe_nps_10_to_20_miles,onshore_gathering_pipe_nps_20_to_28_miles,onshore_gathering_pipe_nps_28_and_over_miles,onshore_gathering_pipe_total_miles,onshore_type_a_gathering_pipe_nps_4_or_less_miles,onshore_type_a_gathering_pipe_nps_6_miles,onshore_type_a_gathering_pipe_nps_8_miles,onshore_type_a_gathering_pipe_nps_10_miles,onshore_type_a_gathering_pipe_nps_12_miles,onshore_type_a_gathering_pipe_nps_14_miles,onshore_type_a_gathering_pipe_nps_16_miles,onshore_type_a_gathering_pipe_nps_18_miles,onshore_type_a_gathering_pipe_nps_20_miles,onshore_type_a_gathering_pipe_nps_22_miles,onshore_type_a_gathering_pipe_nps_24_miles,onshore_type_a_gathering_pipe_nps_26_miles,onshore_type_a_gathering_pipe_nps_28_miles,onshore_type_a_gathering_pipe_nps_30_miles,onshore_type_a_gathering_pipe_nps_32_miles,onshore_type_a_gathering_pipe_nps_34_miles,onshore_type_a_gathering_pipe_nps_36_miles,onshore_type_a_gathering_pipe_nps_38_miles,onshore_type_a_gathering_pipe_nps_40_miles,onshore_type_a_gathering_pipe_nps_42_miles,onshore_type_a_gathering_pipe_nps_44_miles,onshore_type_a_gathering_pipe_nps_46_miles,onshore_type_a_gathering_pipe_nps_48_miles,onshore_type_a_gathering_pipe_nps_52_miles,onshore_type_a_gathering_pipe_nps_56_miles,onshore_type_a_gathering_pipe_nps_58_and_over_miles,onshore_type_a_gathering_pipe_other_size_total_miles,onshore_type_a_gathering_pipe_other_size_detail_miles,onshore_type_a_gathering_pipe_total_miles,onshore_type_b_gathering_pipe_nps_4_or_less_miles,onshore_type_b_gathering_pipe_nps_6_miles,onshore_type_b_gathering_pipe_nps_8_miles,onshore_type_b_gathering_pipe_nps_10_miles,onshore_type_b_gathering_pipe_nps_12_miles,onshore_type_b_gathering_pipe_nps_14_miles,onshore_type_b_gathering_pipe_nps_16_miles,onshore_type_b_gathering_pipe_nps_18_miles,onshore_type_b_gathering_pipe_nps_20_miles,onshore_type_b_gathering_pipe_nps_22_miles,onshore_type_b_gathering_pipe_nps_24_miles,onshore_type_b_gathering_pipe_nps_26_miles,onshore_type_b_gathering_pipe_nps_28_miles,onshore_type_b_gathering_pipe_nps_30_miles,onshore_type_b_gathering_pipe_nps_32_miles,onshore_type_b_gathering_pipe_nps_34_miles,onshore_type_b_gathering_pipe_nps_36_miles,onshore_type_b_gathering_pipe_nps_38_miles,onshore_type_b_gathering_pipe_nps_40_miles,onshore_type_b_gathering_pipe_nps_42_miles,onshore_type_b_gathering_pipe_nps_44_miles,onshore_type_b_gathering_pipe_nps_46_miles,onshore_type_b_gathering_pipe_nps_48_miles,onshore_type_b_gathering_pipe_nps_52_miles,onshore_type_b_gathering_pipe_nps_56_miles,onshore_type_b_gathering_pipe_nps_58_and_over_miles,onshore_type_b_gathering_pipe_other_size_total_miles,onshore_type_b_gathering_pipe_other_size_detail_miles,onshore_type_b_gathering_pipe_total_miles,onshore_type_c_gathering_pipe_nps_8_miles,onshore_type_c_gathering_pipe_nps_10_miles,onshore_type_c_gathering_pipe_nps_12_miles,onshore_type_c_gathering_pipe_nps_14_miles,onshore_type_c_gathering_pipe_nps_16_miles,onshore_type_c_gathering_pipe_nps_18_miles,onshore_type_c_gathering_pipe_nps_20_miles,onshore_type_c_gathering_pipe_nps_22_miles,onshore_type_c_gathering_pipe_nps_24_miles,onshore_type_c_gathering_pipe_nps_26_miles,onshore_type_c_gathering_pipe_nps_28_miles,onshore_type_c_gathering_pipe_nps_30_miles,onshore_type_c_gathering_pipe_nps_32_miles,onshore_type_c_gathering_pipe_nps_34_miles,onshore_type_c_gathering_pipe_nps_36_miles,onshore_type_c_gathering_pipe_nps_38_miles,onshore_type_c_gathering_pipe_nps_40_miles,onshore_type_c_gathering_pipe_nps_42_miles,onshore_type_c_gathering_pipe_nps_44_miles,onshore_type_c_gathering_pipe_nps_46_miles,onshore_type_c_gathering_pipe_nps_48_miles,onshore_type_c_gathering_pipe_nps_52_miles,onshore_type_c_gathering_pipe_nps_56_miles,onshore_type_c_gathering_pipe_nps_58_and_over_miles,onshore_type_c_gathering_pipe_other_size_miles,onshore_type_c_gathering_pipe_other_size_total_miles,onshore_type_c_gathering_pipe_other_size_detail_miles,onshore_type_c_gathering_pipe_total_miles,offshore_gathering_pipe_nps_4_or_less_miles,offshore_gathering_pipe_nps_6_miles,offshore_gathering_pipe_nps_8_miles,offshore_gathering_pipe_nps_10_miles,offshore_gathering_pipe_nps_12_miles,offshore_gathering_pipe_nps_14_miles,offshore_gathering_pipe_nps_16_miles,offshore_gathering_pipe_nps_18_miles,offshore_gathering_pipe_nps_20_miles,offshore_gathering_pipe_nps_22_miles,offshore_gathering_pipe_nps_24_miles,offshore_gathering_pipe_nps_26_miles,offshore_gathering_pipe_nps_28_miles,offshore_gathering_pipe_nps_30_miles,offshore_gathering_pipe_nps_32_miles,offshore_gathering_pipe_nps_34_miles,offshore_gathering_pipe_nps_36_miles,offshore_gathering_pipe_nps_38_miles,offshore_gathering_pipe_nps_40_miles,offshore_gathering_pipe_nps_42_miles,offshore_gathering_pipe_nps_44_miles,offshore_gathering_pipe_nps_46_miles,offshore_gathering_pipe_nps_48_miles,offshore_gathering_pipe_nps_52_miles,offshore_gathering_pipe_nps_56_miles,offshore_gathering_pipe_nps_58_and_over_miles,offshore_gathering_pipe_other_size_total_miles,offshore_gathering_pipe_other_size_detail_miles,offshore_gathering_pipe_unknown_size_miles,offshore_gathering_pipe_nps_4_to_10_miles,offshore_gathering_pipe_nps_10_to_20_miles,offshore_gathering_pipe_nps_20_to_28_miles,offshore_gathering_pipe_nps_28_and_over_miles,offshore_gathering_pipe_total_miles
1990,,yr,rptid,,opid,name,,,stop,g2m1_1,g2m1_2,g2m1_3,g2m1_4,g2m1_5,g2m1_6,g2m1t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g2m2_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,g2m2_1,g2m2_3,g2m2_4,g2m2_5,g2m2_6,g2m2t
1991,,yr,rptid,,opid,name,,,stop,g2m1_1,g2m1_2,g2m1_3,g2m1_4,g2m1_5,g2m1_6,g2m1t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g2m2_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,g2m2_1,g2m2_3,g2m2_4,g2m2_5,g2m2_6,g2m2t
1992,,yr,rptid,,opid,name,,,stop,g2m1_1,g2m1_2,g2m1_3,g2m1_4,g2m1_5,g2m1_6,g2m1t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g2m2_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,g2m2_1,g2m2_3,g2m2_4,g2m2_5,g2m2_6,g2m2t
1993,,yr,rptid,,opid,name,,,stop,g2m1_1,g2m1_2,g2m1_3,g2m1_4,g2m1_5,g2m1_6,g2m1t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g2m2_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,g2m2_1,g2m2_3,g2m2_4,g2m2_5,g2m2_6,g2m2t
1994,,yr,rptid,,opid,name,,,stop,g2m1_1,g2m1_2,g2m1_3,g2m1_4,g2m1_5,g2m1_6,g2m1t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g2m2_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,g2m2_1,g2m2_3,g2m2_4,g2m2_5,g2m2_6,g2m2t
1995,,yr,rptid,,opid,name,,,stop,g2m1_1,g2m1_2,g2m1_3,g2m1_4,g2m1_5,g2m1_6,g2m1t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g2m2_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,g2m2_1,g2m2_3,g2m2_4,g2m2_5,g2m2_6,g2m2t
1996,,yr,rptid,,opid,name,,,stop,g2m1_1,g2m1_2,g2m1_3,g2m1_4,g2m1_5,g2m1_6,g2m1t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g2m2_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,g2m2_1,g2m2_3,g2m2_4,g2m2_5,g2m2_6,g2m2t
1997,,yr,rptid,,opid,name,,,stop,g2m1_1,g2m1_2,g2m1_3,g2m1_4,g2m1_5,g2m1_6,g2m1t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g2m2_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,g2m2_1,g2m2_3,g2m2_4,g2m2_5,g2m2_6,g2m2t
1998,,yr,rptid,,opid,name,,,stop,g2m1_1,g2m1_2,g2m1_3,g2m1_4,g2m1_5,g2m1_6,g2m1t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g2m2_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,g2m2_1,g2m2_3,g2m2_4,g2m2_5,g2m2_6,g2m2t
1999,,yr,rptid,,opid,name,,,stop,g2m1_1,g2m1_2,g2m1_3,g2m1_4,g2m1_5,g2m1_6,g2m1t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g2m2_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,g2m2_1,g2m2_3,g2m2_4,g2m2_5,g2m2_6,g2m2t
2000,,yr,rptid,,opid,name,,,stop,g2m1_1,g2m1_2,g2m1_3,g2m1_4,g2m1_5,g2m1_6,g2m1t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g2m2_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,g2m2_1,g2m2_3,g2m2_4,g2m2_5,g2m2_6,g2m2t
2001,,yr,rptid,tr_sup_id,operator_id,name,,,stop,b2gon_1,b2gon_2,b2gon_3,b2gon_4,b2gon_5,b2gon_6,b2gon_t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b2goff_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,b2goff_1,b2goff_3,b2goff_4,b2goff_5,b2goff_6,b2goff_t
