year_index,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
data_date,,,,,,,,,,,,,,,,,,,,,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of
report_year,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year
report_number,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number
supplemental_report_number,,,,,,,,,,,,tr_sup_id,tr_sup_id,tr_sup_id,tr_sup_id,tr_sup_id,tr_sup_id,tr_sup_id,tr_sup_id,tr_sup_id,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number
operator_id_phmsa,opid,opid,opid,opid,opid,opid,opid,opid,opid,opid,opid,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id
operator_name_phmsa,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp
commodity_group,,,,,,,,,,,,,,,,,,,,,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity
interstate_or_intrastate,,,,,,,,,,,,,,,,,,,,,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra
report_state,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name
transmission_onshore_unknown_miles,,,,,,,,,,,,,,,,,,,,,partjtonunkwn,partjtonunkwn,partjtonunkwn,partjtonunkwn,partjtonunkwn,partjtonunkwn,partjtonunkwn,partjtonunkwn,partjtonunkwn,partjtonunkwn,partjtonunkwn,partjtonunkwn,partjtonunkwn
transmission_onshore_pre_1940_miles,,,,,,,,,,,,,,,,,,,,,partjtonpre1940,partjtonpre1940,partjtonpre1940,partjtonpre1940,partjtonpre1940,partjtonpre1940,partjtonpre1940,partjtonpre1940,partjtonpre1940,partjtonpre1940,partjtonpre1940,partjtonpre1940,partjtonpre1940
transmission_onshore_1940_1949_miles,,,,,,,,,,,,,,,,,,,,,partjton194049,partjton194049,partjton194049,partjton194049,partjton194049,partjton194049,partjton194049,partjton194049,partjton194049,partjton194049,partjton194049,partjton194049,partjton194049
transmission_onshore_1950_1959_miles,,,,,,,,,,,,,,,,,,,,,partjton195059,partjton195059,partjton195059,partjton195059,partjton195059,partjton195059,partjton195059,partjton195059,partjton195059,partjton195059,partjton195059,partjton195059,partjton195059
transmission_onshore_1960_1969_miles,,,,,,,,,,,,,,,,,,,,,partjton196069,partjton196069,partjton196069,partjton196069,partjton196069,partjton196069,partjton196069,partjton196069,partjton196069,partjton196069,partjton196069,partjton196069,partjton196069
transmission_onshore_1970_1979_miles,,,,,,,,,,,,,,,,,,,,,partjton197079,partjton197079,partjton197079,partjton197079,partjton197079,partjton197079,partjton197079,partjton197079,partjton197079,partjton197079,partjton197079,partjton197079,partjton197079
transmission_onshore_1980_1989_miles,,,,,,,,,,,,,,,,,,,,,partjton198089,partjton198089,partjton198089,partjton198089,partjton198089,partjton198089,partjton198089,partjton198089,partjton198089,partjton198089,partjton198089,partjton198089,partjton198089
transmission_onshore_1990_1999_miles,,,,,,,,,,,,,,,,,,,,,partjton199099,partjton199099,partjton199099,partjton199099,partjton199099,partjton199099,partjton199099,partjton199099,partjton199099,partjton199099,partjton199099,partjton199099,partjton199099
transmission_onshore_2000_2009_miles,,,,,,,,,,,,,,,,,,,,,partjton200009,partjton200009,partjton200009,partjton200009,partjton200009,partjton200009,partjton200009,partjton200009,partjton200009,partjton200009,partjton200009,partjton200009,partjton200009
transmission_onshore_2010_2019_miles,,,,,,,,,,,,,,,,,,,,,partjton201019,partjton201019,partjton201019,partjton201019,partjton201019,partjton201019,partjton201019,partjton201019,partjton201019,partjton201019,partjton201019,partjton201019,partjton201019
transmission_onshore_2020_2029_miles,,,,,,,,,,,,,,,,,,,,,partjton202029,partjton202029,partjton202029,partjton202029,partjton202029,partjton202029,partjton202029,partjton202029,partjton202029,partjton202029,partjton202029,partjton202029,partjton202029
transmission_onshore_total_miles,,,,,,,,,,,,,,,,,,,,,partjtontotal,partjtontotal,partjtontotal,partjtontotal,partjtontotal,partjtontotal,partjtontotal,partjtontotal,partjtontotal,partjtontotal,partjtontotal,partjtontotal,partjtontotal
transmission_offshore_unknown_miles,,,,,,,,,,,,,,,,,,,,,partjtoffunkwn,partjtoffunkwn,partjtoffunkwn,partjtoffunkwn,partjtoffunkwn,partjtoffunkwn,partjtoffunkwn,partjtoffunkwn,partjtoffunkwn,partjtoffunkwn,partjtoffunkwn,partjtoffunkwn,partjtoffunkwn
transmission_offshore_pre_1940_miles,,,,,,,,,,,,,,,,,,,,,partjtoffpre1940,partjtoffpre1940,partjtoffpre1940,partjtoffpre1940,partjtoffpre1940,partjtoffpre1940,partjtoffpre1940,partjtoffpre1940,partjtoffpre1940,partjtoffpre1940,partjtoffpre1940,partjtoffpre1940,partjtoffpre1940
transmission_offshore_1940_1949_miles,,,,,,,,,,,,,,,,,,,,,partjtoff194049,partjtoff194049,partjtoff194049,partjtoff194049,partjtoff194049,partjtoff194049,partjtoff194049,partjtoff194049,partjtoff194049,partjtoff194049,partjtoff194049,partjtoff194049,partjtoff194049
transmission_offshore_1950_1959_miles,,,,,,,,,,,,,,,,,,,,,partjtoff195059,partjtoff195059,partjtoff195059,partjtoff195059,partjtoff195059,partjtoff195059,partjtoff195059,partjtoff195059,partjtoff195059,partjtoff195059,partjtoff195059,partjtoff195059,partjtoff195059
transmission_offshore_1960_1969_miles,,,,,,,,,,,,,,,,,,,,,partjtoff196069,partjtoff196069,partjtoff196069,partjtoff196069,partjtoff196069,partjtoff196069,partjtoff196069,partjtoff196069,partjtoff196069,partjtoff196069,partjtoff196069,partjtoff196069,partjtoff196069
transmission_offshore_1970_1979_miles,,,,,,,,,,,,,,,,,,,,,partjtoff197079,partjtoff197079,partjtoff197079,partjtoff197079,partjtoff197079,partjtoff197079,partjtoff197079,partjtoff197079,partjtoff197079,partjtoff197079,partjtoff197079,partjtoff197079,partjtoff197079
transmission_offshore_1980_1989_miles,,,,,,,,,,,,,,,,,,,,,partjtoff198089,partjtoff198089,partjtoff198089,partjtoff198089,partjtoff198089,partjtoff198089,partjtoff198089,partjtoff198089,partjtoff198089,partjtoff198089,partjtoff198089,partjtoff198089,partjtoff198089
transmission_offshore_1990_1999_miles,,,,,,,,,,,,,,,,,,,,,partjtoff199099,partjtoff199099,partjtoff199099,partjtoff199099,partjtoff199099,partjtoff199099,partjtoff199099,partjtoff199099,partjtoff199099,partjtoff199099,partjtoff199099,partjtoff199099,partjtoff199099
transmission_offshore_2000_2009_miles,,,,,,,,,,,,,,,,,,,,,partjtoff200009,partjtoff200009,partjtoff200009,partjtoff200009,partjtoff200009,partjtoff200009,partjtoff200009,partjtoff200009,partjtoff200009,partjtoff200009,partjtoff200009,partjtoff200009,partjtoff200009
transmission_offshore_2010_2019_miles,,,,,,,,,,,,,,,,,,,,,partjtoff201019,partjtoff201019,partjtoff201019,partjtoff201019,partjtoff201019,partjtoff201019,partjtoff201019,partjtoff201019,partjtoff201019,partjtoff201019,partjtoff201019,partjtoff201019,partjtoff201019
transmission_offshore_2020_2029_miles,,,,,,,,,,,,,,,,,,,,,partjtoff202029,partjtoff202029,partjtoff202029,partjtoff202029,partjtoff202029,partjtoff202029,partjtoff202029,partjtoff202029,partjtoff202029,partjtoff202029,partjtoff202029,partjtoff202029,partjtoff202029
transmission_offshore_total_miles,,,,,,,,,,,,,,,,,,,,,partjtofftotal,partjtofftotal,partjtofftotal,partjtofftotal,partjtofftotal,partjtofftotal,partjtofftotal,partjtofftotal,partjtofftotal,partjtofftotal,partjtofftotal,partjtofftotal,partjtofftotal
transmission_total_unknown_miles,,,,,,,,,,,,,,,,,,,,,partjtunkwntot,partjtunkwntot,partjtunkwntot,partjtunkwntot,partjtunkwntot,partjtunkwntot,partjtunkwntot,partjtunkwntot,partjtunkwntot,partjtunkwntot,partjtunkwntot,partjtunkwntot,partjtunkwntot
transmission_total_pre_1940_miles,,,,,,,,,,,,,,,,,,,,,partjtpre1940tot,partjtpre1940tot,partjtpre1940tot,partjtpre1940tot,partjtpre1940tot,partjtpre1940tot,partjtpre1940tot,partjtpre1940tot,partjtpre1940tot,partjtpre1940tot,partjtpre1940tot,partjtpre1940tot,partjtpre1940tot
transmission_total_1940_1949_miles,,,,,,,,,,,,,,,,,,,,,partjt194049tot,partjt194049tot,partjt194049tot,partjt194049tot,partjt194049tot,partjt194049tot,partjt194049tot,partjt194049tot,partjt194049tot,partjt194049tot,partjt194049tot,partjt194049tot,partjt194049tot
transmission_total_1950_1959_miles,,,,,,,,,,,,,,,,,,,,,partjt195059tot,partjt195059tot,partjt195059tot,partjt195059tot,partjt195059tot,partjt195059tot,partjt195059tot,partjt195059tot,partjt195059tot,partjt195059tot,partjt195059tot,partjt195059tot,partjt195059tot
transmission_total_1960_1969_miles,,,,,,,,,,,,,,,,,,,,,partjt196069tot,partjt196069tot,partjt196069tot,partjt196069tot,partjt196069tot,partjt196069tot,partjt196069tot,partjt196069tot,partjt196069tot,partjt196069tot,partjt196069tot,partjt196069tot,partjt196069tot
transmission_total_1970_1979_miles,,,,,,,,,,,,,,,,,,,,,partjt197079tot,partjt197079tot,partjt197079tot,partjt197079tot,partjt197079tot,partjt197079tot,partjt197079tot,partjt197079tot,partjt197079tot,partjt197079tot,partjt197079tot,partjt197079tot,partjt197079tot
transmission_total_1980_1989_miles,,,,,,,,,,,,,,,,,,,,,partjt198089tot,partjt198089tot,partjt198089tot,partjt198089tot,partjt198089tot,partjt198089tot,partjt198089tot,partjt198089tot,partjt198089tot,partjt198089tot,partjt198089tot,partjt198089tot,partjt198089tot
transmission_total_1990_1999_miles,,,,,,,,,,,,,,,,,,,,,partjt199099tot,partjt199099tot,partjt199099tot,partjt199099tot,partjt199099tot,partjt199099tot,partjt199099tot,partjt199099tot,partjt199099tot,partjt199099tot,partjt199099tot,partjt199099tot,partjt199099tot
transmission_total_2000_2009_miles,,,,,,,,,,,,,,,,,,,,,partjt200009tot,partjt200009tot,partjt200009tot,partjt200009tot,partjt200009tot,partjt200009tot,partjt200009tot,partjt200009tot,partjt200009tot,partjt200009tot,partjt200009tot,partjt200009tot,partjt200009tot
transmission_total_2010_2019_miles,,,,,,,,,,,,,,,,,,,,,partjt201019tot,partjt201019tot,partjt201019tot,partjt201019tot,partjt201019tot,partjt201019tot,partjt201019tot,partjt201019tot,partjt201019tot,partjt201019tot,partjt201019tot,partjt201019tot,partjt201019tot
transmission_total_2020_2029_miles,,,,,,,,,,,,,,,,,,,,,partjt202029tot,partjt202029tot,partjt202029tot,partjt202029tot,partjt202029tot,partjt202029tot,partjt202029tot,partjt202029tot,partjt202029tot,partjt202029tot,partjt202029tot,partjt202029tot,partjt202029tot
transmission_total_total_miles,,,,,,,,,,,,,,,,,,,,,partjttotal,partjttotal,partjttotal,partjttotal,partjttotal,partjttotal,partjttotal,partjttotal,partjttotal,partjttotal,partjttotal,partjttotal,partjttotal
gathering_onshore_a_unknown_miles,,,,,,,,,,,,,,,,,,,,,partjgonaunkwn,partjgonaunkwn,partjgonaunkwn,partjgonaunkwn,partjgonaunkwn,partjgonaunkwn,partjgonaunkwn,partjgonaunkwn,partjgonaunkwn,partjgonaunkwn,partjgonaunkwn,partjgonaunkwn,partjgonaunkwn
gathering_onshore_a_pre_1940_miles,,,,,,,,,,,,,,,,,,,,,partjgonapre1940,partjgonapre1940,partjgonapre1940,partjgonapre1940,partjgonapre1940,partjgonapre1940,partjgonapre1940,partjgonapre1940,partjgonapre1940,partjgonapre1940,partjgonapre1940,partjgonapre1940,partjgonapre1940
gathering_onshore_a_1940_1949_miles,,,,,,,,,,,,,,,,,,,,,partjgona194049,partjgona194049,partjgona194049,partjgona194049,partjgona194049,partjgona194049,partjgona194049,partjgona194049,partjgona194049,partjgona194049,partjgona194049,partjgona194049,partjgona194049
gathering_onshore_a_1950_1959_miles,,,,,,,,,,,,,,,,,,,,,partjgona195059,partjgona195059,partjgona195059,partjgona195059,partjgona195059,partjgona195059,partjgona195059,partjgona195059,partjgona195059,partjgona195059,partjgona195059,partjgona195059,partjgona195059
gathering_onshore_a_1960_1969_miles,,,,,,,,,,,,,,,,,,,,,partjgona196069,partjgona196069,partjgona196069,partjgona196069,partjgona196069,partjgona196069,partjgona196069,partjgona196069,partjgona196069,partjgona196069,partjgona196069,partjgona196069,partjgona196069
gathering_onshore_a_1970_1979_miles,,,,,,,,,,,,,,,,,,,,,partjgona197079,partjgona197079,partjgona197079,partjgona197079,partjgona197079,partjgona197079,partjgona197079,partjgona197079,partjgona197079,partjgona197079,partjgona197079,partjgona197079,partjgona197079
gathering_onshore_a_1980_1989_miles,,,,,,,,,,,,,,,,,,,,,partjgona198089,partjgona198089,partjgona198089,partjgona198089,partjgona198089,partjgona198089,partjgona198089,partjgona198089,partjgona198089,partjgona198089,partjgona198089,partjgona198089,partjgona198089
gathering_onshore_a_1990_1999_miles,,,,,,,,,,,,,,,,,,,,,partjgona199099,partjgona199099,partjgona199099,partjgona199099,partjgona199099,partjgona199099,partjgona199099,partjgona199099,partjgona199099,partjgona199099,partjgona199099,partjgona199099,partjgona199099
gathering_onshore_a_2000_2009_miles,,,,,,,,,,,,,,,,,,,,,partjgona200009,partjgona200009,partjgona200009,partjgona200009,partjgona200009,partjgona200009,partjgona200009,partjgona200009,partjgona200009,partjgona200009,partjgona200009,partjgona200009,partjgona200009
