year_index,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
data_date,,,,,,,,,,,,,,,,,,,,,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of
report_year,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year
report_number,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number
supplemental_report_number,,,,,,,,,,,,tr_sup_id,tr_sup_id,tr_sup_id,tr_sup_id,tr_sup_id,tr_sup_id,tr_sup_id,tr_sup_id,tr_sup_id,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number
operator_id_phmsa,opid,opid,opid,opid,opid,opid,opid,opid,opid,opid,opid,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id
operator_name_phmsa,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp
commodity_group,,,,,,,,,,,,,,,,,,,,,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity
interstate_or_intrastate,,,,,,,,,,,,,,,,,,,,,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra
report_state,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name
miles_onshore_transmission_pipe_unknown_size,t2m1_1,t2m1_1,t2m1_1,t2m1_1,t2m1_1,t2m1_1,t2m1_1,t2m1_1,t2m1_1,t2m1_1,t2m1_1,b2ton_1,b2ton_1,b2ton_1,b2ton_1,b2ton_1,b2ton_1,b2ton_1,b2ton_1,b2ton_1,,,,,,,,,,,,,
miles_onshore_transmission_pipe_nps_4_or_less,t2m1_2,t2m1_2,t2m1_2,t2m1_2,t2m1_2,t2m1_2,t2m1_2,t2m1_2,t2m1_2,t2m1_2,t2m1_2,b2ton_2,b2ton_2,b2ton_2,b2ton_2,b2ton_2,b2ton_2,b2ton_2,b2ton_2,b2ton_2,parthon4less,parthon4less,parthon4less,parthon4less,parthon4less,parthon4less,parthon4less,parthon4less,parthon4less,parthon4less,parthon4less,parthon4less,parthon4less
miles_onshore_transmission_pipe_nps_4_to_10,t2m1_3,t2m1_3,t2m1_3,t2m1_3,t2m1_3,t2m1_3,t2m1_3,t2m1_3,t2m1_3,t2m1_3,t2m1_3,b2ton_3,b2ton_3,b2ton_3,b2ton_3,b2ton_3,b2ton_3,b2ton_3,b2ton_3,b2ton_3,,,,,,,,,,,,,
miles_onshore_transmission_pipe_nps_10_to_20,t2m1_4,t2m1_4,t2m1_4,t2m1_4,t2m1_4,t2m1_4,t2m1_4,t2m1_4,t2m1_4,t2m1_4,t2m1_4,b2ton_4,b2ton_4,b2ton_4,b2ton_4,b2ton_4,b2ton_4,b2ton_4,b2ton_4,b2ton_4,,,,,,,,,,,,,
miles_onshore_transmission_pipe_nps_20_to_28,t2m1_5,t2m1_5,t2m1_5,t2m1_5,t2m1_5,t2m1_5,t2m1_5,t2m1_5,t2m1_5,t2m1_5,t2m1_5,b2ton_5,b2ton_5,b2ton_5,b2ton_5,b2ton_5,b2ton_5,b2ton_5,b2ton_5,b2ton_5,,,,,,,,,,,,,
miles_onshore_transmission_pipe_nps_28_and_over,t2m1_6,t2m1_6,t2m1_6,t2m1_6,t2m1_6,t2m1_6,t2m1_6,t2m1_6,t2m1_6,t2m1_6,t2m1_6,b2ton_6,b2ton_6,b2ton_6,b2ton_6,b2ton_6,b2ton_6,b2ton_6,b2ton_6,b2ton_6,,,,,,,,,,,,,
miles_onshore_transmission_pipe_nps_6,,,,,,,,,,,,,,,,,,,,,parthon6,parthon6,parthon6,parthon6,parthon6,parthon6,parthon6,parthon6,parthon6,parthon6,parthon6,parthon6,parthon6
miles_onshore_transmission_pipe_nps_8,,,,,,,,,,,,,,,,,,,,,parthon8,parthon8,parthon8,parthon8,parthon8,parthon8,parthon8,parthon8,parthon8,parthon8,parthon8,parthon8,parthon8
miles_onshore_transmission_pipe_nps_10,,,,,,,,,,,,,,,,,,,,,parthon10,parthon10,parthon10,parthon10,parthon10,parthon10,parthon10,parthon10,parthon10,parthon10,parthon10,parthon10,parthon10
miles_onshore_transmission_pipe_nps_12,,,,,,,,,,,,,,,,,,,,,parthon12,parthon12,parthon12,parthon12,parthon12,parthon12,parthon12,parthon12,parthon12,parthon12,parthon12,parthon12,parthon12
miles_onshore_transmission_pipe_nps_14,,,,,,,,,,,,,,,,,,,,,parthon14,parthon14,parthon14,parthon14,parthon14,parthon14,parthon14,parthon14,parthon14,parthon14,parthon14,parthon14,parthon14
miles_onshore_transmission_pipe_nps_16,,,,,,,,,,,,,,,,,,,,,parthon16,parthon16,parthon16,parthon16,parthon16,parthon16,parthon16,parthon16,parthon16,parthon16,parthon16,parthon16,parthon16
miles_onshore_transmission_pipe_nps_18,,,,,,,,,,,,,,,,,,,,,parthon18,parthon18,parthon18,parthon18,parthon18,parthon18,parthon18,parthon18,parthon18,parthon18,parthon18,parthon18,parthon18
miles_onshore_transmission_pipe_nps_20,,,,,,,,,,,,,,,,,,,,,parthon20,parthon20,parthon20,parthon20,parthon20,parthon20,parthon20,parthon20,parthon20,parthon20,parthon20,parthon20,parthon20
miles_onshore_transmission_pipe_nps_22,,,,,,,,,,,,,,,,,,,,,parthon22,parthon22,parthon22,parthon22,parthon22,parthon22,parthon22,parthon22,parthon22,parthon22,parthon22,parthon22,parthon22
miles_onshore_transmission_pipe_nps_24,,,,,,,,,,,,,,,,,,,,,parthon24,parthon24,parthon24,parthon24,parthon24,parthon24,parthon24,parthon24,parthon24,parthon24,parthon24,parthon24,parthon24
miles_onshore_transmission_pipe_nps_26,,,,,,,,,,,,,,,,,,,,,parthon26,parthon26,parthon26,parthon26,parthon26,parthon26,parthon26,parthon26,parthon26,parthon26,parthon26,parthon26,parthon26
miles_onshore_transmission_pipe_nps_28,,,,,,,,,,,,,,,,,,,,,parthon28,parthon28,parthon28,parthon28,parthon28,parthon28,parthon28,parthon28,parthon28,parthon28,parthon28,parthon28,parthon28
miles_onshore_transmission_pipe_nps_30,,,,,,,,,,,,,,,,,,,,,parthon30,parthon30,parthon30,parthon30,parthon30,parthon30,parthon30,parthon30,parthon30,parthon30,parthon30,parthon30,parthon30
miles_onshore_transmission_pipe_nps_32,,,,,,,,,,,,,,,,,,,,,parthon32,parthon32,parthon32,parthon32,parthon32,parthon32,parthon32,parthon32,parthon32,parthon32,parthon32,parthon32,parthon32
miles_onshore_transmission_pipe_nps_34,,,,,,,,,,,,,,,,,,,,,parthon34,parthon34,parthon34,parthon34,parthon34,parthon34,parthon34,parthon34,parthon34,parthon34,parthon34,parthon34,parthon34
miles_onshore_transmission_pipe_nps_36,,,,,,,,,,,,,,,,,,,,,parthon36,parthon36,parthon36,parthon36,parthon36,parthon36,parthon36,parthon36,parthon36,parthon36,parthon36,parthon36,parthon36
miles_onshore_transmission_pipe_nps_38,,,,,,,,,,,,,,,,,,,,,parthon38,parthon38,parthon38,parthon38,parthon38,parthon38,parthon38,parthon38,parthon38,parthon38,parthon38,parthon38,parthon38
miles_onshore_transmission_pipe_nps_40,,,,,,,,,,,,,,,,,,,,,parthon40,parthon40,parthon40,parthon40,parthon40,parthon40,parthon40,parthon40,parthon40,parthon40,parthon40,parthon40,parthon40
miles_onshore_transmission_pipe_nps_42,,,,,,,,,,,,,,,,,,,,,parthon42,parthon42,parthon42,parthon42,parthon42,parthon42,parthon42,parthon42,parthon42,parthon42,parthon42,parthon42,parthon42
miles_onshore_transmission_pipe_nps_44,,,,,,,,,,,,,,,,,,,,,parthon44,parthon44,parthon44,parthon44,parthon44,parthon44,parthon44,parthon44,parthon44,parthon44,parthon44,parthon44,parthon44
miles_onshore_transmission_pipe_nps_46,,,,,,,,,,,,,,,,,,,,,parthon46,parthon46,parthon46,parthon46,parthon46,parthon46,parthon46,parthon46,parthon46,parthon46,parthon46,parthon46,parthon46
miles_onshore_transmission_pipe_nps_48,,,,,,,,,,,,,,,,,,,,,parthon48,parthon48,parthon48,parthon48,parthon48,parthon48,parthon48,parthon48,parthon48,parthon48,parthon48,parthon48,parthon48
miles_onshore_transmission_pipe_nps_52,,,,,,,,,,,,,,,,,,,,,parthon52,parthon52,parthon52,parthon52,parthon52,parthon52,parthon52,parthon52,parthon52,parthon52,parthon52,parthon52,parthon52
miles_onshore_transmission_pipe_nps_56,,,,,,,,,,,,,,,,,,,,,parthon56,parthon56,parthon56,parthon56,parthon56,parthon56,parthon56,parthon56,parthon56,parthon56,parthon56,parthon56,parthon56
miles_onshore_transmission_pipe_nps_58_and_over,,,,,,,,,,,,,,,,,,,,,parthon58over,parthon58over,parthon58over,parthon58over,parthon58over,parthon58over,parthon58over,parthon58over,parthon58over,parthon58over,parthon58over,parthon58over,parthon58over
miles_onshore_transmission_pipe_other_size,,,,,,,,,,,,,,,,,,,,,parthonadditional,parthonadditional,parthonadditional,parthonadditional,parthonadditional,parthonadditional,parthonadditional,parthonadditional,parthonadditional,parthonadditional,parthonadditional,parthonadditional,parthonadditional
miles_onshore_transmission_pipe_other_size_total,,,,,,,,,,,,,,,,,,,,,parthon_other_pipe_mile_total,parthon_other_pipe_mile_total,parthon_other_pipe_mile_total,parthon_other_pipe_mile_total,parthon_other_pipe_mile_total,parthon_other_pipe_mile_total,parthon_other_pipe_mile_total,parthon_other_pipe_mile_total,parthon_other_pipe_mile_total,parthon_other_pipe_mile_total,parthon_other_pipe_mile_total,parthon_other_pipe_mile_total,parthon_other_pipe_mile_total
miles_onshore_transmission_pipe_other_size_detail,,,,,,,,,,,,,,,,,,,,,parthon_other_pipe_detail,parthon_other_pipe_detail,parthon_other_pipe_detail,parthon_other_pipe_detail,parthon_other_pipe_detail,parthon_other_pipe_detail,parthon_other_pipe_detail,parthon_other_pipe_detail,parthon_other_pipe_detail,parthon_other_pipe_detail,parthon_other_pipe_detail,parthon_other_pipe_detail,parthon_other_pipe_detail
miles_onshore_transmission_pipe_total,t2m1t,t2m1t,t2m1t,t2m1t,t2m1t,t2m1t,t2m1t,t2m1t,t2m1t,t2m1t,t2m1t,b2ton_t,b2ton_t,b2ton_t,b2ton_t,b2ton_t,b2ton_t,b2ton_t,b2ton_t,b2ton_t,parthontotal,parthontotal,parthontotal,parthontotal,parthontotal,parthontotal,parthontotal,parthontotal,parthontotal,parthontotal,parthontotal,parthontotal,parthontotal
miles_offshore_transmission_pipe_nps_4_or_less,t2m2_2,t2m2_2,t2m2_2,t2m2_2,t2m2_2,t2m2_2,t2m2_2,t2m2_2,t2m2_2,t2m2_2,t2m2_2,b2toff_2,b2toff_2,b2toff_2,b2toff_2,b2toff_2,b2toff_2,b2toff_2,b2toff_2,b2toff_2,parthoff4less,parthoff4less,parthoff4less,parthoff4less,parthoff4less,parthoff4less,parthoff4less,parthoff4less,parthoff4less,parthoff4less,parthoff4less,parthoff4less,parthoff4less
miles_offshore_transmission_pipe_nps_4_to_10,t2m2_3,t2m2_3,t2m2_3,t2m2_3,t2m2_3,t2m2_3,t2m2_3,t2m2_3,t2m2_3,t2m2_3,t2m2_3,b2toff_3,b2toff_3,b2toff_3,b2toff_3,b2toff_3,b2toff_3,b2toff_3,b2toff_3,b2toff_3,,,,,,,,,,,,,
miles_offshore_transmission_pipe_nps_10_to_20,t2m2_4,t2m2_4,t2m2_4,t2m2_4,t2m2_4,t2m2_4,t2m2_4,t2m2_4,t2m2_4,t2m2_4,t2m2_4,b2toff_4,b2toff_4,b2toff_4,b2toff_4,b2toff_4,b2toff_4,b2toff_4,b2toff_4,b2toff_4,,,,,,,,,,,,,
miles_offshore_transmission_pipe_nps_20_to_28,t2m2_5,t2m2_5,t2m2_5,t2m2_5,t2m2_5,t2m2_5,t2m2_5,t2m2_5,t2m2_5,t2m2_5,t2m2_5,b2toff_5,b2toff_5,b2toff_5,b2toff_5,b2toff_5,b2toff_5,b2toff_5,b2toff_5,b2toff_5,,,,,,,,,,,,,
miles_offshore_transmission_pipe_nps_28_and_over,t2m2_6,t2m2_6,t2m2_6,t2m2_6,t2m2_6,t2m2_6,t2m2_6,t2m2_6,t2m2_6,t2m2_6,t2m2_6,b2toff_6,b2toff_6,b2toff_6,b2toff_6,b2toff_6,b2toff_6,b2toff_6,b2toff_6,b2toff_6,,,,,,,,,,,,,
miles_offshore_transmission_pipe_nps_6,,,,,,,,,,,,,,,,,,,,,parthoff6,parthoff6,parthoff6,parthoff6,parthoff6,parthoff6,parthoff6,parthoff6,parthoff6,parthoff6,parthoff6,parthoff6,parthoff6
miles_offshore_transmission_pipe_nps_8,,,,,,,,,,,,,,,,,,,,,parthoff8,parthoff8,parthoff8,parthoff8,parthoff8,parthoff8,parthoff8,parthoff8,parthoff8,parthoff8,parthoff8,parthoff8,parthoff8
miles_offshore_transmission_pipe_nps_10,,,,,,,,,,,,,,,,,,,,,parthoff10,parthoff10,parthoff10,parthoff10,parthoff10,parthoff10,parthoff10,parthoff10,parthoff10,parthoff10,parthoff10,parthoff10,parthoff10
miles_offshore_transmission_pipe_nps_12,,,,,,,,,,,,,,,,,,,,,parthoff12,parthoff12,parthoff12,parthoff12,parthoff12,parthoff12,parthoff12,parthoff12,parthoff12,parthoff12,parthoff12,parthoff12,parthoff12
miles_offshore_transmission_pipe_nps_14,,,,,,,,,,,,,,,,,,,,,parthoff14,parthoff14,parthoff14,parthoff14,parthoff14,parthoff14,parthoff14,parthoff14,parthoff14,parthoff14,parthoff14,parthoff14,parthoff14
