year_index,data_date,report_year,report_number,supplemental_report_number,operator_id_phmsa,operator_name_phmsa,commodity_group,interstate_or_intrastate ,report_state,inspected_corrosion_or_metal_loss_tools_miles,inspected_dent_or_deformation_tools_miles,inspected_crack_or_long_seam_defect_detection_tools_miles,inspected_other_tools_miles,other_tools_description,inspected_in_line_total_miles,anomalies_excavated_operator_criteria,anomalies_repaired_following_in_line_inspection,conditions_repaired_hca_segment_in_line,conditions_repaired_immediate_repair_conditions_hca_segment_in_line,conditions_repaired_one_year_conditions_hca_segment_in_line,conditions_repaired_monitored_conditions_hca_segment_in_line,conditions_repaired_other_scheduled_conditions_hca_segment_in_line,conditions_repaired_192_710_segment_in_line,conditions_repaired_immediate_repair_conditions_192_710_segment_in_line,conditions_repaired_two_year_repair_conditions_192_710_segment_in_line,conditions_repaired_monitored_conditions_192_710_segment_in_line,conditions_repaired_class_3_or_4_in_line,conditions_repaired_class_1_or_2_in_line,inspected_pressure_testing_total_miles,pressure_test_failures_repaired_total,pressure_test_failures_repaired_hca_segment,pressure_test_ruptures_repaired_hca_segment,pressure_test_leaks_repaired_hca_segment,pressure_test_failures_repaired_192_710_segment,pressure_test_failures_repaired_class_3_or_4_segment,pressure_test_failures_repaired_class_1_or_2_segment,inspected_direct_assessment_total_miles,inspected_ecda_miles,inspected_icda_miles,inspected_sccda_miles,anomalies_repaired_following_direct_assessment,anomalies_repaired_following_ecda,anomalies_repaired_following_icda,anomalies_repaired_following_sccda,conditions_repaired_hca_segment_direct_assessment,conditions_repaired_immediate_repair_conditions_hca_segment_direct_assessment,conditions_repaired_one_year_conditions_hca_segment_direct_assessment,conditions_repaired_monitored_conditions_hca_segment_direct_assessment,conditions_repaired_other_scheduled_conditions_hca_segment_direct_assessment,conditions_repaired_192_710_segment_direct_assessment,conditions_repaired_immediate_repair_conditions_192_710_segment_direct_assessment,conditions_repaired_two_year_conditions_192_710_segment_direct_assessment,conditions_repaired_monitored_conditions_192_710_segment_direct_assessment,conditions_repaired_class_3_or_4_direct_assessment,conditions_repaired_class_1_or_2_direct_assessment,inspected_guided_wave_ultrasonic_testing_miles,anomalies_repaired_following_guided_wave_ultrasonic_testing,conditions_repaired_hca_segment_guided_wave_ultrasonic_testing,conditions_repaired_immediate_repair_conditions_hca_segment_guided_wave_ultrasonic_testing,conditions_repaired_six_month_conditions_hca_segment_guided_wave_ultrasonic_testing,conditions_repaired_twelve_month_conditions_hca_segment_guided_wave_ultrasonic_testing,conditions_repaired_monitored_conditions_hca_segment_guided_wave_ultrasonic_testing,conditions_repaired_192_710_segment_guided_wave_ultrasonic_testing,conditions_repaired_six_month_conditions_192_710_segment_guided_wave_ultrasonic_testing,conditions_repaired_twelve_month_conditions_192_710_segment_guided_wave_ultrasonic_testing,conditions_repaired_class_3_or_4_guided_wave_ultrasonic_testing,conditions_repaired_class_1_or_2_guided_wave_ultrasonic_testing,inspected_direct_examination_miles,anomalies_repaired_following_direct_examination,conditions_repaired_hca_segment_direct_examination,conditions_repaired_immediate_repair_conditions_hca_segment_direct_examination,conditions_repaired_one_year_conditions_hca_segment_direct_examination,conditions_repaired_monitored_conditions_hca_segment_direct_examination,conditions_repaired_other_scheduled_conditions_hca_segment_direct_examination,conditions_repaired_192_710_segment_direct_examination,conditions_repaired_immediate_repair_conditions_192_710_segment_direct_examination,conditions_repaired_two_year_conditions_192_710_segment_direct_examination,conditions_repaired_monitored_conditions_192_710_segment_direct_examination,conditions_repaired_class_3_or_4_direct_examination,conditions_repaired_class_1_or_2_direct_examination,inspected_other_inspection_miles,other_inspection_method_description,anomalies_repaired_following_other_inspection,conditions_repaired_hca_segment_other_inspection,conditions_repaired_immediate_repair_conditions_hca_segment_other_inspection,conditions_repaired_one_year_conditions_hca_segment_other_inspection,conditions_repaired_monitored_conditions_hca_segment_other_inspection,conditions_repaired_other_scheduled_conditions_hca_segment_other_inspection,conditions_repaired_192_710_segment_other_inspection,conditions_repaired_immediate_repair_conditions_192_710_segment_other_inspection,conditions_repaired_two_year_conditions_192_710_segment_other_inspection,conditions_repaired_monitored_conditions_192_710_segment_other_inspection,conditions_repaired_class_3_or_4_other_inspection,conditions_repaired_class_1_or_2_other_inspection,total_inspected_miles,total_anomalies_repaired,total_conditions_repaired_hca_segment,total_actionable_anomalies_eliminated_by_pipe_replacement_hca_segment,total_actionable_anomalies_eliminated_by_pipe_abandonment_hca_segment,total_conditions_repaired_192_710_segment,total_actionable_anomalies_eliminated_by_pipe_replacement_192_710_segment,total_actionable_anomalies_eliminated_by_pipe_abandonment_192_710_segment,total_conditions_repaired_class_3_or_4_segment,total_actionable_anomalies_eliminated_by_pipe_replacement_class_3_or_4_segment,total_actionable_anomalies_eliminated_by_pipe_abandonment_class_3_or_4_segment,total_conditions_repaired_class_1_or_2_segment,total_actionable_anomalies_eliminated_by_pipe_replacement_class_1_or_2_segment,total_actionable_anomalies_eliminated_by_pipe_abandonment_class_1_or_2_segment,hca_segments_baseline_assessment_miles,hca_segments_reassessment_miles,hca_segments_assessment_and_reassessment_miles,192_710_segments_baseline_assessment_miles,192_710_segments_reassessment_miles,192_710_segments_assessment_and_reassessment_miles,class_3_or_4_segments_assessment_miles,class_1_or_2_segments_assessment_miles
1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
