year_index,data_date,report_year,report_number,supplemental_report_number,operator_id_phmsa,operator_name_phmsa,commodity_group,interstate_or_intrastate,report_state,onshore_transmission_pipe_class_1_miles,onshore_transmission_pipe_class_2_miles,onshore_transmission_pipe_class_3_miles,onshore_transmission_pipe_class_4_miles,onshore_transmission_pipe_class_total_miles,onshore_transmission_pipe_hca_miles,onshore_transmission_pipe_192_710_miles,onshore_transmission_pipe_class_3_or_4_only_miles,onshore_transmission_pipe_class_1_or_2_only_miles,offshore_transmission_pipe_class_1_miles,offshore_transmission_pipe_class_total_miles,offshore_transmission_pipe_hca_miles,offshore_transmission_pipe_192_710_miles,offshore_transmission_pipe_class_3_or_4_only_miles,offshore_transmission_pipe_class_1_or_2_only_miles,transmission_pipe_class_1_miles,transmission_pipe_class_2_miles,transmission_pipe_class_3_miles,transmission_pipe_class_4_miles,transmission_pipe_class_total_miles,transmission_pipe_hca_miles,transmission_pipe_192_710_miles,transmission_pipe_class_3_or_4_only_miles,transmission_pipe_class_1_or_2_only_miles,onshore_gathering_pipe_class_1_miles,onshore_gathering_pipe_class_2_miles,onshore_gathering_pipe_class_3_miles,onshore_gathering_pipe_class_4_miles,onshore_gathering_pipe_class_total_miles,onshore_type_a_gathering_pipe_class_total_miles,onshore_type_a_gathering_pipe_class_2_miles,onshore_type_a_gathering_pipe_class_3_miles,onshore_type_a_gathering_pipe_class_4_miles,onshore_type_a_gathering_pipe_class_total_miles,onshore_type_b_gathering_pipe_class_2_miles,onshore_type_b_gathering_pipe_class_3_miles,onshore_type_b_gathering_pipe_class_4_miles,onshore_type_b_gathering_pipe_class_total_miles,onshore_type_c_gathering_pipe_class_1_miles,onshore_type_c_gathering_pipe_class_total_miles,offshore_gathering_pipe_class_1_miles,offshore_gathering_pipe_class_total_miles,gathering_pipe_class_1_miles,gathering_pipe_class_2_miles,gathering_pipe_class_3_miles,gathering_pipe_class_4_miles,gathering_pipe_class_total_miles,total_pipe_class_1_miles,total_pipe_class_2_miles,total_pipe_class_3_miles,total_pipe_class_4_miles,total_pipe_class_total_miles
1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,yr,rptid,tr_sup_id,operator_id,name,,,stop,b4ton_1,b4ton_2,b4ton_3,b4ton_4,b4ton_t,,,,,b4toff,,,,,,,,,,,,,,,b4gon_1,b4gon_2,b4gon_3,b4gon_4,b4gon_t,,,,,,,,,,,,b4goff,,,,,,,b4total_1,b4total_2,b4total_3,b4total_4,b4total_t
