year_index,data_date,report_year,report_number,supplemental_report_number,operator_id_phmsa,operator_name_phmsa,commodity_group,interstate_or_intrastate,report_state,onshore_transmission_unknown_miles,onshore_transmission_pre_1940_miles,onshore_transmission_1940_1949_miles,onshore_transmission_1950_1959_miles,onshore_transmission_1960_1969_miles,onshore_transmission_1970_1979_miles,onshore_transmission_1980_1989_miles,onshore_transmission_1990_1999_miles,onshore_transmission_2000_2009_miles,onshore_transmission_2010_2019_miles,onshore_transmission_2020_2029_miles,onshore_total_transmission_miles,offshore_transmission_unknown_miles,offshore_transmission_pre_1940_miles,offshore_transmission_1940_1949_miles,offshore_transmission_1950_1959_miles,offshore_transmission_1960_1969_miles,offshore_transmission_1970_1979_miles,offshore_transmission_1980_1989_miles,offshore_transmission_1990_1999_miles,offshore_transmission_2000_2009_miles,offshore_transmission_2010_2019_miles,offshore_transmission_2020_2029_miles,offshore_total_transmission_miles,total_transmission_unknown_miles,total_transmission_pre_1940_miles,total_transmission_1940_1949_miles,total_transmission_1950_1959_miles,total_transmission_1960_1969_miles,total_transmission_1970_1979_miles,total_transmission_1980_1989_miles,total_transmission_1990_1999_miles,total_transmission_2000_2009_miles,total_transmission_2010_2019_miles,total_transmission_2020_2029_miles,total_total_transmission_miles,onshore_gathering_unknown_miles,onshore_gathering_pre_1940_miles,onshore_gathering_1940_1949_miles,onshore_gathering_1950_1959_miles,onshore_gathering_1960_1969_miles,onshore_gathering_1970_1979_miles,onshore_gathering_1980_1989_miles,onshore_gathering_1990_1999_miles,onshore_gathering_2000_2009_miles,onshore_total_gathering_miles,onshore_type_a_gathering_unknown_miles,onshore_type_a_gathering_pre_1940_miles,onshore_type_a_gathering_1940_1949_miles,onshore_type_a_gathering_1950_1959_miles,onshore_type_a_gathering_1960_1969_miles,onshore_type_a_gathering_1970_1979_miles,onshore_type_a_gathering_1980_1989_miles,onshore_type_a_gathering_1990_1999_miles,onshore_type_a_gathering_2000_2009_miles,onshore_type_a_gathering_2010_2019_miles,onshore_type_a_gathering_2020_2029_miles,onshore_type_a_total_gathering_miles,onshore_type_b_gathering_unknown_miles,onshore_type_b_gathering_pre_1940_miles,onshore_type_b_gathering_1940_1949_miles,onshore_type_b_gathering_1950_1959_miles,onshore_type_b_gathering_1960_1969_miles,onshore_type_b_gathering_1970_1979_miles,onshore_type_b_gathering_1980_1989_miles,onshore_type_b_gathering_1990_1999_miles,onshore_type_b_gathering_2000_2009_miles,onshore_type_b_gathering_2010_2019_miles,onshore_type_b_gathering_2020_2029_miles,onshore_type_b_total_gathering_miles,onshore_type_c_gathering_unknown_miles,onshore_type_c_gathering_pre_1940_miles,onshore_type_c_gathering_1940_1949_miles,onshore_type_c_gathering_1950_1959_miles,onshore_type_c_gathering_1960_1969_miles,onshore_type_c_gathering_1970_1979_miles,onshore_type_c_gathering_1980_1989_miles,onshore_type_c_gathering_1990_1999_miles,onshore_type_c_gathering_2000_2009_miles,onshore_type_c_gathering_2010_2019_miles,onshore_type_c_gathering_2020_2029_miles,onshore_type_c_total_gathering_miles,offshore_gathering_unknown_miles,offshore_gathering_pre_1940_miles,offshore_gathering_1940_1949_miles,offshore_gathering_1950_1959_miles,offshore_gathering_1960_1969_miles,offshore_gathering_1970_1979_miles,offshore_gathering_1980_1989_miles,offshore_gathering_1990_1999_miles,offshore_gathering_2000_2009_miles,offshore_gathering_2010_2019_miles,offshore_gathering_2020_2029_miles,offshore_gathering_total_miles,total_gathering_unknown_miles,total_gathering_pre_1940_miles,total_gathering_1940_1949_miles,total_gathering_1950_1959_miles,total_gathering_1960_1969_miles,total_gathering_1970_1979_miles,total_gathering_1980_1989_miles,total_gathering_1990_1999_miles,total_gathering_2000_2009_miles,total_gathering_2010_2019_miles,total_gathering_2020_2029_miles,total_gathering_total_miles,total_total_unknown_miles,total_total_pre_1940_miles,total_total_1940_1949_miles,total_total_1950_1959_miles,total_total_1960_1969_miles,total_total_1970_1979_miles,total_total_1980_1989_miles,total_total_1990_1999_miles,total_total_2000_2009_miles,total_total_2010_2019_miles,total_total_2020_2029_miles,total_total_total_miles
1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,yr,rptid,tr_sup_id,operator_id,name,,,stop,b3ton_1,b3ton_2,b3ton_3,b3ton_4,b3ton_5,b3ton_6,b3ton_7,b3ton_8,b3ton_9,,,b3ton_t,b3toff_1,b3toff_2,b3toff_3,b3toff_4,b3toff_5,b3toff_6,b3toff_7,b3toff_8,b3toff_9,,,b3toff_t,,,,,,,,,,,,,b3gon_1,b3gon_2,b3gon_3,b3gon_4,b3gon_5,b3gon_6,b3gon_7,b3gon_8,b3gon_9,b3gon_t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b3goff_1,b3goff_2,b3goff_3,b3goff_4,b3goff_5,b3goff_6,b3goff_7,b3goff_8,b3goff_9,,,b3goff_t,,,,,,,,,,,,,b3total_1,b3total_2,b3total_3,b3total_4,b3total_5,b3total_6,b3total_7,b3total_8,b3total_9,,,b3total_t
