year_index,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
data_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,datafile_as_of,datafile_as_of
report_year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,report_year,report_year
report_number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,report_number,report_number
supplemental_report_number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,supplemental_number,supplemental_number
operator_id_phmsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operator_id,operator_id
operator_name_phmsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,parta2nameofcomp,parta2nameofcomp
commodity_group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,parta5commodity,parta5commodity
interstate_or_intrastate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inter_intra,inter_intra
report_state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state_name,state_name
hca_class_1_192_607_miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partshcac1miles,partshcac1miles
hca_class_1_192_607_test_locations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partshcac1testloc,partshcac1testloc
hca_class_2_192_607_miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partshcac2miles,partshcac2miles
hca_class_2_192_607_test_locations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partshcac2testloc,partshcac2testloc
hca_class_3_192_607_miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partshcac3miles,partshcac3miles
hca_class_3_192_607_test_locations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partshcac3testloc,partshcac3testloc
hca_class_4_192_607_miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partshcac4miles,partshcac4miles
hca_class_4_192_607_test_locations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partshcac4testloc,partshcac4testloc
mca_class_1_192_607_miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partsmcac1miles,partsmcac1miles
mca_class_1_192_607_test_locations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partsmcac1testloc,partsmcac1testloc
mca_class_2_192_607_miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partsmcac2miles,partsmcac2miles
mca_class_2_192_607_test_locations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partsmcac2testloc,partsmcac2testloc
mca_class_3_192_607_miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partsmcac3miles,partsmcac3miles
mca_class_3_192_607_test_locations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partsmcac3testloc,partsmcac3testloc
mca_class_4_192_607_miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partsmcac4miles,partsmcac4miles
mca_class_4_192_607_test_locations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partsmcac4testloc,partsmcac4testloc
other_class_1_192_607_miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partsnothcamcac1miles,partsnothcamcac1miles
other_class_1_192_607_test_locations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partsnothcamcac1testloc,partsnothcamcac1testloc
other_class_2_192_607_miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partsnothcamcac2miles,partsnothcamcac2miles
other_class_2_192_607_test_locations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partsnothcamcac2testloc,partsnothcamcac2testloc
other_class_3_192_607_miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partsnothcamcac3miles,partsnothcamcac3miles
other_class_3_192_607_test_locations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partsnothcamcac3testloc,partsnothcamcac3testloc
other_class_4_192_607_miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partsnothcamcac4miles,partsnothcamcac4miles
other_class_4_192_607_test_locations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partsnothcamcac4testloc,partsnothcamcac4testloc
