year_index,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
data_date,,,,,,,,,,,,,,,,,,,,,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of
interstate_or_intrastate,,,,,,,,,,,,,,,,,,,,,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra
operator_id_phmsa,,,,,,,,,,,,,,,,,,,,,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id
report_number,,,,,,,,,,,,,,,,,,,,,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number
report_year,,,,,,,,,,,,,,,,,,,,,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year
report_state,,,,,,,,,,,,,,,,,,,,,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name
supplemental_report_number,,,,,,,,,,,,,,,,,,,,,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number
operator_name_phmsa,,,,,,,,,,,,,,,,,,,,,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp
commodity_group,,,,,,,,,,,,,,,,,,,,,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity
onshore_steel_pipe_smys_20_to_29_class_1_miles,,,,,,,,,,,,,,,,,,,,,partk2029c1,partk2029c1,partk2029c1,partk2029c1,partk2029c1,partk2029c1,partk2029c1,partk2029c1,partk2029c1,partk2029c1,partk2029c1,partk2029c1,partk2029c1
onshore_steel_pipe_smys_20_to_29_class_2_miles,,,,,,,,,,,,,,,,,,,,,partk2029c2,partk2029c2,partk2029c2,partk2029c2,partk2029c2,partk2029c2,partk2029c2,partk2029c2,partk2029c2,partk2029c2,partk2029c2,partk2029c2,partk2029c2
onshore_steel_pipe_smys_20_to_29_class_3_miles,,,,,,,,,,,,,,,,,,,,,partk2029c3,partk2029c3,partk2029c3,partk2029c3,partk2029c3,partk2029c3,partk2029c3,partk2029c3,partk2029c3,partk2029c3,partk2029c3,partk2029c3,partk2029c3
onshore_steel_pipe_smys_20_to_29_class_4_miles,,,,,,,,,,,,,,,,,,,,,partk2029c4,partk2029c4,partk2029c4,partk2029c4,partk2029c4,partk2029c4,partk2029c4,partk2029c4,partk2029c4,partk2029c4,partk2029c4,partk2029c4,partk2029c4
onshore_steel_pipe_smys_20_to_29_class_total_miles,,,,,,,,,,,,,,,,,,,,,partk2029tot,partk2029tot,partk2029tot,partk2029tot,partk2029tot,partk2029tot,partk2029tot,partk2029tot,partk2029tot,partk2029tot,partk2029tot,partk2029tot,partk2029tot
onshore_steel_pipe_smys_0_to_19_class_1_miles,,,,,,,,,,,,,,,,,,,,,partk20lessc1,partk20lessc1,partk20lessc1,partk20lessc1,partk20lessc1,partk20lessc1,partk20lessc1,partk20lessc1,partk20lessc1,partk20lessc1,partk20lessc1,partk20lessc1,partk20lessc1
onshore_steel_pipe_smys_0_to_19_class_2_miles,,,,,,,,,,,,,,,,,,,,,partk20lessc2,partk20lessc2,partk20lessc2,partk20lessc2,partk20lessc2,partk20lessc2,partk20lessc2,partk20lessc2,partk20lessc2,partk20lessc2,partk20lessc2,partk20lessc2,partk20lessc2
onshore_steel_pipe_smys_0_to_19_class_3_miles,,,,,,,,,,,,,,,,,,,,,partk20lessc3,partk20lessc3,partk20lessc3,partk20lessc3,partk20lessc3,partk20lessc3,partk20lessc3,partk20lessc3,partk20lessc3,partk20lessc3,partk20lessc3,partk20lessc3,partk20lessc3
onshore_steel_pipe_smys_0_to_19_class_4_miles,,,,,,,,,,,,,,,,,,,,,partk20lessc4,partk20lessc4,partk20lessc4,partk20lessc4,partk20lessc4,partk20lessc4,partk20lessc4,partk20lessc4,partk20lessc4,partk20lessc4,partk20lessc4,partk20lessc4,partk20lessc4
onshore_steel_pipe_smys_0_to_19_class_total_miles,,,,,,,,,,,,,,,,,,,,,partk20lesstot,partk20lesstot,partk20lesstot,partk20lesstot,partk20lesstot,partk20lesstot,partk20lesstot,partk20lesstot,partk20lesstot,partk20lesstot,partk20lesstot,partk20lesstot,partk20lesstot
onshore_steel_pipe_smys_30_to_40_class_1_miles,,,,,,,,,,,,,,,,,,,,,partk3040c1,partk3040c1,partk3040c1,partk3040c1,partk3040c1,partk3040c1,partk3040c1,partk3040c1,partk3040c1,partk3040c1,partk3040c1,partk3040c1,partk3040c1
onshore_steel_pipe_smys_30_to_40_class_2_miles,,,,,,,,,,,,,,,,,,,,,partk3040c2,partk3040c2,partk3040c2,partk3040c2,partk3040c2,partk3040c2,partk3040c2,partk3040c2,partk3040c2,partk3040c2,partk3040c2,partk3040c2,partk3040c2
onshore_steel_pipe_smys_30_to_40_class_3_miles,,,,,,,,,,,,,,,,,,,,,partk3040c3,partk3040c3,partk3040c3,partk3040c3,partk3040c3,partk3040c3,partk3040c3,partk3040c3,partk3040c3,partk3040c3,partk3040c3,partk3040c3,partk3040c3
onshore_steel_pipe_smys_30_to_40_class_4_miles,,,,,,,,,,,,,,,,,,,,,partk3040c4,partk3040c4,partk3040c4,partk3040c4,partk3040c4,partk3040c4,partk3040c4,partk3040c4,partk3040c4,partk3040c4,partk3040c4,partk3040c4,partk3040c4
