year_index,rus_borrower_id,borrower_name,report_year,report_month,utility_plant_in_service_assets,construction_work_in_progress_assets,total_utility_plant_assets,depreciation_and_amortization_assets,total_net_utlity_plant_assets,net_non_utility_property_asset,investments_subsidiary_companies_assets,investments_associated_orgs_patronage_capital_assets,investments_associated_orgs_other_general_funds_assets,investments_associated_orgs_other_non_general_funds_assets,investments_economic_development_assets,investments_other_assets,special_funds_assets,total_other_property_and_investments_assets,cash_general_funds_assets,cash_construction_funds_trustee_assets,special_deposits_assets,investments_temporary_assets,net_notes_receivable_assets,net_accounts_receivable_sales_of_energy_assets,net_accounts_receivable_other_assets,fuel_stock_assets,renewable_energy_credits_assets,materials_and_supplies_assets,prepayments_assets,other_current_and_accrued_assets,total_current_and_accrued_assets,unamortized_debt_discount_property_losses_assets,regulatory_assets,other_deferred_debits_assets,accumulated_deferred_income_taxes_debits_assets,total_assets,memberships_liabilities,assigned_and_assignable_patronage_capital_liabilities,retired_this_year_patronage_capital_liabilities,retired_prior_years_patronage_capital_liabilities,net_patronage_capital_liabilities,operating_margins_prior_years_liabilities,operating_margins_current_year_liabilities,non_operating_margins_liabilities,other_margins_and_equities_liabilities,total_margins_and_equities_liabilities,long_term_debt_rus_liabilities,payments_unapplied_liabilities,long_term_debt_rus_econ_devel_net,long_term_debt_ffb_rus_guaranteed_liabilities,long_term_debt_other_rus_guaranteed_liabilities,long_term_debt_other_liabilities,total_long_term_debt_liabilities,noncurrent_obligations_under_capital_leases_liabilities,accumulated_operating_provisions_liabilities,total_other_noncurrent_liabilities_liabilities,notes_payable_liabilities,accounts_payable_liabilities,current_maturities_long_term_debt_liabilities,rural_development_liabilities,current_maturities_capital_leases_liabilities,taxes_accrued_liabilities,interest_accrued_liabilities,other_current_and_accrued_liabilities,total_current_and_accrued_liabilities,deferred_credits_liabilities,accumulated_deferred_income_taxes_credits_liabilities,total_liabilities_and_other_credits_liabilities
2006,rusborrowerid,borrowername,year,period,totalutilityplantinservice,constructionworkinprogress,totalutilityplant,accumprovisionfordepreciationandamort,netutilityplant,nonutilitypropertynet,investmentsinsubsidiarycompanies,investinassocorgpatronagecapital,investinassocorgothergeneralfunds,investinassocorgothernongeneralfunds,investmentsineconomicdevelopmentprojects,otherinvestments,specialfunds,totalotherpropertyandinvestments,cashgeneralfunds,cashconstructionfundstrustee,specialdeposits,temporaryinvestments,notesreceivablenet,accountsreceivablesalesofenergynet,accountsreceivableothernet,fuelstock,,materialsandsuppliesother,prepayments,othercurrentandaccruedassets,totalcurrentandaccruedassets,unamortizeddebtdiscountextraorproplosses,regulatoryassets,otherdeferreddebits,accumulateddeferredincometaxesdebits,totalassetsandotherdebits,memberships,assignedandassignable,retiredthisyear,retiredprioryears,netpatronagecapital,operatingmarginsprioryears,operatingmarginscurrentyear,nonoperatingmargins,othermarginsandequities,totalmarginsandequities,longtermdebtrusnet,paymentsunapplied,longtermdebtrusecondevelnet,longtermdebtffbrusguaranteed,longtermdebtotherrusguaranteed,longtermdebtothernet,totallongtermdebt,obligationsundercapitalleasesnoncurrent,accumulatedoperatingprovisions,totalothernoncurrentliabilities,notespayable,accountspayable,currentmaturitieslongtermdebt,ruraldevelopment,currentmaturitiescapitalleases,taxesaccrued,interestaccrued,othercurrentandaccruedliabilities,totalcurrentandaccruedliabilities,deferredcredits,accumulateddeferredincometaxescredits,totalliabilitiesandothercredits
2007,rusborrowerid,borrowername,year,period,totalutilityplantinservice,constructionworkinprogress,totalutilityplant,accumprovisionfordepreciationandamort,netutilityplant,nonutilitypropertynet,investmentsinsubsidiarycompanies,investinassocorgpatronagecapital,investinassocorgothergeneralfunds,investinassocorgothernongeneralfunds,investmentsineconomicdevelopmentprojects,otherinvestments,specialfunds,totalotherpropertyandinvestments,cashgeneralfunds,cashconstructionfundstrustee,specialdeposits,temporaryinvestments,notesreceivablenet,accountsreceivablesalesofenergynet,accountsreceivableothernet,fuelstock,,materialsandsuppliesother,prepayments,othercurrentandaccruedassets,totalcurrentandaccruedassets,unamortizeddebtdiscountextraorproplosses,regulatoryassets,otherdeferreddebits,accumulateddeferredincometaxesdebits,totalassetsandotherdebits,memberships,assignedandassignable,retiredthisyear,retiredprioryears,netpatronagecapital,operatingmarginsprioryears,operatingmarginscurrentyear,nonoperatingmargins,othermarginsandequities,totalmarginsandequities,longtermdebtrusnet,paymentsunapplied,longtermdebtrusecondevelnet,longtermdebtffbrusguaranteed,longtermdebtotherrusguaranteed,longtermdebtothernet,totallongtermdebt,obligationsundercapitalleasesnoncurrent,accumulatedoperatingprovisions,totalothernoncurrentliabilities,notespayable,accountspayable,currentmaturitieslongtermdebt,ruraldevelopment,currentmaturitiescapitalleases,taxesaccrued,interestaccrued,othercurrentandaccruedliabilities,totalcurrentandaccruedliabilities,deferredcredits,accumulateddeferredincometaxescredits,totalliabilitiesandothercredits
2008,rusborrowerid,borrowername,year,period,totalutilityplantinservice,constructionworkinprogress,totalutilityplant,accumprovisionfordepreciationandamort,netutilityplant,nonutilitypropertynet,investmentsinsubsidiarycompanies,investinassocorgpatronagecapital,investinassocorgothergeneralfunds,investinassocorgothernongeneralfunds,investmentsineconomicdevelopmentprojects,otherinvestments,specialfunds,totalotherpropertyandinvestments,cashgeneralfunds,cashconstructionfundstrustee,specialdeposits,temporaryinvestments,notesreceivablenet,accountsreceivablesalesofenergynet,accountsreceivableothernet,fuelstock,,materialsandsuppliesother,prepayments,othercurrentandaccruedassets,totalcurrentandaccruedassets,unamortizeddebtdiscountextraorproplosses,regulatoryassets,otherdeferreddebits,accumulateddeferredincometaxesdebits,totalassetsandotherdebits,memberships,assignedandassignable,retiredthisyear,retiredprioryears,netpatronagecapital,operatingmarginsprioryears,operatingmarginscurrentyear,nonoperatingmargins,othermarginsandequities,totalmarginsandequities,longtermdebtrusnet,paymentsunapplied,longtermdebtrusecondevelnet,longtermdebtffbrusguaranteed,longtermdebtotherrusguaranteed,longtermdebtothernet,totallongtermdebt,obligationsundercapitalleasesnoncurrent,accumulatedoperatingprovisions,totalothernoncurrentliabilities,notespayable,accountspayable,currentmaturitieslongtermdebt,ruraldevelopment,currentmaturitiescapitalleases,taxesaccrued,interestaccrued,othercurrentandaccruedliabilities,totalcurrentandaccruedliabilities,deferredcredits,accumulateddeferredincometaxescredits,totalliabilitiesandothercredits
2009,rusborrowerid,borrowername,year,period,totalutilityplantinservice,constructionworkinprogress,totalutilityplant,accumprovisionfordepreciationandamort,netutilityplant,nonutilitypropertynet,investmentsinsubsidiarycompanies,investinassocorgpatronagecapital,investinassocorgothergeneralfunds,investinassocorgothernongeneralfunds,investmentsineconomicdevelopmentprojects,otherinvestments,specialfunds,totalotherpropertyandinvestments,cashgeneralfunds,cashconstructionfundstrustee,specialdeposits,temporaryinvestments,notesreceivablenet,accountsreceivablesalesofenergynet,accountsreceivableothernet,fuelstock,,materialsandsuppliesother,prepayments,othercurrentandaccruedassets,totalcurrentandaccruedassets,unamortizeddebtdiscountextraorproplosses,regulatoryassets,otherdeferreddebits,accumulateddeferredincometaxesdebits,totalassetsandotherdebits,memberships,assignedandassignable,retiredthisyear,retiredprioryears,netpatronagecapital,operatingmarginsprioryears,operatingmarginscurrentyear,nonoperatingmargins,othermarginsandequities,totalmarginsandequities,longtermdebtrusnet,paymentsunapplied,longtermdebtrusecondevelnet,longtermdebtffbrusguaranteed,longtermdebtotherrusguaranteed,longtermdebtothernet,totallongtermdebt,obligationsundercapitalleasesnoncurrent,accumulatedoperatingprovisions,totalothernoncurrentliabilities,notespayable,accountspayable,currentmaturitieslongtermdebt,ruraldevelopment,currentmaturitiescapitalleases,taxesaccrued,interestaccrued,othercurrentandaccruedliabilities,totalcurrentandaccruedliabilities,deferredcredits,accumulateddeferredincometaxescredits,totalliabilitiesandothercredits
2010,rusborrowerid,borrowername,year,period,totalutilityplantinservice,constructionworkinprogress,totalutilityplant,accumprovisionfordepreciationandamort,netutilityplant,nonutilitypropertynet,investmentsinsubsidiarycompanies,investinassocorgpatronagecapital,investinassocorgothergeneralfunds,investinassocorgothernongeneralfunds,investmentsineconomicdevelopmentprojects,otherinvestments,specialfunds,totalotherpropertyandinvestments,cashgeneralfunds,cashconstructionfundstrustee,specialdeposits,temporaryinvestments,notesreceivablenet,accountsreceivablesalesofenergynet,accountsreceivableothernet,fuelstock,renewableenergycredits,materialsandsuppliesother,prepayments,othercurrentandaccruedassets,totalcurrentandaccruedassets,unamortizeddebtdiscountextraorproplosses,regulatoryassets,otherdeferreddebits,accumulateddeferredincometaxesdebits,totalassetsandotherdebits,memberships,assignedandassignable,retiredthisyear,retiredprioryears,netpatronagecapital,operatingmarginsprioryears,operatingmarginscurrentyear,nonoperatingmargins,othermarginsandequities,totalmarginsandequities,longtermdebtrusnet,paymentsunapplied,longtermdebtrusecondevelnet,longtermdebtffbrusguaranteed,longtermdebtotherrusguaranteed,longtermdebtothernet,totallongtermdebt,obligationsundercapitalleasesnoncurrent,accumulatedoperatingprovisions,totalothernoncurrentliabilities,notespayable,accountspayable,currentmaturitieslongtermdebt,ruraldevelopment,currentmaturitiescapitalleases,taxesaccrued,interestaccrued,othercurrentandaccruedliabilities,totalcurrentandaccruedliabilities,deferredcredits,accumulateddeferredincometaxescredits,totalliabilitiesandothercredits
2011,rusborrowerid,borrowername,year,period,totalutilityplantinservice,constructionworkinprogress,totalutilityplant,accumprovisionfordepreciationandamort,netutilityplant,nonutilitypropertynet,investmentsinsubsidiarycompanies,investinassocorgpatronagecapital,investinassocorgothergeneralfunds,investinassocorgothernongeneralfunds,investmentsineconomicdevelopmentprojects,otherinvestments,specialfunds,totalotherpropertyandinvestments,cashgeneralfunds,cashconstructionfundstrustee,specialdeposits,temporaryinvestments,notesreceivablenet,accountsreceivablesalesofenergynet,accountsreceivableothernet,fuelstock,renewableenergycredits,materialsandsuppliesother,prepayments,othercurrentandaccruedassets,totalcurrentandaccruedassets,unamortizeddebtdiscountextraorproplosses,regulatoryassets,otherdeferreddebits,accumulateddeferredincometaxesdebits,totalassetsandotherdebits,memberships,assignedandassignable,retiredthisyear,retiredprioryears,netpatronagecapital,operatingmarginsprioryears,operatingmarginscurrentyear,nonoperatingmargins,othermarginsandequities,totalmarginsandequities,longtermdebtrusnet,paymentsunapplied,longtermdebtrusecondevelnet,longtermdebtffbrusguaranteed,longtermdebtotherrusguaranteed,longtermdebtothernet,totallongtermdebt,obligationsundercapitalleasesnoncurrent,accumulatedoperatingprovisions,totalothernoncurrentliabilities,notespayable,accountspayable,currentmaturitieslongtermdebt,ruraldevelopment,currentmaturitiescapitalleases,taxesaccrued,interestaccrued,othercurrentandaccruedliabilities,totalcurrentandaccruedliabilities,deferredcredits,accumulateddeferredincometaxescredits,totalliabilitiesandothercredits
2012,rusborrowerid,borrowername,year,period,totalutilityplantinservice,constructionworkinprogress,totalutilityplant,accumprovisionfordepreciationandamort,netutilityplant,nonutilitypropertynet,investmentsinsubsidiarycompanies,investinassocorgpatronagecapital,investinassocorgothergeneralfunds,investinassocorgothernongeneralfunds,investmentsineconomicdevelopmentprojects,otherinvestments,specialfunds,totalotherpropertyandinvestments,cashgeneralfunds,cashconstructionfundstrustee,specialdeposits,temporaryinvestments,notesreceivablenet,accountsreceivablesalesofenergynet,accountsreceivableothernet,fuelstock,renewableenergycredits,materialsandsuppliesother,prepayments,othercurrentandaccruedassets,totalcurrentandaccruedassets,unamortizeddebtdiscountextraorproplosses,regulatoryassets,otherdeferreddebits,accumulateddeferredincometaxesdebits,totalassetsandotherdebits,memberships,assignedandassignable,retiredthisyear,retiredprioryears,netpatronagecapital,operatingmarginsprioryears,operatingmarginscurrentyear,nonoperatingmargins,othermarginsandequities,totalmarginsandequities,longtermdebtrusnet,paymentsunapplied,longtermdebtrusecondevelnet,longtermdebtffbrusguaranteed,longtermdebtotherrusguaranteed,longtermdebtothernet,totallongtermdebt,obligationsundercapitalleasesnoncurrent,accumulatedoperatingprovisions,totalothernoncurrentliabilities,notespayable,accountspayable,currentmaturitieslongtermdebt,ruraldevelopment,currentmaturitiescapitalleases,taxesaccrued,interestaccrued,othercurrentandaccruedliabilities,totalcurrentandaccruedliabilities,deferredcredits,accumulateddeferredincometaxescredits,totalliabilitiesandothercredits
2013,rusborrowerid,borrowername,year,period,totalutilityplantinservice,constructionworkinprogress,totalutilityplant,accumprovisionfordepreciationandamort,netutilityplant,nonutilitypropertynet,investmentsinsubsidiarycompanies,investinassocorgpatronagecapital,investinassocorgothergeneralfunds,investinassocorgothernongeneralfunds,investmentsineconomicdevelopmentprojects,otherinvestments,specialfunds,totalotherpropertyandinvestments,cashgeneralfunds,cashconstructionfundstrustee,specialdeposits,temporaryinvestments,notesreceivablenet,accountsreceivablesalesofenergynet,accountsreceivableothernet,fuelstock,renewableenergycredits,materialsandsuppliesother,prepayments,othercurrentandaccruedassets,totalcurrentandaccruedassets,unamortizeddebtdiscountextraorproplosses,regulatoryassets,otherdeferreddebits,accumulateddeferredincometaxesdebits,totalassetsandotherdebits,memberships,assignedandassignable,retiredthisyear,retiredprioryears,netpatronagecapital,operatingmarginsprioryears,operatingmarginscurrentyear,nonoperatingmargins,othermarginsandequities,totalmarginsandequities,longtermdebtrusnet,paymentsunapplied,longtermdebtrusecondevelnet,longtermdebtffbrusguaranteed,longtermdebtotherrusguaranteed,longtermdebtothernet,totallongtermdebt,obligationsundercapitalleasesnoncurrent,accumulatedoperatingprovisions,totalothernoncurrentliabilities,notespayable,accountspayable,currentmaturitieslongtermdebt,ruraldevelopment,currentmaturitiescapitalleases,taxesaccrued,interestaccrued,othercurrentandaccruedliabilities,totalcurrentandaccruedliabilities,deferredcredits,accumulateddeferredincometaxescredits,totalliabilitiesandothercredits
2014,rusborrowerid,borrowername,year,period,totalutilityplantinservice,constructionworkinprogress,totalutilityplant,accumprovisionfordepreciationandamort,netutilityplant,nonutilitypropertynet,investmentsinsubsidiarycompanies,investinassocorgpatronagecapital,investinassocorgothergeneralfunds,investinassocorgothernongeneralfunds,investmentsineconomicdevelopmentprojects,otherinvestments,specialfunds,totalotherpropertyandinvestments,cashgeneralfunds,cashconstructionfundstrustee,specialdeposits,temporaryinvestments,notesreceivablenet,accountsreceivablesalesofenergynet,accountsreceivableothernet,fuelstock,renewableenergycredits,materialsandsuppliesother,prepayments,othercurrentandaccruedassets,totalcurrentandaccruedassets,unamortizeddebtdiscountextraorproplosses,regulatoryassets,otherdeferreddebits,accumulateddeferredincometaxesdebits,totalassetsandotherdebits,memberships,assignedandassignable,retiredthisyear,retiredprioryears,netpatronagecapital,operatingmarginsprioryears,operatingmarginscurrentyear,nonoperatingmargins,othermarginsandequities,totalmarginsandequities,longtermdebtrusnet,paymentsunapplied,longtermdebtrusecondevelnet,longtermdebtffbrusguaranteed,longtermdebtotherrusguaranteed,longtermdebtothernet,totallongtermdebt,obligationsundercapitalleasesnoncurrent,accumulatedoperatingprovisions,totalothernoncurrentliabilities,notespayable,accountspayable,currentmaturitieslongtermdebt,ruraldevelopment,currentmaturitiescapitalleases,taxesaccrued,interestaccrued,othercurrentandaccruedliabilities,totalcurrentandaccruedliabilities,deferredcredits,accumulateddeferredincometaxescredits,totalliabilitiesandothercredits
2015,rusborrowerid,borrowername,year,period,totalutilityplantinservice,constructionworkinprogress,totalutilityplant,accumprovisionfordepreciationandamort,netutilityplant,nonutilitypropertynet,investmentsinsubsidiarycompanies,investinassocorgpatronagecapital,investinassocorgothergeneralfunds,investinassocorgothernongeneralfunds,investmentsineconomicdevelopmentprojects,otherinvestments,specialfunds,totalotherpropertyandinvestments,cashgeneralfunds,cashconstructionfundstrustee,specialdeposits,temporaryinvestments,notesreceivablenet,accountsreceivablesalesofenergynet,accountsreceivableothernet,fuelstock,renewableenergycredits,materialsandsuppliesother,prepayments,othercurrentandaccruedassets,totalcurrentandaccruedassets,unamortizeddebtdiscountextraorproplosses,regulatoryassets,otherdeferreddebits,accumulateddeferredincometaxesdebits,totalassetsandotherdebits,memberships,assignedandassignable,retiredthisyear,retiredprioryears,netpatronagecapital,operatingmarginsprioryears,operatingmarginscurrentyear,nonoperatingmargins,othermarginsandequities,totalmarginsandequities,longtermdebtrusnet,paymentsunapplied,longtermdebtrusecondevelnet,longtermdebtffbrusguaranteed,longtermdebtotherrusguaranteed,longtermdebtothernet,totallongtermdebt,obligationsundercapitalleasesnoncurrent,accumulatedoperatingprovisions,totalothernoncurrentliabilities,notespayable,accountspayable,currentmaturitieslongtermdebt,ruraldevelopment,currentmaturitiescapitalleases,taxesaccrued,interestaccrued,othercurrentandaccruedliabilities,totalcurrentandaccruedliabilities,deferredcredits,accumulateddeferredincometaxescredits,totalliabilitiesandothercredits
