year_index,borrower_id_rus,borrower_name_rus,report_year,report_month,peak_demand_mw_jan,peak_demand_date_jan,peak_demand_hour_jan,peak_demand_reading_type_jan,energy_output_mwh_jan,peak_demand_mw_feb,peak_demand_date_feb,peak_demand_hour_feb,peak_demand_reading_type_feb,energy_output_mwh_feb,peak_demand_mw_mar,peak_demand_date_mar,peak_demand_hour_mar,peak_demand_reading_type_mar,energy_output_mwh_mar,peak_demand_mw_apr,peak_demand_date_apr,peak_demand_hour_apr,peak_demand_reading_type_apr,energy_output_mwh_apr,peak_demand_mw_may,peak_demand_date_may,peak_demand_hour_may,peak_demand_reading_type_may,energy_output_mwh_may,peak_demand_mw_jun,peak_demand_date_jun,peak_demand_hour_jun,peak_demand_reading_type_jun,energy_output_mwh_jun,peak_demand_mw_jul,peak_demand_date_jul,peak_demand_hour_jul,peak_demand_reading_type_jul,energy_output_mwh_jul,peak_demand_mw_aug,peak_demand_date_aug,peak_demand_hour_aug,peak_demand_reading_type_aug,energy_output_mwh_aug,peak_demand_mw_sep,peak_demand_date_sep,peak_demand_hour_sep,peak_demand_reading_type_sep,energy_output_mwh_sep,peak_demand_mw_oct,peak_demand_date_oct,peak_demand_hour_oct,peak_demand_reading_type_oct,energy_output_mwh_oct,peak_demand_mw_nov,peak_demand_date_nov,peak_demand_hour_nov,peak_demand_reading_type_nov,energy_output_mwh_nov,peak_demand_mw_dec,peak_demand_date_dec,peak_demand_hour_dec,peak_demand_reading_type_dec,energy_output_mwh_dec,peak_demand_mw_annual,energy_output_mwh_annual
2006,rusborrowerid,borrowername,year,period,peakdemandjan,datetimejan,hourjan,typeofreadingjan,energyoutputjan,peakdemandfeb,datetimefeb,hourfeb,typeofreadingfeb,energyoutputfeb,peakdemandmar,datetimemar,hourmar,typeofreadingmar,energyoutputmar,peakdemandapr,datetimeapr,hourapr,typeofreadingapr,energyoutputapr,peakdemandmay,datetimemay,hourmay,typeofreadingmay,energyoutputmay,peakdemandjun,datetimejun,hourjun,typeofreadingjun,energyoutputjun,peakdemandjul,datetimejul,hourjul,typeofreadingjul,energyoutputjul,peakdemandaug,datetimeaug,houraug,typeofreadingaug,energyoutputaug,peakdemandsep,datetimesep,hoursep,typeofreadingsep,energyoutputsep,peakdemandoct,datetimeoct,houroct,typeofreadingoct,energyoutputoct,peakdemandnov,datetimenov,hournov,typeofreadingnov,energyoutputnov,peakdemanddec,datetimedec,hourdec,typeofreadingdec,energyoutputdec,annualpeak,annualtotal
2007,rusborrowerid,borrowername,year,period,peakdemandjan,datetimejan,hourjan,typeofreadingjan,energyoutputjan,peakdemandfeb,datetimefeb,hourfeb,typeofreadingfeb,energyoutputfeb,peakdemandmar,datetimemar,hourmar,typeofreadingmar,energyoutputmar,peakdemandapr,datetimeapr,hourapr,typeofreadingapr,energyoutputapr,peakdemandmay,datetimemay,hourmay,typeofreadingmay,energyoutputmay,peakdemandjun,datetimejun,hourjun,typeofreadingjun,energyoutputjun,peakdemandjul,datetimejul,hourjul,typeofreadingjul,energyoutputjul,peakdemandaug,datetimeaug,houraug,typeofreadingaug,energyoutputaug,peakdemandsep,datetimesep,hoursep,typeofreadingsep,energyoutputsep,peakdemandoct,datetimeoct,houroct,typeofreadingoct,energyoutputoct,peakdemandnov,datetimenov,hournov,typeofreadingnov,energyoutputnov,peakdemanddec,datetimedec,hourdec,typeofreadingdec,energyoutputdec,annualpeak,annualtotal
2008,rusborrowerid,borrowername,year,period,peakdemandjan,datetimejan,hourjan,typeofreadingjan,energyoutputjan,peakdemandfeb,datetimefeb,hourfeb,typeofreadingfeb,energyoutputfeb,peakdemandmar,datetimemar,hourmar,typeofreadingmar,energyoutputmar,peakdemandapr,datetimeapr,hourapr,typeofreadingapr,energyoutputapr,peakdemandmay,datetimemay,hourmay,typeofreadingmay,energyoutputmay,peakdemandjun,datetimejun,hourjun,typeofreadingjun,energyoutputjun,peakdemandjul,datetimejul,hourjul,typeofreadingjul,energyoutputjul,peakdemandaug,datetimeaug,houraug,typeofreadingaug,energyoutputaug,peakdemandsep,datetimesep,hoursep,typeofreadingsep,energyoutputsep,peakdemandoct,datetimeoct,houroct,typeofreadingoct,energyoutputoct,peakdemandnov,datetimenov,hournov,typeofreadingnov,energyoutputnov,peakdemanddec,datetimedec,hourdec,typeofreadingdec,energyoutputdec,annualpeak,annualtotal
2009,rusborrowerid,borrowername,year,period,peakdemandjan,datetimejan,hourjan,typeofreadingjan,energyoutputjan,peakdemandfeb,datetimefeb,hourfeb,typeofreadingfeb,energyoutputfeb,peakdemandmar,datetimemar,hourmar,typeofreadingmar,energyoutputmar,peakdemandapr,datetimeapr,hourapr,typeofreadingapr,energyoutputapr,peakdemandmay,datetimemay,hourmay,typeofreadingmay,energyoutputmay,peakdemandjun,datetimejun,hourjun,typeofreadingjun,energyoutputjun,peakdemandjul,datetimejul,hourjul,typeofreadingjul,energyoutputjul,peakdemandaug,datetimeaug,houraug,typeofreadingaug,energyoutputaug,peakdemandsep,datetimesep,hoursep,typeofreadingsep,energyoutputsep,peakdemandoct,datetimeoct,houroct,typeofreadingoct,energyoutputoct,peakdemandnov,datetimenov,hournov,typeofreadingnov,energyoutputnov,peakdemanddec,datetimedec,hourdec,typeofreadingdec,energyoutputdec,annualpeak,annualtotal
2010,rusborrowerid,borrowername,year,period,peakdemandjan,datetimejan,hourjan,typeofreadingjan,energyoutputjan,peakdemandfeb,datetimefeb,hourfeb,typeofreadingfeb,energyoutputfeb,peakdemandmar,datetimemar,hourmar,typeofreadingmar,energyoutputmar,peakdemandapr,datetimeapr,hourapr,typeofreadingapr,energyoutputapr,peakdemandmay,datetimemay,hourmay,typeofreadingmay,energyoutputmay,peakdemandjun,datetimejun,hourjun,typeofreadingjun,energyoutputjun,peakdemandjul,datetimejul,hourjul,typeofreadingjul,energyoutputjul,peakdemandaug,datetimeaug,houraug,typeofreadingaug,energyoutputaug,peakdemandsep,datetimesep,hoursep,typeofreadingsep,energyoutputsep,peakdemandoct,datetimeoct,houroct,typeofreadingoct,energyoutputoct,peakdemandnov,datetimenov,hournov,typeofreadingnov,energyoutputnov,peakdemanddec,datetimedec,hourdec,typeofreadingdec,energyoutputdec,annualpeak,annualtotal
2011,rusborrowerid,borrowername,year,period,peakdemandjan,datetimejan,hourjan,typeofreadingjan,energyoutputjan,peakdemandfeb,datetimefeb,hourfeb,typeofreadingfeb,energyoutputfeb,peakdemandmar,datetimemar,hourmar,typeofreadingmar,energyoutputmar,peakdemandapr,datetimeapr,hourapr,typeofreadingapr,energyoutputapr,peakdemandmay,datetimemay,hourmay,typeofreadingmay,energyoutputmay,peakdemandjun,datetimejun,hourjun,typeofreadingjun,energyoutputjun,peakdemandjul,datetimejul,hourjul,typeofreadingjul,energyoutputjul,peakdemandaug,datetimeaug,houraug,typeofreadingaug,energyoutputaug,peakdemandsep,datetimesep,hoursep,typeofreadingsep,energyoutputsep,peakdemandoct,datetimeoct,houroct,typeofreadingoct,energyoutputoct,peakdemandnov,datetimenov,hournov,typeofreadingnov,energyoutputnov,peakdemanddec,datetimedec,hourdec,typeofreadingdec,energyoutputdec,annualpeak,annualtotal
2012,rusborrowerid,borrowername,year,period,peakdemandjan,datetimejan,hourjan,typeofreadingjan,energyoutputjan,peakdemandfeb,datetimefeb,hourfeb,typeofreadingfeb,energyoutputfeb,peakdemandmar,datetimemar,hourmar,typeofreadingmar,energyoutputmar,peakdemandapr,datetimeapr,hourapr,typeofreadingapr,energyoutputapr,peakdemandmay,datetimemay,hourmay,typeofreadingmay,energyoutputmay,peakdemandjun,datetimejun,hourjun,typeofreadingjun,energyoutputjun,peakdemandjul,datetimejul,hourjul,typeofreadingjul,energyoutputjul,peakdemandaug,datetimeaug,houraug,typeofreadingaug,energyoutputaug,peakdemandsep,datetimesep,hoursep,typeofreadingsep,energyoutputsep,peakdemandoct,datetimeoct,houroct,typeofreadingoct,energyoutputoct,peakdemandnov,datetimenov,hournov,typeofreadingnov,energyoutputnov,peakdemanddec,datetimedec,hourdec,typeofreadingdec,energyoutputdec,annualpeak,annualtotal
2013,rusborrowerid,borrowername,year,period,peakdemandjan,datetimejan,hourjan,typeofreadingjan,energyoutputjan,peakdemandfeb,datetimefeb,hourfeb,typeofreadingfeb,energyoutputfeb,peakdemandmar,datetimemar,hourmar,typeofreadingmar,energyoutputmar,peakdemandapr,datetimeapr,hourapr,typeofreadingapr,energyoutputapr,peakdemandmay,datetimemay,hourmay,typeofreadingmay,energyoutputmay,peakdemandjun,datetimejun,hourjun,typeofreadingjun,energyoutputjun,peakdemandjul,datetimejul,hourjul,typeofreadingjul,energyoutputjul,peakdemandaug,datetimeaug,houraug,typeofreadingaug,energyoutputaug,peakdemandsep,datetimesep,hoursep,typeofreadingsep,energyoutputsep,peakdemandoct,datetimeoct,houroct,typeofreadingoct,energyoutputoct,peakdemandnov,datetimenov,hournov,typeofreadingnov,energyoutputnov,peakdemanddec,datetimedec,hourdec,typeofreadingdec,energyoutputdec,annualpeak,annualtotal
2014,rusborrowerid,borrowername,year,period,peakdemandjan,datetimejan,hourjan,typeofreadingjan,energyoutputjan,peakdemandfeb,datetimefeb,hourfeb,typeofreadingfeb,energyoutputfeb,peakdemandmar,datetimemar,hourmar,typeofreadingmar,energyoutputmar,peakdemandapr,datetimeapr,hourapr,typeofreadingapr,energyoutputapr,peakdemandmay,datetimemay,hourmay,typeofreadingmay,energyoutputmay,peakdemandjun,datetimejun,hourjun,typeofreadingjun,energyoutputjun,peakdemandjul,datetimejul,hourjul,typeofreadingjul,energyoutputjul,peakdemandaug,datetimeaug,houraug,typeofreadingaug,energyoutputaug,peakdemandsep,datetimesep,hoursep,typeofreadingsep,energyoutputsep,peakdemandoct,datetimeoct,houroct,typeofreadingoct,energyoutputoct,peakdemandnov,datetimenov,hournov,typeofreadingnov,energyoutputnov,peakdemanddec,datetimedec,hourdec,typeofreadingdec,energyoutputdec,annualpeak,annualtotal
2015,rusborrowerid,borrowername,year,period,peakdemandjan,datetimejan,hourjan,typeofreadingjan,energyoutputjan,peakdemandfeb,datetimefeb,hourfeb,typeofreadingfeb,energyoutputfeb,peakdemandmar,datetimemar,hourmar,typeofreadingmar,energyoutputmar,peakdemandapr,datetimeapr,hourapr,typeofreadingapr,energyoutputapr,peakdemandmay,datetimemay,hourmay,typeofreadingmay,energyoutputmay,peakdemandjun,datetimejun,hourjun,typeofreadingjun,energyoutputjun,peakdemandjul,datetimejul,hourjul,typeofreadingjul,energyoutputjul,peakdemandaug,datetimeaug,houraug,typeofreadingaug,energyoutputaug,peakdemandsep,datetimesep,hoursep,typeofreadingsep,energyoutputsep,peakdemandoct,datetimeoct,houroct,typeofreadingoct,energyoutputoct,peakdemandnov,datetimenov,hournov,typeofreadingnov,energyoutputnov,peakdemanddec,datetimedec,hourdec,typeofreadingdec,energyoutputdec,annualpeak,annualtotal
2016,rusborrowerid,borrowername,year,period,peakdemandjan,datetimejan,hourjan,typeofreadingjan,energyoutputjan,peakdemandfeb,datetimefeb,hourfeb,typeofreadingfeb,energyoutputfeb,peakdemandmar,datetimemar,hourmar,typeofreadingmar,energyoutputmar,peakdemandapr,datetimeapr,hourapr,typeofreadingapr,energyoutputapr,peakdemandmay,datetimemay,hourmay,typeofreadingmay,energyoutputmay,peakdemandjun,datetimejun,hourjun,typeofreadingjun,energyoutputjun,peakdemandjul,datetimejul,hourjul,typeofreadingjul,energyoutputjul,peakdemandaug,datetimeaug,houraug,typeofreadingaug,energyoutputaug,peakdemandsep,datetimesep,hoursep,typeofreadingsep,energyoutputsep,peakdemandoct,datetimeoct,houroct,typeofreadingoct,energyoutputoct,peakdemandnov,datetimenov,hournov,typeofreadingnov,energyoutputnov,peakdemanddec,datetimedec,hourdec,typeofreadingdec,energyoutputdec,annualpeak,annualtotal
2017,rusborrowerid,borrowername,year,period,peakdemandjan,datetimejan,hourjan,typeofreadingjan,energyoutputjan,peakdemandfeb,datetimefeb,hourfeb,typeofreadingfeb,energyoutputfeb,peakdemandmar,datetimemar,hourmar,typeofreadingmar,energyoutputmar,peakdemandapr,datetimeapr,hourapr,typeofreadingapr,energyoutputapr,peakdemandmay,datetimemay,hourmay,typeofreadingmay,energyoutputmay,peakdemandjun,datetimejun,hourjun,typeofreadingjun,energyoutputjun,peakdemandjul,datetimejul,hourjul,typeofreadingjul,energyoutputjul,peakdemandaug,datetimeaug,houraug,typeofreadingaug,energyoutputaug,peakdemandsep,datetimesep,hoursep,typeofreadingsep,energyoutputsep,peakdemandoct,datetimeoct,houroct,typeofreadingoct,energyoutputoct,peakdemandnov,datetimenov,hournov,typeofreadingnov,energyoutputnov,peakdemanddec,datetimedec,hourdec,typeofreadingdec,energyoutputdec,annualpeak,annualtotal
2018,rusborrowerid,borrowername,year,period,peakdemandjan,datetimejan,hourjan,typeofreadingjan,energyoutputjan,peakdemandfeb,datetimefeb,hourfeb,typeofreadingfeb,energyoutputfeb,peakdemandmar,datetimemar,hourmar,typeofreadingmar,energyoutputmar,peakdemandapr,datetimeapr,hourapr,typeofreadingapr,energyoutputapr,peakdemandmay,datetimemay,hourmay,typeofreadingmay,energyoutputmay,peakdemandjun,datetimejun,hourjun,typeofreadingjun,energyoutputjun,peakdemandjul,datetimejul,hourjul,typeofreadingjul,energyoutputjul,peakdemandaug,datetimeaug,houraug,typeofreadingaug,energyoutputaug,peakdemandsep,datetimesep,hoursep,typeofreadingsep,energyoutputsep,peakdemandoct,datetimeoct,houroct,typeofreadingoct,energyoutputoct,peakdemandnov,datetimenov,hournov,typeofreadingnov,energyoutputnov,peakdemanddec,datetimedec,hourdec,typeofreadingdec,energyoutputdec,annualpeak,annualtotal
2019,rusborrowerid,borrowername,year,period,peakdemandjan,datetimejan,hourjan,typeofreadingjan,energyoutputjan,peakdemandfeb,datetimefeb,hourfeb,typeofreadingfeb,energyoutputfeb,peakdemandmar,datetimemar,hourmar,typeofreadingmar,energyoutputmar,peakdemandapr,datetimeapr,hourapr,typeofreadingapr,energyoutputapr,peakdemandmay,datetimemay,hourmay,typeofreadingmay,energyoutputmay,peakdemandjun,datetimejun,hourjun,typeofreadingjun,energyoutputjun,peakdemandjul,datetimejul,hourjul,typeofreadingjul,energyoutputjul,peakdemandaug,datetimeaug,houraug,typeofreadingaug,energyoutputaug,peakdemandsep,datetimesep,hoursep,typeofreadingsep,energyoutputsep,peakdemandoct,datetimeoct,houroct,typeofreadingoct,energyoutputoct,peakdemandnov,datetimenov,hournov,typeofreadingnov,energyoutputnov,peakdemanddec,datetimedec,hourdec,typeofreadingdec,energyoutputdec,annualpeak,annualtotal
2020,rusborrowerid,borrowername,year,period,peakdemandjan,datetimejan,hourjan,typeofreadingjan,energyoutputjan,peakdemandfeb,datetimefeb,hourfeb,typeofreadingfeb,energyoutputfeb,peakdemandmar,datetimemar,hourmar,typeofreadingmar,energyoutputmar,peakdemandapr,datetimeapr,hourapr,typeofreadingapr,energyoutputapr,peakdemandmay,datetimemay,hourmay,typeofreadingmay,energyoutputmay,peakdemandjun,datetimejun,hourjun,typeofreadingjun,energyoutputjun,peakdemandjul,datetimejul,hourjul,typeofreadingjul,energyoutputjul,peakdemandaug,datetimeaug,houraug,typeofreadingaug,energyoutputaug,peakdemandsep,datetimesep,hoursep,typeofreadingsep,energyoutputsep,peakdemandoct,datetimeoct,houroct,typeofreadingoct,energyoutputoct,peakdemandnov,datetimenov,hournov,typeofreadingnov,energyoutputnov,peakdemanddec,datetimedec,hourdec,typeofreadingdec,energyoutputdec,annualpeak,annualtotal
2021,rusborrowerid,borrowername,year,period,peakdemandjan,datetimejan,hourjan,typeofreadingjan,energyoutputjan,peakdemandfeb,datetimefeb,hourfeb,typeofreadingfeb,energyoutputfeb,peakdemandmar,datetimemar,hourmar,typeofreadingmar,energyoutputmar,peakdemandapr,datetimeapr,hourapr,typeofreadingapr,energyoutputapr,peakdemandmay,datetimemay,hourmay,typeofreadingmay,energyoutputmay,peakdemandjun,datetimejun,hourjun,typeofreadingjun,energyoutputjun,peakdemandjul,datetimejul,hourjul,typeofreadingjul,energyoutputjul,peakdemandaug,datetimeaug,houraug,typeofreadingaug,energyoutputaug,peakdemandsep,datetimesep,hoursep,typeofreadingsep,energyoutputsep,peakdemandoct,datetimeoct,houroct,typeofreadingoct,energyoutputoct,peakdemandnov,datetimenov,hournov,typeofreadingnov,energyoutputnov,peakdemanddec,datetimedec,hourdec,typeofreadingdec,energyoutputdec,annualpeak,annualtotal
