year_index,borrower_id_rus,borrower_name_rus,report_year,report_month,peak_demand_mw_jan,monthly_peak_date_jan,monthly_peak_hour_jan,monthly_peak_reading_type_jan,monthly_energy_output_mwh_jan,peak_demand_mw_feb,monthly_peak_date_feb,monthly_peak_hour_feb,monthly_peak_reading_type_feb,monthly_energy_output_mwh_feb,peak_demand_mw_mar,monthly_peak_date_mar,monthly_peak_hour_mar,monthly_peak_reading_type_mar,monthly_energy_output_mwh_mar,peak_demand_mw_apr,monthly_peak_date_apr,monthly_peak_hour_apr,monthly_peak_reading_type_apr,monthly_energy_output_mwh_apr,peak_demand_mw_may,monthly_peak_date_may,monthly_peak_hour_may,monthly_peak_reading_type_may,monthly_energy_output_mwh_may,peak_demand_mw_jun,monthly_peak_date_jun,monthly_peak_hour_jun,monthly_peak_reading_type_jun,monthly_energy_output_mwh_jun,peak_demand_mw_jul,monthly_peak_date_jul,monthly_peak_hour_jul,monthly_peak_reading_type_jul,monthly_energy_output_mwh_jul,peak_demand_mw_aug,monthly_peak_date_aug,monthly_peak_hour_aug,monthly_peak_reading_type_aug,monthly_energy_output_mwh_aug,peak_demand_mw_sep,monthly_peak_date_sep,monthly_peak_hour_sep,monthly_peak_reading_type_sep,monthly_energy_output_mwh_sep,peak_demand_mw_oct,monthly_peak_date_oct,monthly_peak_hour_oct,monthly_peak_reading_type_oct,monthly_energy_output_mwh_oct,peak_demand_mw_nov,monthly_peak_date_nov,monthly_peak_hour_nov,monthly_peak_reading_type_nov,monthly_energy_output_mwh_nov,peak_demand_mw_dec,monthly_peak_date_dec,monthly_peak_hour_dec,monthly_peak_reading_type_dec,monthly_energy_output_mwh_dec,annual_peak_demand_mw,annual_energy_output_mwh
2006,rusborrowerid,borrowername,year,period,peakdemandjan,datetimejan,hourjan,typeofreadingjan,energyoutputjan,peakdemandfeb,datetimefeb,hourfeb,typeofreadingfeb,energyoutputfeb,peakdemandmar,datetimemar,hourmar,typeofreadingmar,energyoutputmar,peakdemandapr,datetimeapr,hourapr,typeofreadingapr,energyoutputapr,peakdemandmay,datetimemay,hourmay,typeofreadingmay,energyoutputmay,peakdemandjun,datetimejun,hourjun,typeofreadingjun,energyoutputjun,peakdemandjul,datetimejul,hourjul,typeofreadingjul,energyoutputjul,peakdemandaug,datetimeaug,houraug,typeofreadingaug,energyoutputaug,peakdemandsep,datetimesep,hoursep,typeofreadingsep,energyoutputsep,peakdemandoct,datetimeoct,houroct,typeofreadingoct,energyoutputoct,peakdemandnov,datetimenov,hournov,typeofreadingnov,energyoutputnov,peakdemanddec,datetimedec,hourdec,typeofreadingdec,energyoutputdec,annualpeak,annualtotal
2007,rusborrowerid,borrowername,year,period,peakdemandjan,datetimejan,hourjan,typeofreadingjan,energyoutputjan,peakdemandfeb,datetimefeb,hourfeb,typeofreadingfeb,energyoutputfeb,peakdemandmar,datetimemar,hourmar,typeofreadingmar,energyoutputmar,peakdemandapr,datetimeapr,hourapr,typeofreadingapr,energyoutputapr,peakdemandmay,datetimemay,hourmay,typeofreadingmay,energyoutputmay,peakdemandjun,datetimejun,hourjun,typeofreadingjun,energyoutputjun,peakdemandjul,datetimejul,hourjul,typeofreadingjul,energyoutputjul,peakdemandaug,datetimeaug,houraug,typeofreadingaug,energyoutputaug,peakdemandsep,datetimesep,hoursep,typeofreadingsep,energyoutputsep,peakdemandoct,datetimeoct,houroct,typeofreadingoct,energyoutputoct,peakdemandnov,datetimenov,hournov,typeofreadingnov,energyoutputnov,peakdemanddec,datetimedec,hourdec,typeofreadingdec,energyoutputdec,annualpeak,annualtotal
2008,rusborrowerid,borrowername,year,period,peakdemandjan,datetimejan,hourjan,typeofreadingjan,energyoutputjan,peakdemandfeb,datetimefeb,hourfeb,typeofreadingfeb,energyoutputfeb,peakdemandmar,datetimemar,hourmar,typeofreadingmar,energyoutputmar,peakdemandapr,datetimeapr,hourapr,typeofreadingapr,energyoutputapr,peakdemandmay,datetimemay,hourmay,typeofreadingmay,energyoutputmay,peakdemandjun,datetimejun,hourjun,typeofreadingjun,energyoutputjun,peakdemandjul,datetimejul,hourjul,typeofreadingjul,energyoutputjul,peakdemandaug,datetimeaug,houraug,typeofreadingaug,energyoutputaug,peakdemandsep,datetimesep,hoursep,typeofreadingsep,energyoutputsep,peakdemandoct,datetimeoct,houroct,typeofreadingoct,energyoutputoct,peakdemandnov,datetimenov,hournov,typeofreadingnov,energyoutputnov,peakdemanddec,datetimedec,hourdec,typeofreadingdec,energyoutputdec,annualpeak,annualtotal
2009,rusborrowerid,borrowername,year,period,peakdemandjan,datetimejan,hourjan,typeofreadingjan,energyoutputjan,peakdemandfeb,datetimefeb,hourfeb,typeofreadingfeb,energyoutputfeb,peakdemandmar,datetimemar,hourmar,typeofreadingmar,energyoutputmar,peakdemandapr,datetimeapr,hourapr,typeofreadingapr,energyoutputapr,peakdemandmay,datetimemay,hourmay,typeofreadingmay,energyoutputmay,peakdemandjun,datetimejun,hourjun,typeofreadingjun,energyoutputjun,peakdemandjul,datetimejul,hourjul,typeofreadingjul,energyoutputjul,peakdemandaug,datetimeaug,houraug,typeofreadingaug,energyoutputaug,peakdemandsep,datetimesep,hoursep,typeofreadingsep,energyoutputsep,peakdemandoct,datetimeoct,houroct,typeofreadingoct,energyoutputoct,peakdemandnov,datetimenov,hournov,typeofreadingnov,energyoutputnov,peakdemanddec,datetimedec,hourdec,typeofreadingdec,energyoutputdec,annualpeak,annualtotal
2010,rusborrowerid,borrowername,year,period,peakdemandjan,datetimejan,hourjan,typeofreadingjan,energyoutputjan,peakdemandfeb,datetimefeb,hourfeb,typeofreadingfeb,energyoutputfeb,peakdemandmar,datetimemar,hourmar,typeofreadingmar,energyoutputmar,peakdemandapr,datetimeapr,hourapr,typeofreadingapr,energyoutputapr,peakdemandmay,datetimemay,hourmay,typeofreadingmay,energyoutputmay,peakdemandjun,datetimejun,hourjun,typeofreadingjun,energyoutputjun,peakdemandjul,datetimejul,hourjul,typeofreadingjul,energyoutputjul,peakdemandaug,datetimeaug,houraug,typeofreadingaug,energyoutputaug,peakdemandsep,datetimesep,hoursep,typeofreadingsep,energyoutputsep,peakdemandoct,datetimeoct,houroct,typeofreadingoct,energyoutputoct,peakdemandnov,datetimenov,hournov,typeofreadingnov,energyoutputnov,peakdemanddec,datetimedec,hourdec,typeofreadingdec,energyoutputdec,annualpeak,annualtotal
2011,rusborrowerid,borrowername,year,period,peakdemandjan,datetimejan,hourjan,typeofreadingjan,energyoutputjan,peakdemandfeb,datetimefeb,hourfeb,typeofreadingfeb,energyoutputfeb,peakdemandmar,datetimemar,hourmar,typeofreadingmar,energyoutputmar,peakdemandapr,datetimeapr,hourapr,typeofreadingapr,energyoutputapr,peakdemandmay,datetimemay,hourmay,typeofreadingmay,energyoutputmay,peakdemandjun,datetimejun,hourjun,typeofreadingjun,energyoutputjun,peakdemandjul,datetimejul,hourjul,typeofreadingjul,energyoutputjul,peakdemandaug,datetimeaug,houraug,typeofreadingaug,energyoutputaug,peakdemandsep,datetimesep,hoursep,typeofreadingsep,energyoutputsep,peakdemandoct,datetimeoct,houroct,typeofreadingoct,energyoutputoct,peakdemandnov,datetimenov,hournov,typeofreadingnov,energyoutputnov,peakdemanddec,datetimedec,hourdec,typeofreadingdec,energyoutputdec,annualpeak,annualtotal
2012,rusborrowerid,borrowername,year,period,peakdemandjan,datetimejan,hourjan,typeofreadingjan,energyoutputjan,peakdemandfeb,datetimefeb,hourfeb,typeofreadingfeb,energyoutputfeb,peakdemandmar,datetimemar,hourmar,typeofreadingmar,energyoutputmar,peakdemandapr,datetimeapr,hourapr,typeofreadingapr,energyoutputapr,peakdemandmay,datetimemay,hourmay,typeofreadingmay,energyoutputmay,peakdemandjun,datetimejun,hourjun,typeofreadingjun,energyoutputjun,peakdemandjul,datetimejul,hourjul,typeofreadingjul,energyoutputjul,peakdemandaug,datetimeaug,houraug,typeofreadingaug,energyoutputaug,peakdemandsep,datetimesep,hoursep,typeofreadingsep,energyoutputsep,peakdemandoct,datetimeoct,houroct,typeofreadingoct,energyoutputoct,peakdemandnov,datetimenov,hournov,typeofreadingnov,energyoutputnov,peakdemanddec,datetimedec,hourdec,typeofreadingdec,energyoutputdec,annualpeak,annualtotal
2013,rusborrowerid,borrowername,year,period,peakdemandjan,datetimejan,hourjan,typeofreadingjan,energyoutputjan,peakdemandfeb,datetimefeb,hourfeb,typeofreadingfeb,energyoutputfeb,peakdemandmar,datetimemar,hourmar,typeofreadingmar,energyoutputmar,peakdemandapr,datetimeapr,hourapr,typeofreadingapr,energyoutputapr,peakdemandmay,datetimemay,hourmay,typeofreadingmay,energyoutputmay,peakdemandjun,datetimejun,hourjun,typeofreadingjun,energyoutputjun,peakdemandjul,datetimejul,hourjul,typeofreadingjul,energyoutputjul,peakdemandaug,datetimeaug,houraug,typeofreadingaug,energyoutputaug,peakdemandsep,datetimesep,hoursep,typeofreadingsep,energyoutputsep,peakdemandoct,datetimeoct,houroct,typeofreadingoct,energyoutputoct,peakdemandnov,datetimenov,hournov,typeofreadingnov,energyoutputnov,peakdemanddec,datetimedec,hourdec,typeofreadingdec,energyoutputdec,annualpeak,annualtotal
2014,rusborrowerid,borrowername,year,period,peakdemandjan,datetimejan,hourjan,typeofreadingjan,energyoutputjan,peakdemandfeb,datetimefeb,hourfeb,typeofreadingfeb,energyoutputfeb,peakdemandmar,datetimemar,hourmar,typeofreadingmar,energyoutputmar,peakdemandapr,datetimeapr,hourapr,typeofreadingapr,energyoutputapr,peakdemandmay,datetimemay,hourmay,typeofreadingmay,energyoutputmay,peakdemandjun,datetimejun,hourjun,typeofreadingjun,energyoutputjun,peakdemandjul,datetimejul,hourjul,typeofreadingjul,energyoutputjul,peakdemandaug,datetimeaug,houraug,typeofreadingaug,energyoutputaug,peakdemandsep,datetimesep,hoursep,typeofreadingsep,energyoutputsep,peakdemandoct,datetimeoct,houroct,typeofreadingoct,energyoutputoct,peakdemandnov,datetimenov,hournov,typeofreadingnov,energyoutputnov,peakdemanddec,datetimedec,hourdec,typeofreadingdec,energyoutputdec,annualpeak,annualtotal
2015,rusborrowerid,borrowername,year,period,peakdemandjan,datetimejan,hourjan,typeofreadingjan,energyoutputjan,peakdemandfeb,datetimefeb,hourfeb,typeofreadingfeb,energyoutputfeb,peakdemandmar,datetimemar,hourmar,typeofreadingmar,energyoutputmar,peakdemandapr,datetimeapr,hourapr,typeofreadingapr,energyoutputapr,peakdemandmay,datetimemay,hourmay,typeofreadingmay,energyoutputmay,peakdemandjun,datetimejun,hourjun,typeofreadingjun,energyoutputjun,peakdemandjul,datetimejul,hourjul,typeofreadingjul,energyoutputjul,peakdemandaug,datetimeaug,houraug,typeofreadingaug,energyoutputaug,peakdemandsep,datetimesep,hoursep,typeofreadingsep,energyoutputsep,peakdemandoct,datetimeoct,houroct,typeofreadingoct,energyoutputoct,peakdemandnov,datetimenov,hournov,typeofreadingnov,energyoutputnov,peakdemanddec,datetimedec,hourdec,typeofreadingdec,energyoutputdec,annualpeak,annualtotal
2016,rusborrowerid,borrowername,year,period,peakdemandjan,datetimejan,hourjan,typeofreadingjan,energyoutputjan,peakdemandfeb,datetimefeb,hourfeb,typeofreadingfeb,energyoutputfeb,peakdemandmar,datetimemar,hourmar,typeofreadingmar,energyoutputmar,peakdemandapr,datetimeapr,hourapr,typeofreadingapr,energyoutputapr,peakdemandmay,datetimemay,hourmay,typeofreadingmay,energyoutputmay,peakdemandjun,datetimejun,hourjun,typeofreadingjun,energyoutputjun,peakdemandjul,datetimejul,hourjul,typeofreadingjul,energyoutputjul,peakdemandaug,datetimeaug,houraug,typeofreadingaug,energyoutputaug,peakdemandsep,datetimesep,hoursep,typeofreadingsep,energyoutputsep,peakdemandoct,datetimeoct,houroct,typeofreadingoct,energyoutputoct,peakdemandnov,datetimenov,hournov,typeofreadingnov,energyoutputnov,peakdemanddec,datetimedec,hourdec,typeofreadingdec,energyoutputdec,annualpeak,annualtotal
2017,rusborrowerid,borrowername,year,period,peakdemandjan,datetimejan,hourjan,typeofreadingjan,energyoutputjan,peakdemandfeb,datetimefeb,hourfeb,typeofreadingfeb,energyoutputfeb,peakdemandmar,datetimemar,hourmar,typeofreadingmar,energyoutputmar,peakdemandapr,datetimeapr,hourapr,typeofreadingapr,energyoutputapr,peakdemandmay,datetimemay,hourmay,typeofreadingmay,energyoutputmay,peakdemandjun,datetimejun,hourjun,typeofreadingjun,energyoutputjun,peakdemandjul,datetimejul,hourjul,typeofreadingjul,energyoutputjul,peakdemandaug,datetimeaug,houraug,typeofreadingaug,energyoutputaug,peakdemandsep,datetimesep,hoursep,typeofreadingsep,energyoutputsep,peakdemandoct,datetimeoct,houroct,typeofreadingoct,energyoutputoct,peakdemandnov,datetimenov,hournov,typeofreadingnov,energyoutputnov,peakdemanddec,datetimedec,hourdec,typeofreadingdec,energyoutputdec,annualpeak,annualtotal
2018,rusborrowerid,borrowername,year,period,peakdemandjan,datetimejan,hourjan,typeofreadingjan,energyoutputjan,peakdemandfeb,datetimefeb,hourfeb,typeofreadingfeb,energyoutputfeb,peakdemandmar,datetimemar,hourmar,typeofreadingmar,energyoutputmar,peakdemandapr,datetimeapr,hourapr,typeofreadingapr,energyoutputapr,peakdemandmay,datetimemay,hourmay,typeofreadingmay,energyoutputmay,peakdemandjun,datetimejun,hourjun,typeofreadingjun,energyoutputjun,peakdemandjul,datetimejul,hourjul,typeofreadingjul,energyoutputjul,peakdemandaug,datetimeaug,houraug,typeofreadingaug,energyoutputaug,peakdemandsep,datetimesep,hoursep,typeofreadingsep,energyoutputsep,peakdemandoct,datetimeoct,houroct,typeofreadingoct,energyoutputoct,peakdemandnov,datetimenov,hournov,typeofreadingnov,energyoutputnov,peakdemanddec,datetimedec,hourdec,typeofreadingdec,energyoutputdec,annualpeak,annualtotal
2019,rusborrowerid,borrowername,year,period,peakdemandjan,datetimejan,hourjan,typeofreadingjan,energyoutputjan,peakdemandfeb,datetimefeb,hourfeb,typeofreadingfeb,energyoutputfeb,peakdemandmar,datetimemar,hourmar,typeofreadingmar,energyoutputmar,peakdemandapr,datetimeapr,hourapr,typeofreadingapr,energyoutputapr,peakdemandmay,datetimemay,hourmay,typeofreadingmay,energyoutputmay,peakdemandjun,datetimejun,hourjun,typeofreadingjun,energyoutputjun,peakdemandjul,datetimejul,hourjul,typeofreadingjul,energyoutputjul,peakdemandaug,datetimeaug,houraug,typeofreadingaug,energyoutputaug,peakdemandsep,datetimesep,hoursep,typeofreadingsep,energyoutputsep,peakdemandoct,datetimeoct,houroct,typeofreadingoct,energyoutputoct,peakdemandnov,datetimenov,hournov,typeofreadingnov,energyoutputnov,peakdemanddec,datetimedec,hourdec,typeofreadingdec,energyoutputdec,annualpeak,annualtotal
2020,rusborrowerid,borrowername,year,period,peakdemandjan,datetimejan,hourjan,typeofreadingjan,energyoutputjan,peakdemandfeb,datetimefeb,hourfeb,typeofreadingfeb,energyoutputfeb,peakdemandmar,datetimemar,hourmar,typeofreadingmar,energyoutputmar,peakdemandapr,datetimeapr,hourapr,typeofreadingapr,energyoutputapr,peakdemandmay,datetimemay,hourmay,typeofreadingmay,energyoutputmay,peakdemandjun,datetimejun,hourjun,typeofreadingjun,energyoutputjun,peakdemandjul,datetimejul,hourjul,typeofreadingjul,energyoutputjul,peakdemandaug,datetimeaug,houraug,typeofreadingaug,energyoutputaug,peakdemandsep,datetimesep,hoursep,typeofreadingsep,energyoutputsep,peakdemandoct,datetimeoct,houroct,typeofreadingoct,energyoutputoct,peakdemandnov,datetimenov,hournov,typeofreadingnov,energyoutputnov,peakdemanddec,datetimedec,hourdec,typeofreadingdec,energyoutputdec,annualpeak,annualtotal
2021,rusborrowerid,borrowername,year,period,peakdemandjan,datetimejan,hourjan,typeofreadingjan,energyoutputjan,peakdemandfeb,datetimefeb,hourfeb,typeofreadingfeb,energyoutputfeb,peakdemandmar,datetimemar,hourmar,typeofreadingmar,energyoutputmar,peakdemandapr,datetimeapr,hourapr,typeofreadingapr,energyoutputapr,peakdemandmay,datetimemay,hourmay,typeofreadingmay,energyoutputmay,peakdemandjun,datetimejun,hourjun,typeofreadingjun,energyoutputjun,peakdemandjul,datetimejul,hourjul,typeofreadingjul,energyoutputjul,peakdemandaug,datetimeaug,houraug,typeofreadingaug,energyoutputaug,peakdemandsep,datetimesep,hoursep,typeofreadingsep,energyoutputsep,peakdemandoct,datetimeoct,houroct,typeofreadingoct,energyoutputoct,peakdemandnov,datetimenov,hournov,typeofreadingnov,energyoutputnov,peakdemanddec,datetimedec,hourdec,typeofreadingdec,energyoutputdec,annualpeak,annualtotal
