year_index,borrower_id_rus,borrower_name_rus,report_year,report_month,plant_name_rus,opex_supervision_and_engineering_cost,opex_water_for_power_cost,opex_water_for_power_cost_per_mwh,opex_energy_for_pumped_storage_cost,opex_energy_for_pumped_storage_cost_per_mwh,opex_hydraulic_cost,opex_hydraulic_cost_per_mwh,opex_electric_cost,opex_electric_cost_per_mwh,opex_miscellaneous_power_generation_cost,opex_miscellaneous_power_generation_cost_per_mwh,opex_rents_cost,opex_operations_total_cost,opex_operations_total_cost_per_mwh,opex_maintenance_supervision_and_engineering_cost,opex_maintenance_structures_cost,opex_maintenance_reservoirs_dams_waterways_cost,opex_maintenance_electric_plant_cost,opex_maintenance_miscellaneous_plant_cost,opex_maintenance_total_cost,opex_maintenance_total_cost_per_mwh,opex_total_cost,opex_total_cost_per_mwh,capex_depreciation_cost,capex_interest_cost,capex_total_fixed_cost,capex_total_fixed_cost_per_mwh,total_power_cost,total_power_cost_per_mwh
2006,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,waterforpoweramount,waterforpowernet,energyforpumpedstorageamount,energyforpumpedstoragenet,hydraulicexpenseamount,hydraulicexpensenet,electricexpenseamount,electricexpensenet,miscellaneoushydraulicpowergenerationexpenseamount,miscellaneoushydraulicpowergenerationexpensenet,rentsamount,totaloperationexpenseamount,totaloperationexpensenet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofreservoirsdamsandwaterwaysamount,maintenanceofelectricplantamount,maintenanceofmiscellaneoushydraulicplantamount,totalmaintenanceexpenseamount,totalmaintenanceexpensenet,totalproductionexpenseamount,totalproductionexpensenet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,powercostsamount,powercostsmillsnet
2007,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,waterforpoweramount,waterforpowernet,energyforpumpedstorageamount,energyforpumpedstoragenet,hydraulicexpenseamount,hydraulicexpensenet,electricexpenseamount,electricexpensenet,miscellaneoushydraulicpowergenerationexpenseamount,miscellaneoushydraulicpowergenerationexpensenet,rentsamount,totaloperationexpenseamount,totaloperationexpensenet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofreservoirsdamsandwaterwaysamount,maintenanceofelectricplantamount,maintenanceofmiscellaneoushydraulicplantamount,totalmaintenanceexpenseamount,totalmaintenanceexpensenet,totalproductionexpenseamount,totalproductionexpensenet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,powercostsamount,powercostsmillsnet
2008,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,waterforpoweramount,waterforpowernet,energyforpumpedstorageamount,energyforpumpedstoragenet,hydraulicexpenseamount,hydraulicexpensenet,electricexpenseamount,electricexpensenet,miscellaneoushydraulicpowergenerationexpenseamount,miscellaneoushydraulicpowergenerationexpensenet,rentsamount,totaloperationexpenseamount,totaloperationexpensenet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofreservoirsdamsandwaterwaysamount,maintenanceofelectricplantamount,maintenanceofmiscellaneoushydraulicplantamount,totalmaintenanceexpenseamount,totalmaintenanceexpensenet,totalproductionexpenseamount,totalproductionexpensenet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,powercostsamount,powercostsmillsnet
2009,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,waterforpoweramount,waterforpowernet,energyforpumpedstorageamount,energyforpumpedstoragenet,hydraulicexpenseamount,hydraulicexpensenet,electricexpenseamount,electricexpensenet,miscellaneoushydraulicpowergenerationexpenseamount,miscellaneoushydraulicpowergenerationexpensenet,rentsamount,totaloperationexpenseamount,totaloperationexpensenet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofreservoirsdamsandwaterwaysamount,maintenanceofelectricplantamount,maintenanceofmiscellaneoushydraulicplantamount,totalmaintenanceexpenseamount,totalmaintenanceexpensenet,totalproductionexpenseamount,totalproductionexpensenet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,powercostsamount,powercostsmillsnet
2010,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,waterforpoweramount,waterforpowernet,energyforpumpedstorageamount,energyforpumpedstoragenet,hydraulicexpenseamount,hydraulicexpensenet,electricexpenseamount,electricexpensenet,miscellaneoushydraulicpowergenerationexpenseamount,miscellaneoushydraulicpowergenerationexpensenet,rentsamount,totaloperationexpenseamount,totaloperationexpensenet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofreservoirsdamsandwaterwaysamount,maintenanceofelectricplantamount,maintenanceofmiscellaneoushydraulicplantamount,totalmaintenanceexpenseamount,totalmaintenanceexpensenet,totalproductionexpenseamount,totalproductionexpensenet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,powercostsamount,powercostsmillsnet
2011,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,waterforpoweramount,waterforpowernet,energyforpumpedstorageamount,energyforpumpedstoragenet,hydraulicexpenseamount,hydraulicexpensenet,electricexpenseamount,electricexpensenet,miscellaneoushydraulicpowergenerationexpenseamount,miscellaneoushydraulicpowergenerationexpensenet,rentsamount,totaloperationexpenseamount,totaloperationexpensenet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofreservoirsdamsandwaterwaysamount,maintenanceofelectricplantamount,maintenanceofmiscellaneoushydraulicplantamount,totalmaintenanceexpenseamount,totalmaintenanceexpensenet,totalproductionexpenseamount,totalproductionexpensenet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,powercostsamount,powercostsmillsnet
2012,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,waterforpoweramount,waterforpowernet,energyforpumpedstorageamount,energyforpumpedstoragenet,hydraulicexpenseamount,hydraulicexpensenet,electricexpenseamount,electricexpensenet,miscellaneoushydraulicpowergenerationexpenseamount,miscellaneoushydraulicpowergenerationexpensenet,rentsamount,totaloperationexpenseamount,totaloperationexpensenet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofreservoirsdamsandwaterwaysamount,maintenanceofelectricplantamount,maintenanceofmiscellaneoushydraulicplantamount,totalmaintenanceexpenseamount,totalmaintenanceexpensenet,totalproductionexpenseamount,totalproductionexpensenet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,powercostsamount,powercostsmillsnet
2013,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,waterforpoweramount,waterforpowernet,energyforpumpedstorageamount,energyforpumpedstoragenet,hydraulicexpenseamount,hydraulicexpensenet,electricexpenseamount,electricexpensenet,miscellaneoushydraulicpowergenerationexpenseamount,miscellaneoushydraulicpowergenerationexpensenet,rentsamount,totaloperationexpenseamount,totaloperationexpensenet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofreservoirsdamsandwaterwaysamount,maintenanceofelectricplantamount,maintenanceofmiscellaneoushydraulicplantamount,totalmaintenanceexpenseamount,totalmaintenanceexpensenet,totalproductionexpenseamount,totalproductionexpensenet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,powercostsamount,powercostsmillsnet
2014,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,waterforpoweramount,waterforpowernet,energyforpumpedstorageamount,energyforpumpedstoragenet,hydraulicexpenseamount,hydraulicexpensenet,electricexpenseamount,electricexpensenet,miscellaneoushydraulicpowergenerationexpenseamount,miscellaneoushydraulicpowergenerationexpensenet,rentsamount,totaloperationexpenseamount,totaloperationexpensenet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofreservoirsdamsandwaterwaysamount,maintenanceofelectricplantamount,maintenanceofmiscellaneoushydraulicplantamount,totalmaintenanceexpenseamount,totalmaintenanceexpensenet,totalproductionexpenseamount,totalproductionexpensenet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,powercostsamount,powercostsmillsnet
2015,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,waterforpoweramount,waterforpowernet,energyforpumpedstorageamount,energyforpumpedstoragenet,hydraulicexpenseamount,hydraulicexpensenet,electricexpenseamount,electricexpensenet,miscellaneoushydraulicpowergenerationexpenseamount,miscellaneoushydraulicpowergenerationexpensenet,rentsamount,totaloperationexpenseamount,totaloperationexpensenet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofreservoirsdamsandwaterwaysamount,maintenanceofelectricplantamount,maintenanceofmiscellaneoushydraulicplantamount,totalmaintenanceexpenseamount,totalmaintenanceexpensenet,totalproductionexpenseamount,totalproductionexpensenet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,powercostsamount,powercostsmillsnet
