year_index,borrower_id_rus,borrower_name_rus,report_year,report_month,employees_num,labor_operation_lines_cost,labor_operation_stations_cost,labor_maintenance_lines_cost,labor_maintenance_stations_cost,material_operation_lines_cost,material_operation_stations_cost,material_maintenance_lines_cost,material_maintenance_stations_cost
2006,rusborrowerid,borrowername,year,period,numberofemployees,operatinglaborlines,operatinglaborstations,maintenancelaborlines,maintenancelaborstations,operatingmateriallines,operatingmaterialstations,maintenancemateriallines,maintenancematerialstations
2007,rusborrowerid,borrowername,year,period,numberofemployees,operatinglaborlines,operatinglaborstations,maintenancelaborlines,maintenancelaborstations,operatingmateriallines,operatingmaterialstations,maintenancemateriallines,maintenancematerialstations
2008,rusborrowerid,borrowername,year,period,numberofemployees,operatinglaborlines,operatinglaborstations,maintenancelaborlines,maintenancelaborstations,operatingmateriallines,operatingmaterialstations,maintenancemateriallines,maintenancematerialstations
2009,rusborrowerid,borrowername,year,period,numberofemployees,operatinglaborlines,operatinglaborstations,maintenancelaborlines,maintenancelaborstations,operatingmateriallines,operatingmaterialstations,maintenancemateriallines,maintenancematerialstations
2010,rusborrowerid,borrowername,year,period,numberofemployees,operatinglaborlines,operatinglaborstations,maintenancelaborlines,maintenancelaborstations,operatingmateriallines,operatingmaterialstations,maintenancemateriallines,maintenancematerialstations
2011,rusborrowerid,borrowername,year,period,numberofemployees,operatinglaborlines,operatinglaborstations,maintenancelaborlines,maintenancelaborstations,operatingmateriallines,operatingmaterialstations,maintenancemateriallines,maintenancematerialstations
2012,rusborrowerid,borrowername,year,period,numberofemployees,operatinglaborlines,operatinglaborstations,maintenancelaborlines,maintenancelaborstations,operatingmateriallines,operatingmaterialstations,maintenancemateriallines,maintenancematerialstations
2013,rusborrowerid,borrowername,year,period,numberofemployees,operatinglaborlines,operatinglaborstations,maintenancelaborlines,maintenancelaborstations,operatingmateriallines,operatingmaterialstations,maintenancemateriallines,maintenancematerialstations
2014,rusborrowerid,borrowername,year,period,numberofemployees,operatinglaborlines,operatinglaborstations,maintenancelaborlines,maintenancelaborstations,operatingmateriallines,operatingmaterialstations,maintenancemateriallines,maintenancematerialstations
2015,rusborrowerid,borrowername,year,period,numberofemployees,operatinglaborlines,operatinglaborstations,maintenancelaborlines,maintenancelaborstations,operatingmateriallines,operatingmaterialstations,maintenancemateriallines,maintenancematerialstations
2016,rusborrowerid,borrowername,year,period,numberofemployees,operatinglaborlines,operatinglaborstations,maintenancelaborlines,maintenancelaborstations,operatingmateriallines,operatingmaterialstations,maintenancemateriallines,maintenancematerialstations
2017,rusborrowerid,borrowername,year,period,numberofemployees,operatinglaborlines,operatinglaborstations,maintenancelaborlines,maintenancelaborstations,operatingmateriallines,operatingmaterialstations,maintenancemateriallines,maintenancematerialstations
2018,rusborrowerid,borrowername,year,period,numberofemployees,operatinglaborlines,operatinglaborstations,maintenancelaborlines,maintenancelaborstations,operatingmateriallines,operatingmaterialstations,maintenancemateriallines,maintenancematerialstations
2019,rusborrowerid,borrowername,year,period,numberofemployees,operatinglaborlines,operatinglaborstations,maintenancelaborlines,maintenancelaborstations,operatingmateriallines,operatingmaterialstations,maintenancemateriallines,maintenancematerialstations
2020,rusborrowerid,borrowername,year,period,numberofemployees,operatinglaborlines,operatinglaborstations,maintenancelaborlines,maintenancelaborstations,operatingmateriallines,operatingmaterialstations,maintenancemateriallines,maintenancematerialstations
2021,rusborrowerid,borrowername,year,period,numberofemployees,operatinglaborlines,operatinglaborstations,maintenancelaborlines,maintenancelaborstations,operatingmateriallines,operatingmaterialstations,maintenancemateriallines,maintenancematerialstations
