year_index,borrower_id_rus,borrower_name_rus,report_year,report_month,plant_name_rus,opex_supervision_and_engineering_amount,opex_fuel_amount,opex_fuel_dollars_per_mwh,opex_less_fuel_acquisition_adjustment_amount,opex_less_fuel_acquisition_adjustment_dollars_per_mwh,opex_net_fuel_amount,opex_net_fuel_dollars_per_mwh,opex_coolants_and_water_amount,opex_steam_amount,opex_steam_other_sources_amount,opex_steam_other_sources_dollars_per_mwh,opex_electric_amount,opex_other_nuclear_power_amount,opex_rents_amount,opex_operations_total_amount,opex_operations_total_dollars_per_mwh,opex_maintenance_supervision_and_engineering_amount,opex_maintenance_structures_amount,opex_maintenance_reactor_plant_equipment_amount,opex_maintenance_electric_plant_amount,opex_maintenance_other_plant_amount,opex_maintenance_total_amount,opex_maintenance_total_dollars_per_mwh,opex_reactor_credits_amount,opex_total_amount,opex_total_dollars_per_mwh,capex_depreciation_amount,capex_interest_amount,capex_total_fixed_amount,capex_total_fixed_dollars_per_mwh,capex_plant_acquisition_adjustment_amount,capex_plant_acquisition_adjustment_dollars_per_mwh,total_power_cost_amount,total_power_dollars_per_mwh
2006,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fuelamount,fuelmillsnet,lessfuelacquisitionadjustmentamount,lessfuelacquisitionadjustmentmillsnet,netfuelexpenseamount,netfuelexpensemillsnet,coolantsandwateramount,steamexpensesamount,steamfromothersourcesamount,steamfromothersourcesmillsnet,electricexpensesamount,miscellaneousnuclearpowerexpenseamount,rentsamount,operationexpenseamount,operationexpensemillsnet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofreactorplantequipmentamount,maintenanceofelectricplantamount,maintenanceofmiscellaneousnuclearplantamount,maintenanceexpenseamount,maintenanceexpensemillsnet,reactorcreditsamount,totalproductionexpensesamount,totalproductionexpensesmillsnet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,lessplantacquisitionadjustmentamount,lessplantacquisitionadjustmentmillsnet,powercostsamount,powercostsmillsnet
2007,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fuelamount,fuelmillsnet,lessfuelacquisitionadjustmentamount,lessfuelacquisitionadjustmentmillsnet,netfuelexpenseamount,netfuelexpensemillsnet,coolantsandwateramount,steamexpensesamount,steamfromothersourcesamount,steamfromothersourcesmillsnet,electricexpensesamount,miscellaneousnuclearpowerexpenseamount,rentsamount,operationexpenseamount,operationexpensemillsnet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofreactorplantequipmentamount,maintenanceofelectricplantamount,maintenanceofmiscellaneousnuclearplantamount,maintenanceexpenseamount,maintenanceexpensemillsnet,reactorcreditsamount,totalproductionexpensesamount,totalproductionexpensesmillsnet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,lessplantacquisitionadjustmentamount,lessplantacquisitionadjustmentmillsnet,powercostsamount,powercostsmillsnet
2008,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fuelamount,fuelmillsnet,lessfuelacquisitionadjustmentamount,lessfuelacquisitionadjustmentmillsnet,netfuelexpenseamount,netfuelexpensemillsnet,coolantsandwateramount,steamexpensesamount,steamfromothersourcesamount,steamfromothersourcesmillsnet,electricexpensesamount,miscellaneousnuclearpowerexpenseamount,rentsamount,operationexpenseamount,operationexpensemillsnet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofreactorplantequipmentamount,maintenanceofelectricplantamount,maintenanceofmiscellaneousnuclearplantamount,maintenanceexpenseamount,maintenanceexpensemillsnet,reactorcreditsamount,totalproductionexpensesamount,totalproductionexpensesmillsnet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,lessplantacquisitionadjustmentamount,lessplantacquisitionadjustmentmillsnet,powercostsamount,powercostsmillsnet
2009,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fuelamount,fuelmillsnet,lessfuelacquisitionadjustmentamount,lessfuelacquisitionadjustmentmillsnet,netfuelexpenseamount,netfuelexpensemillsnet,coolantsandwateramount,steamexpensesamount,steamfromothersourcesamount,steamfromothersourcesmillsnet,electricexpensesamount,miscellaneousnuclearpowerexpenseamount,rentsamount,operationexpenseamount,operationexpensemillsnet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofreactorplantequipmentamount,maintenanceofelectricplantamount,maintenanceofmiscellaneousnuclearplantamount,maintenanceexpenseamount,maintenanceexpensemillsnet,reactorcreditsamount,totalproductionexpensesamount,totalproductionexpensesmillsnet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,lessplantacquisitionadjustmentamount,lessplantacquisitionadjustmentmillsnet,powercostsamount,powercostsmillsnet
2010,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fuelamount,fuelmillsnet,lessfuelacquisitionadjustmentamount,lessfuelacquisitionadjustmentmillsnet,netfuelexpenseamount,netfuelexpensemillsnet,coolantsandwateramount,steamexpensesamount,steamfromothersourcesamount,steamfromothersourcesmillsnet,electricexpensesamount,miscellaneousnuclearpowerexpenseamount,rentsamount,operationexpenseamount,operationexpensemillsnet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofreactorplantequipmentamount,maintenanceofelectricplantamount,maintenanceofmiscellaneousnuclearplantamount,maintenanceexpenseamount,maintenanceexpensemillsnet,reactorcreditsamount,totalproductionexpensesamount,totalproductionexpensesmillsnet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,lessplantacquisitionadjustmentamount,lessplantacquisitionadjustmentmillsnet,powercostsamount,powercostsmillsnet
2011,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fuelamount,fuelmillsnet,lessfuelacquisitionadjustmentamount,lessfuelacquisitionadjustmentmillsnet,netfuelexpenseamount,netfuelexpensemillsnet,coolantsandwateramount,steamexpensesamount,steamfromothersourcesamount,steamfromothersourcesmillsnet,electricexpensesamount,miscellaneousnuclearpowerexpenseamount,rentsamount,operationexpenseamount,operationexpensemillsnet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofreactorplantequipmentamount,maintenanceofelectricplantamount,maintenanceofmiscellaneousnuclearplantamount,maintenanceexpenseamount,maintenanceexpensemillsnet,reactorcreditsamount,totalproductionexpensesamount,totalproductionexpensesmillsnet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,lessplantacquisitionadjustmentamount,lessplantacquisitionadjustmentmillsnet,powercostsamount,powercostsmillsnet
2012,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fuelamount,fuelmillsnet,lessfuelacquisitionadjustmentamount,lessfuelacquisitionadjustmentmillsnet,netfuelexpenseamount,netfuelexpensemillsnet,coolantsandwateramount,steamexpensesamount,steamfromothersourcesamount,steamfromothersourcesmillsnet,electricexpensesamount,miscellaneousnuclearpowerexpenseamount,rentsamount,operationexpenseamount,operationexpensemillsnet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofreactorplantequipmentamount,maintenanceofelectricplantamount,maintenanceofmiscellaneousnuclearplantamount,maintenanceexpenseamount,maintenanceexpensemillsnet,reactorcreditsamount,totalproductionexpensesamount,totalproductionexpensesmillsnet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,lessplantacquisitionadjustmentamount,lessplantacquisitionadjustmentmillsnet,powercostsamount,powercostsmillsnet
2013,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fuelamount,fuelmillsnet,lessfuelacquisitionadjustmentamount,lessfuelacquisitionadjustmentmillsnet,netfuelexpenseamount,netfuelexpensemillsnet,coolantsandwateramount,steamexpensesamount,steamfromothersourcesamount,steamfromothersourcesmillsnet,electricexpensesamount,miscellaneousnuclearpowerexpenseamount,rentsamount,operationexpenseamount,operationexpensemillsnet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofreactorplantequipmentamount,maintenanceofelectricplantamount,maintenanceofmiscellaneousnuclearplantamount,maintenanceexpenseamount,maintenanceexpensemillsnet,reactorcreditsamount,totalproductionexpensesamount,totalproductionexpensesmillsnet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,lessplantacquisitionadjustmentamount,lessplantacquisitionadjustmentmillsnet,powercostsamount,powercostsmillsnet
2014,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fuelamount,fuelmillsnet,lessfuelacquisitionadjustmentamount,lessfuelacquisitionadjustmentmillsnet,netfuelexpenseamount,netfuelexpensemillsnet,coolantsandwateramount,steamexpensesamount,steamfromothersourcesamount,steamfromothersourcesmillsnet,electricexpensesamount,miscellaneousnuclearpowerexpenseamount,rentsamount,operationexpenseamount,operationexpensemillsnet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofreactorplantequipmentamount,maintenanceofelectricplantamount,maintenanceofmiscellaneousnuclearplantamount,maintenanceexpenseamount,maintenanceexpensemillsnet,reactorcreditsamount,totalproductionexpensesamount,totalproductionexpensesmillsnet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,lessplantacquisitionadjustmentamount,lessplantacquisitionadjustmentmillsnet,powercostsamount,powercostsmillsnet
2015,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fuelamount,fuelmillsnet,lessfuelacquisitionadjustmentamount,lessfuelacquisitionadjustmentmillsnet,netfuelexpenseamount,netfuelexpensemillsnet,coolantsandwateramount,steamexpensesamount,steamfromothersourcesamount,steamfromothersourcesmillsnet,electricexpensesamount,miscellaneousnuclearpowerexpenseamount,rentsamount,operationexpenseamount,operationexpensemillsnet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofreactorplantequipmentamount,maintenanceofelectricplantamount,maintenanceofmiscellaneousnuclearplantamount,maintenanceexpenseamount,maintenanceexpensemillsnet,reactorcreditsamount,totalproductionexpensesamount,totalproductionexpensesmillsnet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,lessplantacquisitionadjustmentamount,lessplantacquisitionadjustmentmillsnet,powercostsamount,powercostsmillsnet
