year_index,borrower_id_rus,borrower_name_rus,report_year,report_month,fossil_steam_plants_num,fossil_steam_capacity_kw,fossil_steam_net_energy_mwh,fossil_steam_cost,nuclear_plants_num,nuclear_capacity_kw,nuclear_net_energy_mwh,nuclear_cost,hydro_plants_num,hydro_capacity_kw,hydro_net_energy_mwh,hydro_cost,combined_cycle_plants_num,combined_cycle_capacity_kw,combined_cycle_net_energy_mwh,combined_cycle_cost,internal_combustion_plants_num,internal_combustion_capacity_kw,internal_combustion_net_energy_mwh,internal_combustion_cost,other_plants_num,other_capacity_kw,other_net_energy_mwh,other_cost,total_plant_num,total_plant_capacity_kw,total_plant_mwh,total_plant_cost,purchased_power_mwh,purchased_power_cost,received_into_system_gross_mwh,received_into_system_gross_cost,delivered_out_of_system_gross_mwh,delivered_out_of_system_gross_cost,net_interchange_mwh,net_interchange_cost,received_into_system_wheeling_mwh,received_into_system_wheeling_cost,delivered_out_of_system_wheeling_mwh,delivered_out_of_system_wheeling_cost,net_energy_wheeled_mwh,net_energy_wheeled_cost,energy_available_for_sale_mwh,total_sales_mwh,energy_furnished_without_charge_mwh,energy_used_by_borrower_mwh,total_energy_accounted_mwh,total_energy_losses_mwh,total_energy_losses_pct
2006,rusborrowerid,borrowername,year,period,fossilsteamplants,fossilsteamcapacity,fossilsteamnetenergy,fossilsteamcost,nuclearplants,nuclearcapacity,nuclearnetenergy,nuclearcost,hydroplants,hydrocapacity,hydronetenergy,hydrocost,ccplants,cccapacity,ccnetenergy,cccost,icplants,iccapacity,icnetenergy,iccost,otherplants,othercapacity,othernetenergy,othercost,totalplants,totalcapacity,totalnetenergy,totalcost,totalpurchasedpowernetenergy,totalpurchasedpowercost,receivedintosystemgrossnetenergy,receivedintosystemgrosscost,deliveredoutofsystemgrossnetenergy,deliveredoutofsystemgrosscost,netinterchangenetenergy,netinterchangecost,receivedintosystemnetenergy,receivedintosystemcost,deliveredoutofsystemnetenergy,deliveredoutofsystemcost,netenergywheelednetenergy,netenergywheeledcost,totalenergyavailableforsalenetenergy,totalsalesnetenergy,energyfurnishednetenergy,energyusednetenergy,totalenergyaccountednetenergy,energylossesmwhnetenergy,energylossespercentagenetenergy
2007,rusborrowerid,borrowername,year,period,fossilsteamplants,fossilsteamcapacity,fossilsteamnetenergy,fossilsteamcost,nuclearplants,nuclearcapacity,nuclearnetenergy,nuclearcost,hydroplants,hydrocapacity,hydronetenergy,hydrocost,ccplants,cccapacity,ccnetenergy,cccost,icplants,iccapacity,icnetenergy,iccost,otherplants,othercapacity,othernetenergy,othercost,totalplants,totalcapacity,totalnetenergy,totalcost,totalpurchasedpowernetenergy,totalpurchasedpowercost,receivedintosystemgrossnetenergy,receivedintosystemgrosscost,deliveredoutofsystemgrossnetenergy,deliveredoutofsystemgrosscost,netinterchangenetenergy,netinterchangecost,receivedintosystemnetenergy,receivedintosystemcost,deliveredoutofsystemnetenergy,deliveredoutofsystemcost,netenergywheelednetenergy,netenergywheeledcost,totalenergyavailableforsalenetenergy,totalsalesnetenergy,energyfurnishednetenergy,energyusednetenergy,totalenergyaccountednetenergy,energylossesmwhnetenergy,energylossespercentagenetenergy
2008,rusborrowerid,borrowername,year,period,fossilsteamplants,fossilsteamcapacity,fossilsteamnetenergy,fossilsteamcost,nuclearplants,nuclearcapacity,nuclearnetenergy,nuclearcost,hydroplants,hydrocapacity,hydronetenergy,hydrocost,ccplants,cccapacity,ccnetenergy,cccost,icplants,iccapacity,icnetenergy,iccost,otherplants,othercapacity,othernetenergy,othercost,totalplants,totalcapacity,totalnetenergy,totalcost,totalpurchasedpowernetenergy,totalpurchasedpowercost,receivedintosystemgrossnetenergy,receivedintosystemgrosscost,deliveredoutofsystemgrossnetenergy,deliveredoutofsystemgrosscost,netinterchangenetenergy,netinterchangecost,receivedintosystemnetenergy,receivedintosystemcost,deliveredoutofsystemnetenergy,deliveredoutofsystemcost,netenergywheelednetenergy,netenergywheeledcost,totalenergyavailableforsalenetenergy,totalsalesnetenergy,energyfurnishednetenergy,energyusednetenergy,totalenergyaccountednetenergy,energylossesmwhnetenergy,energylossespercentagenetenergy
2009,rusborrowerid,borrowername,year,period,fossilsteamplants,fossilsteamcapacity,fossilsteamnetenergy,fossilsteamcost,nuclearplants,nuclearcapacity,nuclearnetenergy,nuclearcost,hydroplants,hydrocapacity,hydronetenergy,hydrocost,ccplants,cccapacity,ccnetenergy,cccost,icplants,iccapacity,icnetenergy,iccost,otherplants,othercapacity,othernetenergy,othercost,totalplants,totalcapacity,totalnetenergy,totalcost,totalpurchasedpowernetenergy,totalpurchasedpowercost,receivedintosystemgrossnetenergy,receivedintosystemgrosscost,deliveredoutofsystemgrossnetenergy,deliveredoutofsystemgrosscost,netinterchangenetenergy,netinterchangecost,receivedintosystemnetenergy,receivedintosystemcost,deliveredoutofsystemnetenergy,deliveredoutofsystemcost,netenergywheelednetenergy,netenergywheeledcost,totalenergyavailableforsalenetenergy,totalsalesnetenergy,energyfurnishednetenergy,energyusednetenergy,totalenergyaccountednetenergy,energylossesmwhnetenergy,energylossespercentagenetenergy
2010,rusborrowerid,borrowername,year,period,fossilsteamplants,fossilsteamcapacity,fossilsteamnetenergy,fossilsteamcost,nuclearplants,nuclearcapacity,nuclearnetenergy,nuclearcost,hydroplants,hydrocapacity,hydronetenergy,hydrocost,ccplants,cccapacity,ccnetenergy,cccost,icplants,iccapacity,icnetenergy,iccost,otherplants,othercapacity,othernetenergy,othercost,totalplants,totalcapacity,totalnetenergy,totalcost,totalpurchasedpowernetenergy,totalpurchasedpowercost,receivedintosystemgrossnetenergy,receivedintosystemgrosscost,deliveredoutofsystemgrossnetenergy,deliveredoutofsystemgrosscost,netinterchangenetenergy,netinterchangecost,receivedintosystemnetenergy,receivedintosystemcost,deliveredoutofsystemnetenergy,deliveredoutofsystemcost,netenergywheelednetenergy,netenergywheeledcost,totalenergyavailableforsalenetenergy,totalsalesnetenergy,energyfurnishednetenergy,energyusednetenergy,totalenergyaccountednetenergy,energylossesmwhnetenergy,energylossespercentagenetenergy
2011,rusborrowerid,borrowername,year,period,fossilsteamplants,fossilsteamcapacity,fossilsteamnetenergy,fossilsteamcost,nuclearplants,nuclearcapacity,nuclearnetenergy,nuclearcost,hydroplants,hydrocapacity,hydronetenergy,hydrocost,ccplants,cccapacity,ccnetenergy,cccost,icplants,iccapacity,icnetenergy,iccost,otherplants,othercapacity,othernetenergy,othercost,totalplants,totalcapacity,totalnetenergy,totalcost,totalpurchasedpowernetenergy,totalpurchasedpowercost,receivedintosystemgrossnetenergy,receivedintosystemgrosscost,deliveredoutofsystemgrossnetenergy,deliveredoutofsystemgrosscost,netinterchangenetenergy,netinterchangecost,receivedintosystemnetenergy,receivedintosystemcost,deliveredoutofsystemnetenergy,deliveredoutofsystemcost,netenergywheelednetenergy,netenergywheeledcost,totalenergyavailableforsalenetenergy,totalsalesnetenergy,energyfurnishednetenergy,energyusednetenergy,totalenergyaccountednetenergy,energylossesmwhnetenergy,energylossespercentagenetenergy
2012,rusborrowerid,borrowername,year,period,fossilsteamplants,fossilsteamcapacity,fossilsteamnetenergy,fossilsteamcost,nuclearplants,nuclearcapacity,nuclearnetenergy,nuclearcost,hydroplants,hydrocapacity,hydronetenergy,hydrocost,ccplants,cccapacity,ccnetenergy,cccost,icplants,iccapacity,icnetenergy,iccost,otherplants,othercapacity,othernetenergy,othercost,totalplants,totalcapacity,totalnetenergy,totalcost,totalpurchasedpowernetenergy,totalpurchasedpowercost,receivedintosystemgrossnetenergy,receivedintosystemgrosscost,deliveredoutofsystemgrossnetenergy,deliveredoutofsystemgrosscost,netinterchangenetenergy,netinterchangecost,receivedintosystemnetenergy,receivedintosystemcost,deliveredoutofsystemnetenergy,deliveredoutofsystemcost,netenergywheelednetenergy,netenergywheeledcost,totalenergyavailableforsalenetenergy,totalsalesnetenergy,energyfurnishednetenergy,energyusednetenergy,totalenergyaccountednetenergy,energylossesmwhnetenergy,energylossespercentagenetenergy
2013,rusborrowerid,borrowername,year,period,fossilsteamplants,fossilsteamcapacity,fossilsteamnetenergy,fossilsteamcost,nuclearplants,nuclearcapacity,nuclearnetenergy,nuclearcost,hydroplants,hydrocapacity,hydronetenergy,hydrocost,ccplants,cccapacity,ccnetenergy,cccost,icplants,iccapacity,icnetenergy,iccost,otherplants,othercapacity,othernetenergy,othercost,totalplants,totalcapacity,totalnetenergy,totalcost,totalpurchasedpowernetenergy,totalpurchasedpowercost,receivedintosystemgrossnetenergy,receivedintosystemgrosscost,deliveredoutofsystemgrossnetenergy,deliveredoutofsystemgrosscost,netinterchangenetenergy,netinterchangecost,receivedintosystemnetenergy,receivedintosystemcost,deliveredoutofsystemnetenergy,deliveredoutofsystemcost,netenergywheelednetenergy,netenergywheeledcost,totalenergyavailableforsalenetenergy,totalsalesnetenergy,energyfurnishednetenergy,energyusednetenergy,totalenergyaccountednetenergy,energylossesmwhnetenergy,energylossespercentagenetenergy
2014,rusborrowerid,borrowername,year,period,fossilsteamplants,fossilsteamcapacity,fossilsteamnetenergy,fossilsteamcost,nuclearplants,nuclearcapacity,nuclearnetenergy,nuclearcost,hydroplants,hydrocapacity,hydronetenergy,hydrocost,ccplants,cccapacity,ccnetenergy,cccost,icplants,iccapacity,icnetenergy,iccost,otherplants,othercapacity,othernetenergy,othercost,totalplants,totalcapacity,totalnetenergy,totalcost,totalpurchasedpowernetenergy,totalpurchasedpowercost,receivedintosystemgrossnetenergy,receivedintosystemgrosscost,deliveredoutofsystemgrossnetenergy,deliveredoutofsystemgrosscost,netinterchangenetenergy,netinterchangecost,receivedintosystemnetenergy,receivedintosystemcost,deliveredoutofsystemnetenergy,deliveredoutofsystemcost,netenergywheelednetenergy,netenergywheeledcost,totalenergyavailableforsalenetenergy,totalsalesnetenergy,energyfurnishednetenergy,energyusednetenergy,totalenergyaccountednetenergy,energylossesmwhnetenergy,energylossespercentagenetenergy
2015,rusborrowerid,borrowername,year,period,fossilsteamplants,fossilsteamcapacity,fossilsteamnetenergy,fossilsteamcost,nuclearplants,nuclearcapacity,nuclearnetenergy,nuclearcost,hydroplants,hydrocapacity,hydronetenergy,hydrocost,ccplants,cccapacity,ccnetenergy,cccost,icplants,iccapacity,icnetenergy,iccost,otherplants,othercapacity,othernetenergy,othercost,totalplants,totalcapacity,totalnetenergy,totalcost,totalpurchasedpowernetenergy,totalpurchasedpowercost,receivedintosystemgrossnetenergy,receivedintosystemgrosscost,deliveredoutofsystemgrossnetenergy,deliveredoutofsystemgrosscost,netinterchangenetenergy,netinterchangecost,receivedintosystemnetenergy,receivedintosystemcost,deliveredoutofsystemnetenergy,deliveredoutofsystemcost,netenergywheelednetenergy,netenergywheeledcost,totalenergyavailableforsalenetenergy,totalsalesnetenergy,energyfurnishednetenergy,energyusednetenergy,totalenergyaccountednetenergy,energylossesmwhnetenergy,energylossespercentagenetenergy
