year_index,borrower_id_rus,borrower_name_rus,report_year,report_month,plant_name_rus,operation_supervision_and_engineering_cost,coal_fuel_cost,coal_fuel_cost_per_mmbtu,oil_fuel_cost,oil_fuel_cost_per_mmbtu,gas_fuel_cost,gas_fuel_cost_per_mmbtu,other_fuel_cost,other_fuel_cost_per_mmbtu,total_fuel_cost,total_fuel_mills_per_net_kwh,total_fuel_cost_per_mmbtu,steam_expenses_cost,electric_expenses_cost,other_steam_power_expense_cost,allowances_cost,rents_cost,non_fuels_subtotal_cost,non_fuels_subtotal_mills_per_net_kwh,total_operational_expenses_cost,total_operational_expenses_mills_per_net_kwh,maintenance_supervision_and_engineering,maintenance_structures_cost,maintenance_boiler_plant_cost,maintenance_electric_plant_cost,maintenance_other_plant_cost,total_maintenance_cost,total_maintenance_mills_per_net_kwh,total_production_expenses_cost,total_production_expenses_mills_per_net_kwh,depreciation_cost,interest_cost,total_fixed_cost,total_fixed_mills_per_kwh,total_power_cost,total_power_mills_per_kwh
2006,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fuelcoalamount,fuelcoalperbtu,fueloilamount,fueloilperbtu,fuelgasamount,fuelgasperbtu,fuelotheramount,fuelotherperbtu,fuelsubtotalamount,fuelsubtotalmillsnet,fuelsubtotalperbtu,steamexpensesamount,electricexpensesamount,miscellaneoussteampowerexpenseamount,allowancesamount,rentsamount,nonfuelsubtotalamount,nonfuelsubtotalmillsnet,operationexpenseamount,operationexpensemillsnet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofboilerplantamount,maintenanceofelectricplantamount,maintenanceofmiscellaneousplantamount,maintenanceexpenseamount,maintenanceexpensemillsnet,totalproductionexpensesamount,totalproductionexpensesmillsnet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,powercostsamount,powercostsmillsnet
2007,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fuelcoalamount,fuelcoalperbtu,fueloilamount,fueloilperbtu,fuelgasamount,fuelgasperbtu,fuelotheramount,fuelotherperbtu,fuelsubtotalamount,fuelsubtotalmillsnet,fuelsubtotalperbtu,steamexpensesamount,electricexpensesamount,miscellaneoussteampowerexpenseamount,allowancesamount,rentsamount,nonfuelsubtotalamount,nonfuelsubtotalmillsnet,operationexpenseamount,operationexpensemillsnet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofboilerplantamount,maintenanceofelectricplantamount,maintenanceofmiscellaneousplantamount,maintenanceexpenseamount,maintenanceexpensemillsnet,totalproductionexpensesamount,totalproductionexpensesmillsnet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,powercostsamount,powercostsmillsnet
2008,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fuelcoalamount,fuelcoalperbtu,fueloilamount,fueloilperbtu,fuelgasamount,fuelgasperbtu,fuelotheramount,fuelotherperbtu,fuelsubtotalamount,fuelsubtotalmillsnet,fuelsubtotalperbtu,steamexpensesamount,electricexpensesamount,miscellaneoussteampowerexpenseamount,allowancesamount,rentsamount,nonfuelsubtotalamount,nonfuelsubtotalmillsnet,operationexpenseamount,operationexpensemillsnet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofboilerplantamount,maintenanceofelectricplantamount,maintenanceofmiscellaneousplantamount,maintenanceexpenseamount,maintenanceexpensemillsnet,totalproductionexpensesamount,totalproductionexpensesmillsnet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,powercostsamount,powercostsmillsnet
2009,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fuelcoalamount,fuelcoalperbtu,fueloilamount,fueloilperbtu,fuelgasamount,fuelgasperbtu,fuelotheramount,fuelotherperbtu,fuelsubtotalamount,fuelsubtotalmillsnet,fuelsubtotalperbtu,steamexpensesamount,electricexpensesamount,miscellaneoussteampowerexpenseamount,allowancesamount,rentsamount,nonfuelsubtotalamount,nonfuelsubtotalmillsnet,operationexpenseamount,operationexpensemillsnet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofboilerplantamount,maintenanceofelectricplantamount,maintenanceofmiscellaneousplantamount,maintenanceexpenseamount,maintenanceexpensemillsnet,totalproductionexpensesamount,totalproductionexpensesmillsnet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,powercostsamount,powercostsmillsnet
2010,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fuelcoalamount,fuelcoalperbtu,fueloilamount,fueloilperbtu,fuelgasamount,fuelgasperbtu,fuelotheramount,fuelotherperbtu,fuelsubtotalamount,fuelsubtotalmillsnet,fuelsubtotalperbtu,steamexpensesamount,electricexpensesamount,miscellaneoussteampowerexpenseamount,allowancesamount,rentsamount,nonfuelsubtotalamount,nonfuelsubtotalmillsnet,operationexpenseamount,operationexpensemillsnet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofboilerplantamount,maintenanceofelectricplantamount,maintenanceofmiscellaneousplantamount,maintenanceexpenseamount,maintenanceexpensemillsnet,totalproductionexpensesamount,totalproductionexpensesmillsnet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,powercostsamount,powercostsmillsnet
2011,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fuelcoalamount,fuelcoalperbtu,fueloilamount,fueloilperbtu,fuelgasamount,fuelgasperbtu,fuelotheramount,fuelotherperbtu,fuelsubtotalamount,fuelsubtotalmillsnet,fuelsubtotalperbtu,steamexpensesamount,electricexpensesamount,miscellaneoussteampowerexpenseamount,allowancesamount,rentsamount,nonfuelsubtotalamount,nonfuelsubtotalmillsnet,operationexpenseamount,operationexpensemillsnet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofboilerplantamount,maintenanceofelectricplantamount,maintenanceofmiscellaneousplantamount,maintenanceexpenseamount,maintenanceexpensemillsnet,totalproductionexpensesamount,totalproductionexpensesmillsnet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,powercostsamount,powercostsmillsnet
2012,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fuelcoalamount,fuelcoalperbtu,fueloilamount,fueloilperbtu,fuelgasamount,fuelgasperbtu,fuelotheramount,fuelotherperbtu,fuelsubtotalamount,fuelsubtotalmillsnet,fuelsubtotalperbtu,steamexpensesamount,electricexpensesamount,miscellaneoussteampowerexpenseamount,allowancesamount,rentsamount,nonfuelsubtotalamount,nonfuelsubtotalmillsnet,operationexpenseamount,operationexpensemillsnet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofboilerplantamount,maintenanceofelectricplantamount,maintenanceofmiscellaneousplantamount,maintenanceexpenseamount,maintenanceexpensemillsnet,totalproductionexpensesamount,totalproductionexpensesmillsnet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,powercostsamount,powercostsmillsnet
2013,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fuelcoalamount,fuelcoalperbtu,fueloilamount,fueloilperbtu,fuelgasamount,fuelgasperbtu,fuelotheramount,fuelotherperbtu,fuelsubtotalamount,fuelsubtotalmillsnet,fuelsubtotalperbtu,steamexpensesamount,electricexpensesamount,miscellaneoussteampowerexpenseamount,allowancesamount,rentsamount,nonfuelsubtotalamount,nonfuelsubtotalmillsnet,operationexpenseamount,operationexpensemillsnet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofboilerplantamount,maintenanceofelectricplantamount,maintenanceofmiscellaneousplantamount,maintenanceexpenseamount,maintenanceexpensemillsnet,totalproductionexpensesamount,totalproductionexpensesmillsnet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,powercostsamount,powercostsmillsnet
2014,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fuelcoalamount,fuelcoalperbtu,fueloilamount,fueloilperbtu,fuelgasamount,fuelgasperbtu,fuelotheramount,fuelotherperbtu,fuelsubtotalamount,fuelsubtotalmillsnet,fuelsubtotalperbtu,steamexpensesamount,electricexpensesamount,miscellaneoussteampowerexpenseamount,allowancesamount,rentsamount,nonfuelsubtotalamount,nonfuelsubtotalmillsnet,operationexpenseamount,operationexpensemillsnet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofboilerplantamount,maintenanceofelectricplantamount,maintenanceofmiscellaneousplantamount,maintenanceexpenseamount,maintenanceexpensemillsnet,totalproductionexpensesamount,totalproductionexpensesmillsnet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,powercostsamount,powercostsmillsnet
2015,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fuelcoalamount,fuelcoalperbtu,fueloilamount,fueloilperbtu,fuelgasamount,fuelgasperbtu,fuelotheramount,fuelotherperbtu,fuelsubtotalamount,fuelsubtotalmillsnet,fuelsubtotalperbtu,steamexpensesamount,electricexpensesamount,miscellaneoussteampowerexpenseamount,allowancesamount,rentsamount,nonfuelsubtotalamount,nonfuelsubtotalmillsnet,operationexpenseamount,operationexpensemillsnet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofboilerplantamount,maintenanceofelectricplantamount,maintenanceofmiscellaneousplantamount,maintenanceexpenseamount,maintenanceexpensemillsnet,totalproductionexpensesamount,totalproductionexpensesmillsnet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,powercostsamount,powercostsmillsnet
