year_index,borrower_id_rus,borrower_name_rus,report_year,report_month,plant_name_rus,unit_id_rus,is_full_ownership_portion,is_partly_owned_by_borrower,borrower_ownership_pct,times_started,fuel_consumption_coal_1000_lbs,fuel_consumption_oil_1000_gals,fuel_consumption_gas_1000_cubic_feet,fuel_consumption_other,operating_hours_in_service,operating_hours_on_standby,operating_hours_out_of_service_scheduled,operating_hours_out_of_service_unscheduled,capacity_kw,gross_generation_mwh
2006,rusborrowerid,borrowername,year,period,plantname,unitnumber,fullownershipscope,,,timesstarted,fuelconsumptioncoal,fuelconsumptionoil,fuelconsumptiongas,fuelconsumptionother,operatinghoursinservice,operatinghoursonstandby,operatinghoursoutofservicescheduled,operatinghoursoutofserviceunscheduled,size,grossgeneration
2007,rusborrowerid,borrowername,year,period,plantname,unitnumber,fullownershipscope,,,timesstarted,fuelconsumptioncoal,fuelconsumptionoil,fuelconsumptiongas,fuelconsumptionother,operatinghoursinservice,operatinghoursonstandby,operatinghoursoutofservicescheduled,operatinghoursoutofserviceunscheduled,size,grossgeneration
2008,rusborrowerid,borrowername,year,period,plantname,unitnumber,fullownershipscope,,,timesstarted,fuelconsumptioncoal,fuelconsumptionoil,fuelconsumptiongas,fuelconsumptionother,operatinghoursinservice,operatinghoursonstandby,operatinghoursoutofservicescheduled,operatinghoursoutofserviceunscheduled,size,grossgeneration
2009,rusborrowerid,borrowername,year,period,plantname,unitnumber,fullownershipscope,borrowershared,borrowerpercentage,timesstarted,fuelconsumptioncoal,fuelconsumptionoil,fuelconsumptiongas,fuelconsumptionother,operatinghoursinservice,operatinghoursonstandby,operatinghoursoutofservicescheduled,operatinghoursoutofserviceunscheduled,size,grossgeneration
2010,rusborrowerid,borrowername,year,period,plantname,unitnumber,fullownershipscope,borrowershared,borrowerpercentage,timesstarted,fuelconsumptioncoal,fuelconsumptionoil,fuelconsumptiongas,fuelconsumptionother,operatinghoursinservice,operatinghoursonstandby,operatinghoursoutofservicescheduled,operatinghoursoutofserviceunscheduled,size,grossgeneration
2011,rusborrowerid,borrowername,year,period,plantname,unitnumber,fullownershipscope,borrowershared,borrowerpercentage,timesstarted,fuelconsumptioncoal,fuelconsumptionoil,fuelconsumptiongas,fuelconsumptionother,operatinghoursinservice,operatinghoursonstandby,operatinghoursoutofservicescheduled,operatinghoursoutofserviceunscheduled,size,grossgeneration
2012,rusborrowerid,borrowername,year,period,plantname,unitnumber,fullownershipscope,borrowershared,borrowerpercentage,timesstarted,fuelconsumptioncoal,fuelconsumptionoil,fuelconsumptiongas,fuelconsumptionother,operatinghoursinservice,operatinghoursonstandby,operatinghoursoutofservicescheduled,operatinghoursoutofserviceunscheduled,size,grossgeneration
2013,rusborrowerid,borrowername,year,period,plantname,unitnumber,fullownershipscope,borrowershared,borrowerpercentage,timesstarted,fuelconsumptioncoal,fuelconsumptionoil,fuelconsumptiongas,fuelconsumptionother,operatinghoursinservice,operatinghoursonstandby,operatinghoursoutofservicescheduled,operatinghoursoutofserviceunscheduled,size,grossgeneration
2014,rusborrowerid,borrowername,year,period,plantname,unitnumber,fullownershipscope,borrowershared,borrowerpercentage,timesstarted,fuelconsumptioncoal,fuelconsumptionoil,fuelconsumptiongas,fuelconsumptionother,operatinghoursinservice,operatinghoursonstandby,operatinghoursoutofservicescheduled,operatinghoursoutofserviceunscheduled,size,grossgeneration
2015,rusborrowerid,borrowername,year,period,plantname,unitnumber,fullownershipscope,borrowershared,borrowerpercentage,timesstarted,fuelconsumptioncoal,fuelconsumptionoil,fuelconsumptiongas,fuelconsumptionother,operatinghoursinservice,operatinghoursonstandby,operatinghoursoutofservicescheduled,operatinghoursoutofserviceunscheduled,size,grossgeneration
2016,rusborrowerid,borrowername,year,period,plantname,unitnumber,fullownershipscope,borrowershared,borrowerpercentage,timesstarted,fuelconsumptioncoal,fuelconsumptionoil,fuelconsumptiongas,fuelconsumptionother,operatinghoursinservice,operatinghoursonstandby,operatinghoursoutofservicescheduled,operatinghoursoutofserviceunscheduled,size,grossgeneration
2017,rusborrowerid,borrowername,year,period,plantname,unitnumber,fullownershipscope,borrowershared,borrowerpercentage,timesstarted,fuelconsumptioncoal,fuelconsumptionoil,fuelconsumptiongas,fuelconsumptionother,operatinghoursinservice,operatinghoursonstandby,operatinghoursoutofservicescheduled,operatinghoursoutofserviceunscheduled,size,grossgeneration
2018,rusborrowerid,borrowername,year,period,plantname,unitnumber,fullownershipscope,borrowershared,borrowerpercentage,timesstarted,fuelconsumptioncoal,fuelconsumptionoil,fuelconsumptiongas,fuelconsumptionother,operatinghoursinservice,operatinghoursonstandby,operatinghoursoutofservicescheduled,operatinghoursoutofserviceunscheduled,size,grossgeneration
2019,rusborrowerid,borrowername,year,period,plantname,unitnumber,fullownershipscope,borrowershared,borrowerpercentage,timesstarted,fuelconsumptioncoal,fuelconsumptionoil,fuelconsumptiongas,fuelconsumptionother,operatinghoursinservice,operatinghoursonstandby,operatinghoursoutofservicescheduled,operatinghoursoutofserviceunscheduled,size,grossgeneration
2020,rusborrowerid,borrowername,year,period,plantname,unitnumber,fullownershipscope,borrowershared,borrowerpercentage,timesstarted,fuelconsumptioncoal,fuelconsumptionoil,fuelconsumptiongas,fuelconsumptionother,operatinghoursinservice,operatinghoursonstandby,operatinghoursoutofservicescheduled,operatinghoursoutofserviceunscheduled,size,grossgeneration
2021,rusborrowerid,borrowername,year,period,plantname,unitnumber,fullownershipscope,borrowershared,borrowerpercentage,timesstarted,fuelconsumptioncoal,fuelconsumptionoil,fuelconsumptiongas,fuelconsumptionother,operatinghoursinservice,operatinghoursonstandby,operatinghoursoutofservicescheduled,operatinghoursoutofserviceunscheduled,size,grossgeneration
