year_index,borrower_id_rus,borrower_name,report_year,report_month,employees_fte_num,employee_hours_worked_regular_time,employee_hours_worked_over_time,payroll_expensed,payroll_capitalized,payroll_other
2006,rusborrowerid,borrowername,year,period,numberoffulltimeemployees,employeehoursworkedregulartime,employeehoursworkedovertime,payrollexpensed,payrollcapitalized,payrollother
2007,rusborrowerid,borrowername,year,period,numberoffulltimeemployees,employeehoursworkedregulartime,employeehoursworkedovertime,payrollexpensed,payrollcapitalized,payrollother
2008,rusborrowerid,borrowername,year,period,numberoffulltimeemployees,employeehoursworkedregulartime,employeehoursworkedovertime,payrollexpensed,payrollcapitalized,payrollother
2009,rusborrowerid,borrowername,year,period,numberoffulltimeemployees,employeehoursworkedregulartime,employeehoursworkedovertime,payrollexpensed,payrollcapitalized,payrollother
2010,rusborrowerid,borrowername,year,period,numberoffulltimeemployees,employeehoursworkedregulartime,employeehoursworkedovertime,payrollexpensed,payrollcapitalized,payrollother
2011,rusborrowerid,borrowername,year,period,numberoffulltimeemployees,employeehoursworkedregulartime,employeehoursworkedovertime,payrollexpensed,payrollcapitalized,payrollother
2012,rusborrowerid,borrowername,year,period,numberoffulltimeemployees,employeehoursworkedregulartime,employeehoursworkedovertime,payrollexpensed,payrollcapitalized,payrollother
2013,rusborrowerid,borrowername,year,period,numberoffulltimeemployees,employeehoursworkedregulartime,employeehoursworkedovertime,payrollexpensed,payrollcapitalized,payrollother
2014,rusborrowerid,borrowername,year,period,numberoffulltimeemployees,employeehoursworkedregulartime,employeehoursworkedovertime,payrollexpensed,payrollcapitalized,payrollother
2015,rusborrowerid,borrowername,year,period,numberoffulltimeemployees,employeehoursworkedregulartime,employeehoursworkedovertime,payrollexpensed,payrollcapitalized,payrollother
2016,rusborrowerid,borrowername,year,period,numberoffulltimeemployees,employeehoursworkedregulartime,employeehoursworkedovertime,payrollexpensed,payrollcapitalized,payrollother
2017,rusborrowerid,borrowername,year,period,numberoffulltimeemployees,employeehoursworkedregulartime,employeehoursworkedovertime,payrollexpensed,payrollcapitalized,payrollother
2018,rusborrowerid,borrowername,year,period,numberoffulltimeemployees,employeehoursworkedregulartime,employeehoursworkedovertime,payrollexpensed,payrollcapitalized,payrollother
2019,rusborrowerid,borrowername,year,period,numberoffulltimeemployees,employeehoursworkedregulartime,employeehoursworkedovertime,payrollexpensed,payrollcapitalized,payrollother
2020,rusborrowerid,borrowername,year,period,numberoffulltimeemployees,employeehoursworkedregulartime,employeehoursworkedovertime,payrollexpensed,payrollcapitalized,payrollother
2021,rusborrowerid,borrowername,year,period,numberoffulltimeemployees,employeehoursworkedregulartime,employeehoursworkedovertime,payrollexpensed,payrollcapitalized,payrollother
