year_index,borrower_id_rus,borrower_name_rus,report_year,report_month,customers_num_residential_excluding_seasonal_new_in_report_year,invested_residential_excluding_seasonal_new_in_report_year,savings_mmbtu_residential_excluding_seasonal_new_in_report_year,customers_num_residential_excluding_seasonal_cumulative,invested_residential_excluding_seasonal_cumulative,savings_mmbtu_residential_excluding_seasonal_cumulative,customers_num_residential_seasonal_new_in_report_year,invested_residential_seasonal_new_in_report_year,savings_mmbtu_residential_seasonal_new_in_report_year,customers_num_residential_seasonal_cumulative,invested_residential_seasonal_cumulative,savings_mmbtu_residential_seasonal_cumulative,customers_num_irrigation_new_in_report_year,invested_irrigation_new_in_report_year,savings_mmbtu_irrigation_new_in_report_year,customers_num_irrigation_cumulative,invested_irrigation_cumulative,savings_mmbtu_irrigation_cumulative,customers_num_commercial_and_industrial_small_new_in_report_year,invested_commercial_and_industrial_small_new_in_report_year,savings_mmbtu_commercial_and_industrial_small_new_in_report_year,customers_num_commercial_and_industrial_small_cumulative,invested_commercial_and_industrial_small_cumulative,savings_mmbtu_commercial_and_industrial_small_cumulative,customers_num_commercial_and_industrial_large_new_in_report_year,invested_commercial_and_industrial_large_new_in_report_year,savings_mmbtu_commercial_and_industrial_large_new_in_report_year,customers_num_commercial_and_industrial_large_cumulative,invested_commercial_and_industrial_large_cumulative,savings_mmbtu_commercial_and_industrial_large_cumulative,customers_num_public_street_lighting_new_in_report_year,invested_public_street_lighting_new_in_report_year,savings_mmbtu_public_street_lighting_new_in_report_year,customers_num_public_street_lighting_cumulative,invested_public_street_lighting_cumulative,savings_mmbtu_public_street_lighting_cumulative,customers_num_public_other_new_in_report_year,invested_public_other_new_in_report_year,savings_mmbtu_public_other_new_in_report_year,customers_num_public_other_cumulative,invested_public_other_cumulative,savings_mmbtu_public_other_cumulative,customers_num_sales_for_resale_rus_borrowers_new_in_report_year,invested_sales_for_resale_rus_borrowers_new_in_report_year,savings_mmbtu_sales_for_resale_rus_borrowers_new_in_report_year,customers_num_sales_for_resale_rus_borrowers_cumulative,invested_sales_for_resale_rus_borrowers_cumulative,savings_mmbtu_sales_for_resale_rus_borrowers_cumulative,customers_num_sales_for_resale_other_new_in_report_year,invested_sales_for_resale_other_new_in_report_year,savings_mmbtu_sales_for_resale_other_new_in_report_year,customers_num_sales_for_resale_other_cumulative,invested_sales_for_resale_other_cumulative,savings_mmbtu_sales_for_resale_other_cumulative,customers_num_total_new_in_report_year,invested_total_new_in_report_year,savings_mmbtu_total_new_in_report_year,customers_num_total_cumulative,invested_total_cumulative,savings_mmbtu_total_cumulative
2010,rusborrowerid,borrowername,year,period,residentialsalesnoofconsumersthisyear,residentialsalesamountinvestedthisyear,residentialsalesestimatedenergysavingsthisyear,residentialsalesnoofconsumersyearend,residentialsalesamountinvestedyearend,residentialsalesestimatedenergysavingsyearend,residentialsalesseasonalnoofconsumersthisyear,residentialsalesseasonalamountinvestedthisyear,residentialsalesseasonalestimatedenergysavingsthisyear,residentialsalesseasonalnoofconsumersyearend,residentialsalesseasonalamountinvestedyearend,residentialsalesseasonalestimatedenergysavingsyearend,irrigationsalesnoofconsumersthisyear,irrigationsalesamountinvestedthisyear,irrigationsalesestimatedenergysavingsthisyear,irrigationsalesnoofconsumersyearend,irrigationsalesamountinvestedyearend,irrigationsalesestimatedenergysavingsyearend,commercialandindustriallessnoofconsumersthisyear,commercialandindustriallessamountinvestedthisyear,commercialandindustriallessestimatedenergysavingsthisyear,commercialandindustriallessnoofconsumersyearend,commercialandindustriallessamountinvestedyearend,commercialandindustriallessestimatedenergysavingsyearend,commercialandindustrialnoofconsumersthisyear,commercialandindustrialamountinvestedthisyear,commercialandindustrialestimatedenergysavingsthisyear,commercialandindustrialnoofconsumersyearend,commercialandindustrialamountinvestedyearend,commercialandindustrialestimatedenergysavingsyearend,publicstreetandhighwaylightingnoofconsumersthisyear,publicstreetandhighwaylightingamountinvestedthisyear,publicstreetandhighwaylightingestimatedenergysavingsthisyear,publicstreetandhighwaylightingnoofconsumersyearend,publicstreetandhighwaylightingamountinvestedyearend,publicstreetandhighwaylightingestimatedenergysavingsyearend,othersalestopublicauthoritiesnoofconsumersthisyear,othersalestopublicauthoritiesamountinvestedthisyear,othersalestopublicauthoritiesestimatedenergysavingsthisyear,othersalestopublicauthoritiesnoofconsumersyearend,othersalestopublicauthoritiesamountinvestedyearend,othersalestopublicauthoritiesestimatedenergysavingsyearend,salesforresalerusborrowersnoofconsumersthisyear,salesforresalerusborrowersamountinvestedthisyear,salesforresalerusborrowersestimatedenergysavingsthisyear,salesforresalerusborrowersnoofconsumersyearend,salesforresalerusborrowersamountinvestedyearend,salesforresalerusborrowersestimatedenergysavingsyearend,salesforresaleothernoofconsumersthisyear,salesforresaleotheramountinvestedthisyear,salesforresaleotherestimatedenergysavingsthisyear,salesforresaleothernoofconsumersyearend,salesforresaleotheramountinvestedyearend,salesforresaleotherestimatedenergysavingsyearend,totalnoofconsumersthisyear,totalamountinvestedthisyear,totalestimatedenergysavingsthisyear,totalnoofconsumersyearend,totalamountinvestedyearend,totalestimatedenergysavingsyearend
2011,rusborrowerid,borrowername,year,period,residentialsalesnoofconsumersthisyear,residentialsalesamountinvestedthisyear,residentialsalesestimatedenergysavingsthisyear,residentialsalesnoofconsumersyearend,residentialsalesamountinvestedyearend,residentialsalesestimatedenergysavingsyearend,residentialsalesseasonalnoofconsumersthisyear,residentialsalesseasonalamountinvestedthisyear,residentialsalesseasonalestimatedenergysavingsthisyear,residentialsalesseasonalnoofconsumersyearend,residentialsalesseasonalamountinvestedyearend,residentialsalesseasonalestimatedenergysavingsyearend,irrigationsalesnoofconsumersthisyear,irrigationsalesamountinvestedthisyear,irrigationsalesestimatedenergysavingsthisyear,irrigationsalesnoofconsumersyearend,irrigationsalesamountinvestedyearend,irrigationsalesestimatedenergysavingsyearend,commercialandindustriallessnoofconsumersthisyear,commercialandindustriallessamountinvestedthisyear,commercialandindustriallessestimatedenergysavingsthisyear,commercialandindustriallessnoofconsumersyearend,commercialandindustriallessamountinvestedyearend,commercialandindustriallessestimatedenergysavingsyearend,commercialandindustrialnoofconsumersthisyear,commercialandindustrialamountinvestedthisyear,commercialandindustrialestimatedenergysavingsthisyear,commercialandindustrialnoofconsumersyearend,commercialandindustrialamountinvestedyearend,commercialandindustrialestimatedenergysavingsyearend,publicstreetandhighwaylightingnoofconsumersthisyear,publicstreetandhighwaylightingamountinvestedthisyear,publicstreetandhighwaylightingestimatedenergysavingsthisyear,publicstreetandhighwaylightingnoofconsumersyearend,publicstreetandhighwaylightingamountinvestedyearend,publicstreetandhighwaylightingestimatedenergysavingsyearend,othersalestopublicauthoritiesnoofconsumersthisyear,othersalestopublicauthoritiesamountinvestedthisyear,othersalestopublicauthoritiesestimatedenergysavingsthisyear,othersalestopublicauthoritiesnoofconsumersyearend,othersalestopublicauthoritiesamountinvestedyearend,othersalestopublicauthoritiesestimatedenergysavingsyearend,salesforresalerusborrowersnoofconsumersthisyear,salesforresalerusborrowersamountinvestedthisyear,salesforresalerusborrowersestimatedenergysavingsthisyear,salesforresalerusborrowersnoofconsumersyearend,salesforresalerusborrowersamountinvestedyearend,salesforresalerusborrowersestimatedenergysavingsyearend,salesforresaleothernoofconsumersthisyear,salesforresaleotheramountinvestedthisyear,salesforresaleotherestimatedenergysavingsthisyear,salesforresaleothernoofconsumersyearend,salesforresaleotheramountinvestedyearend,salesforresaleotherestimatedenergysavingsyearend,totalnoofconsumersthisyear,totalamountinvestedthisyear,totalestimatedenergysavingsthisyear,totalnoofconsumersyearend,totalamountinvestedyearend,totalestimatedenergysavingsyearend
2012,rusborrowerid,borrowername,year,period,residentialsalesnoofconsumersthisyear,residentialsalesamountinvestedthisyear,residentialsalesestimatedenergysavingsthisyear,residentialsalesnoofconsumersyearend,residentialsalesamountinvestedyearend,residentialsalesestimatedenergysavingsyearend,residentialsalesseasonalnoofconsumersthisyear,residentialsalesseasonalamountinvestedthisyear,residentialsalesseasonalestimatedenergysavingsthisyear,residentialsalesseasonalnoofconsumersyearend,residentialsalesseasonalamountinvestedyearend,residentialsalesseasonalestimatedenergysavingsyearend,irrigationsalesnoofconsumersthisyear,irrigationsalesamountinvestedthisyear,irrigationsalesestimatedenergysavingsthisyear,irrigationsalesnoofconsumersyearend,irrigationsalesamountinvestedyearend,irrigationsalesestimatedenergysavingsyearend,commercialandindustriallessnoofconsumersthisyear,commercialandindustriallessamountinvestedthisyear,commercialandindustriallessestimatedenergysavingsthisyear,commercialandindustriallessnoofconsumersyearend,commercialandindustriallessamountinvestedyearend,commercialandindustriallessestimatedenergysavingsyearend,commercialandindustrialnoofconsumersthisyear,commercialandindustrialamountinvestedthisyear,commercialandindustrialestimatedenergysavingsthisyear,commercialandindustrialnoofconsumersyearend,commercialandindustrialamountinvestedyearend,commercialandindustrialestimatedenergysavingsyearend,publicstreetandhighwaylightingnoofconsumersthisyear,publicstreetandhighwaylightingamountinvestedthisyear,publicstreetandhighwaylightingestimatedenergysavingsthisyear,publicstreetandhighwaylightingnoofconsumersyearend,publicstreetandhighwaylightingamountinvestedyearend,publicstreetandhighwaylightingestimatedenergysavingsyearend,othersalestopublicauthoritiesnoofconsumersthisyear,othersalestopublicauthoritiesamountinvestedthisyear,othersalestopublicauthoritiesestimatedenergysavingsthisyear,othersalestopublicauthoritiesnoofconsumersyearend,othersalestopublicauthoritiesamountinvestedyearend,othersalestopublicauthoritiesestimatedenergysavingsyearend,salesforresalerusborrowersnoofconsumersthisyear,salesforresalerusborrowersamountinvestedthisyear,salesforresalerusborrowersestimatedenergysavingsthisyear,salesforresalerusborrowersnoofconsumersyearend,salesforresalerusborrowersamountinvestedyearend,salesforresalerusborrowersestimatedenergysavingsyearend,salesforresaleothernoofconsumersthisyear,salesforresaleotheramountinvestedthisyear,salesforresaleotherestimatedenergysavingsthisyear,salesforresaleothernoofconsumersyearend,salesforresaleotheramountinvestedyearend,salesforresaleotherestimatedenergysavingsyearend,totalnoofconsumersthisyear,totalamountinvestedthisyear,totalestimatedenergysavingsthisyear,totalnoofconsumersyearend,totalamountinvestedyearend,totalestimatedenergysavingsyearend
2013,rusborrowerid,borrowername,year,period,residentialsalesnoofconsumersthisyear,residentialsalesamountinvestedthisyear,residentialsalesestimatedenergysavingsthisyear,residentialsalesnoofconsumersyearend,residentialsalesamountinvestedyearend,residentialsalesestimatedenergysavingsyearend,residentialsalesseasonalnoofconsumersthisyear,residentialsalesseasonalamountinvestedthisyear,residentialsalesseasonalestimatedenergysavingsthisyear,residentialsalesseasonalnoofconsumersyearend,residentialsalesseasonalamountinvestedyearend,residentialsalesseasonalestimatedenergysavingsyearend,irrigationsalesnoofconsumersthisyear,irrigationsalesamountinvestedthisyear,irrigationsalesestimatedenergysavingsthisyear,irrigationsalesnoofconsumersyearend,irrigationsalesamountinvestedyearend,irrigationsalesestimatedenergysavingsyearend,commercialandindustriallessnoofconsumersthisyear,commercialandindustriallessamountinvestedthisyear,commercialandindustriallessestimatedenergysavingsthisyear,commercialandindustriallessnoofconsumersyearend,commercialandindustriallessamountinvestedyearend,commercialandindustriallessestimatedenergysavingsyearend,commercialandindustrialnoofconsumersthisyear,commercialandindustrialamountinvestedthisyear,commercialandindustrialestimatedenergysavingsthisyear,commercialandindustrialnoofconsumersyearend,commercialandindustrialamountinvestedyearend,commercialandindustrialestimatedenergysavingsyearend,publicstreetandhighwaylightingnoofconsumersthisyear,publicstreetandhighwaylightingamountinvestedthisyear,publicstreetandhighwaylightingestimatedenergysavingsthisyear,publicstreetandhighwaylightingnoofconsumersyearend,publicstreetandhighwaylightingamountinvestedyearend,publicstreetandhighwaylightingestimatedenergysavingsyearend,othersalestopublicauthoritiesnoofconsumersthisyear,othersalestopublicauthoritiesamountinvestedthisyear,othersalestopublicauthoritiesestimatedenergysavingsthisyear,othersalestopublicauthoritiesnoofconsumersyearend,othersalestopublicauthoritiesamountinvestedyearend,othersalestopublicauthoritiesestimatedenergysavingsyearend,salesforresalerusborrowersnoofconsumersthisyear,salesforresalerusborrowersamountinvestedthisyear,salesforresalerusborrowersestimatedenergysavingsthisyear,salesforresalerusborrowersnoofconsumersyearend,salesforresalerusborrowersamountinvestedyearend,salesforresalerusborrowersestimatedenergysavingsyearend,salesforresaleothernoofconsumersthisyear,salesforresaleotheramountinvestedthisyear,salesforresaleotherestimatedenergysavingsthisyear,salesforresaleothernoofconsumersyearend,salesforresaleotheramountinvestedyearend,salesforresaleotherestimatedenergysavingsyearend,totalnoofconsumersthisyear,totalamountinvestedthisyear,totalestimatedenergysavingsthisyear,totalnoofconsumersyearend,totalamountinvestedyearend,totalestimatedenergysavingsyearend
2014,rusborrowerid,borrowername,year,period,residentialsalesnoofconsumersthisyear,residentialsalesamountinvestedthisyear,residentialsalesestimatedenergysavingsthisyear,residentialsalesnoofconsumersyearend,residentialsalesamountinvestedyearend,residentialsalesestimatedenergysavingsyearend,residentialsalesseasonalnoofconsumersthisyear,residentialsalesseasonalamountinvestedthisyear,residentialsalesseasonalestimatedenergysavingsthisyear,residentialsalesseasonalnoofconsumersyearend,residentialsalesseasonalamountinvestedyearend,residentialsalesseasonalestimatedenergysavingsyearend,irrigationsalesnoofconsumersthisyear,irrigationsalesamountinvestedthisyear,irrigationsalesestimatedenergysavingsthisyear,irrigationsalesnoofconsumersyearend,irrigationsalesamountinvestedyearend,irrigationsalesestimatedenergysavingsyearend,commercialandindustriallessnoofconsumersthisyear,commercialandindustriallessamountinvestedthisyear,commercialandindustriallessestimatedenergysavingsthisyear,commercialandindustriallessnoofconsumersyearend,commercialandindustriallessamountinvestedyearend,commercialandindustriallessestimatedenergysavingsyearend,commercialandindustrialnoofconsumersthisyear,commercialandindustrialamountinvestedthisyear,commercialandindustrialestimatedenergysavingsthisyear,commercialandindustrialnoofconsumersyearend,commercialandindustrialamountinvestedyearend,commercialandindustrialestimatedenergysavingsyearend,publicstreetandhighwaylightingnoofconsumersthisyear,publicstreetandhighwaylightingamountinvestedthisyear,publicstreetandhighwaylightingestimatedenergysavingsthisyear,publicstreetandhighwaylightingnoofconsumersyearend,publicstreetandhighwaylightingamountinvestedyearend,publicstreetandhighwaylightingestimatedenergysavingsyearend,othersalestopublicauthoritiesnoofconsumersthisyear,othersalestopublicauthoritiesamountinvestedthisyear,othersalestopublicauthoritiesestimatedenergysavingsthisyear,othersalestopublicauthoritiesnoofconsumersyearend,othersalestopublicauthoritiesamountinvestedyearend,othersalestopublicauthoritiesestimatedenergysavingsyearend,salesforresalerusborrowersnoofconsumersthisyear,salesforresalerusborrowersamountinvestedthisyear,salesforresalerusborrowersestimatedenergysavingsthisyear,salesforresalerusborrowersnoofconsumersyearend,salesforresalerusborrowersamountinvestedyearend,salesforresalerusborrowersestimatedenergysavingsyearend,salesforresaleothernoofconsumersthisyear,salesforresaleotheramountinvestedthisyear,salesforresaleotherestimatedenergysavingsthisyear,salesforresaleothernoofconsumersyearend,salesforresaleotheramountinvestedyearend,salesforresaleotherestimatedenergysavingsyearend,totalnoofconsumersthisyear,totalamountinvestedthisyear,totalestimatedenergysavingsthisyear,totalnoofconsumersyearend,totalamountinvestedyearend,totalestimatedenergysavingsyearend
2015,rusborrowerid,borrowername,year,period,residentialsalesnoofconsumersthisyear,residentialsalesamountinvestedthisyear,residentialsalesestimatedenergysavingsthisyear,residentialsalesnoofconsumersyearend,residentialsalesamountinvestedyearend,residentialsalesestimatedenergysavingsyearend,residentialsalesseasonalnoofconsumersthisyear,residentialsalesseasonalamountinvestedthisyear,residentialsalesseasonalestimatedenergysavingsthisyear,residentialsalesseasonalnoofconsumersyearend,residentialsalesseasonalamountinvestedyearend,residentialsalesseasonalestimatedenergysavingsyearend,irrigationsalesnoofconsumersthisyear,irrigationsalesamountinvestedthisyear,irrigationsalesestimatedenergysavingsthisyear,irrigationsalesnoofconsumersyearend,irrigationsalesamountinvestedyearend,irrigationsalesestimatedenergysavingsyearend,commercialandindustriallessnoofconsumersthisyear,commercialandindustriallessamountinvestedthisyear,commercialandindustriallessestimatedenergysavingsthisyear,commercialandindustriallessnoofconsumersyearend,commercialandindustriallessamountinvestedyearend,commercialandindustriallessestimatedenergysavingsyearend,commercialandindustrialnoofconsumersthisyear,commercialandindustrialamountinvestedthisyear,commercialandindustrialestimatedenergysavingsthisyear,commercialandindustrialnoofconsumersyearend,commercialandindustrialamountinvestedyearend,commercialandindustrialestimatedenergysavingsyearend,publicstreetandhighwaylightingnoofconsumersthisyear,publicstreetandhighwaylightingamountinvestedthisyear,publicstreetandhighwaylightingestimatedenergysavingsthisyear,publicstreetandhighwaylightingnoofconsumersyearend,publicstreetandhighwaylightingamountinvestedyearend,publicstreetandhighwaylightingestimatedenergysavingsyearend,othersalestopublicauthoritiesnoofconsumersthisyear,othersalestopublicauthoritiesamountinvestedthisyear,othersalestopublicauthoritiesestimatedenergysavingsthisyear,othersalestopublicauthoritiesnoofconsumersyearend,othersalestopublicauthoritiesamountinvestedyearend,othersalestopublicauthoritiesestimatedenergysavingsyearend,salesforresalerusborrowersnoofconsumersthisyear,salesforresalerusborrowersamountinvestedthisyear,salesforresalerusborrowersestimatedenergysavingsthisyear,salesforresalerusborrowersnoofconsumersyearend,salesforresalerusborrowersamountinvestedyearend,salesforresalerusborrowersestimatedenergysavingsyearend,salesforresaleothernoofconsumersthisyear,salesforresaleotheramountinvestedthisyear,salesforresaleotherestimatedenergysavingsthisyear,salesforresaleothernoofconsumersyearend,salesforresaleotheramountinvestedyearend,salesforresaleotherestimatedenergysavingsyearend,totalnoofconsumersthisyear,totalamountinvestedthisyear,totalestimatedenergysavingsthisyear,totalnoofconsumersyearend,totalamountinvestedyearend,totalestimatedenergysavingsyearend
2016,rusborrowerid,borrowername,year,period,residentialsalesnoofconsumersthisyear,residentialsalesamountinvestedthisyear,residentialsalesestimatedenergysavingsthisyear,residentialsalesnoofconsumersyearend,residentialsalesamountinvestedyearend,residentialsalesestimatedenergysavingsyearend,residentialsalesseasonalnoofconsumersthisyear,residentialsalesseasonalamountinvestedthisyear,residentialsalesseasonalestimatedenergysavingsthisyear,residentialsalesseasonalnoofconsumersyearend,residentialsalesseasonalamountinvestedyearend,residentialsalesseasonalestimatedenergysavingsyearend,irrigationsalesnoofconsumersthisyear,irrigationsalesamountinvestedthisyear,irrigationsalesestimatedenergysavingsthisyear,irrigationsalesnoofconsumersyearend,irrigationsalesamountinvestedyearend,irrigationsalesestimatedenergysavingsyearend,commercialandindustriallessnoofconsumersthisyear,commercialandindustriallessamountinvestedthisyear,commercialandindustriallessestimatedenergysavingsthisyear,commercialandindustriallessnoofconsumersyearend,commercialandindustriallessamountinvestedyearend,commercialandindustriallessestimatedenergysavingsyearend,commercialandindustrialnoofconsumersthisyear,commercialandindustrialamountinvestedthisyear,commercialandindustrialestimatedenergysavingsthisyear,commercialandindustrialnoofconsumersyearend,commercialandindustrialamountinvestedyearend,commercialandindustrialestimatedenergysavingsyearend,publicstreetandhighwaylightingnoofconsumersthisyear,publicstreetandhighwaylightingamountinvestedthisyear,publicstreetandhighwaylightingestimatedenergysavingsthisyear,publicstreetandhighwaylightingnoofconsumersyearend,publicstreetandhighwaylightingamountinvestedyearend,publicstreetandhighwaylightingestimatedenergysavingsyearend,othersalestopublicauthoritiesnoofconsumersthisyear,othersalestopublicauthoritiesamountinvestedthisyear,othersalestopublicauthoritiesestimatedenergysavingsthisyear,othersalestopublicauthoritiesnoofconsumersyearend,othersalestopublicauthoritiesamountinvestedyearend,othersalestopublicauthoritiesestimatedenergysavingsyearend,salesforresalerusborrowersnoofconsumersthisyear,salesforresalerusborrowersamountinvestedthisyear,salesforresalerusborrowersestimatedenergysavingsthisyear,salesforresalerusborrowersnoofconsumersyearend,salesforresalerusborrowersamountinvestedyearend,salesforresalerusborrowersestimatedenergysavingsyearend,salesforresaleothernoofconsumersthisyear,salesforresaleotheramountinvestedthisyear,salesforresaleotherestimatedenergysavingsthisyear,salesforresaleothernoofconsumersyearend,salesforresaleotheramountinvestedyearend,salesforresaleotherestimatedenergysavingsyearend,totalnoofconsumersthisyear,totalamountinvestedthisyear,totalestimatedenergysavingsthisyear,totalnoofconsumersyearend,totalamountinvestedyearend,totalestimatedenergysavingsyearend
2017,rusborrowerid,borrowername,year,period,residentialsalesnoofconsumersthisyear,residentialsalesamountinvestedthisyear,residentialsalesestimatedenergysavingsthisyear,residentialsalesnoofconsumersyearend,residentialsalesamountinvestedyearend,residentialsalesestimatedenergysavingsyearend,residentialsalesseasonalnoofconsumersthisyear,residentialsalesseasonalamountinvestedthisyear,residentialsalesseasonalestimatedenergysavingsthisyear,residentialsalesseasonalnoofconsumersyearend,residentialsalesseasonalamountinvestedyearend,residentialsalesseasonalestimatedenergysavingsyearend,irrigationsalesnoofconsumersthisyear,irrigationsalesamountinvestedthisyear,irrigationsalesestimatedenergysavingsthisyear,irrigationsalesnoofconsumersyearend,irrigationsalesamountinvestedyearend,irrigationsalesestimatedenergysavingsyearend,commercialandindustriallessnoofconsumersthisyear,commercialandindustriallessamountinvestedthisyear,commercialandindustriallessestimatedenergysavingsthisyear,commercialandindustriallessnoofconsumersyearend,commercialandindustriallessamountinvestedyearend,commercialandindustriallessestimatedenergysavingsyearend,commercialandindustrialnoofconsumersthisyear,commercialandindustrialamountinvestedthisyear,commercialandindustrialestimatedenergysavingsthisyear,commercialandindustrialnoofconsumersyearend,commercialandindustrialamountinvestedyearend,commercialandindustrialestimatedenergysavingsyearend,publicstreetandhighwaylightingnoofconsumersthisyear,publicstreetandhighwaylightingamountinvestedthisyear,publicstreetandhighwaylightingestimatedenergysavingsthisyear,publicstreetandhighwaylightingnoofconsumersyearend,publicstreetandhighwaylightingamountinvestedyearend,publicstreetandhighwaylightingestimatedenergysavingsyearend,othersalestopublicauthoritiesnoofconsumersthisyear,othersalestopublicauthoritiesamountinvestedthisyear,othersalestopublicauthoritiesestimatedenergysavingsthisyear,othersalestopublicauthoritiesnoofconsumersyearend,othersalestopublicauthoritiesamountinvestedyearend,othersalestopublicauthoritiesestimatedenergysavingsyearend,salesforresalerusborrowersnoofconsumersthisyear,salesforresalerusborrowersamountinvestedthisyear,salesforresalerusborrowersestimatedenergysavingsthisyear,salesforresalerusborrowersnoofconsumersyearend,salesforresalerusborrowersamountinvestedyearend,salesforresalerusborrowersestimatedenergysavingsyearend,salesforresaleothernoofconsumersthisyear,salesforresaleotheramountinvestedthisyear,salesforresaleotherestimatedenergysavingsthisyear,salesforresaleothernoofconsumersyearend,salesforresaleotheramountinvestedyearend,salesforresaleotherestimatedenergysavingsyearend,totalnoofconsumersthisyear,totalamountinvestedthisyear,totalestimatedenergysavingsthisyear,totalnoofconsumersyearend,totalamountinvestedyearend,totalestimatedenergysavingsyearend
2018,rusborrowerid,borrowername,year,period,residentialsalesnoofconsumersthisyear,residentialsalesamountinvestedthisyear,residentialsalesestimatedenergysavingsthisyear,residentialsalesnoofconsumersyearend,residentialsalesamountinvestedyearend,residentialsalesestimatedenergysavingsyearend,residentialsalesseasonalnoofconsumersthisyear,residentialsalesseasonalamountinvestedthisyear,residentialsalesseasonalestimatedenergysavingsthisyear,residentialsalesseasonalnoofconsumersyearend,residentialsalesseasonalamountinvestedyearend,residentialsalesseasonalestimatedenergysavingsyearend,irrigationsalesnoofconsumersthisyear,irrigationsalesamountinvestedthisyear,irrigationsalesestimatedenergysavingsthisyear,irrigationsalesnoofconsumersyearend,irrigationsalesamountinvestedyearend,irrigationsalesestimatedenergysavingsyearend,commercialandindustriallessnoofconsumersthisyear,commercialandindustriallessamountinvestedthisyear,commercialandindustriallessestimatedenergysavingsthisyear,commercialandindustriallessnoofconsumersyearend,commercialandindustriallessamountinvestedyearend,commercialandindustriallessestimatedenergysavingsyearend,commercialandindustrialnoofconsumersthisyear,commercialandindustrialamountinvestedthisyear,commercialandindustrialestimatedenergysavingsthisyear,commercialandindustrialnoofconsumersyearend,commercialandindustrialamountinvestedyearend,commercialandindustrialestimatedenergysavingsyearend,publicstreetandhighwaylightingnoofconsumersthisyear,publicstreetandhighwaylightingamountinvestedthisyear,publicstreetandhighwaylightingestimatedenergysavingsthisyear,publicstreetandhighwaylightingnoofconsumersyearend,publicstreetandhighwaylightingamountinvestedyearend,publicstreetandhighwaylightingestimatedenergysavingsyearend,othersalestopublicauthoritiesnoofconsumersthisyear,othersalestopublicauthoritiesamountinvestedthisyear,othersalestopublicauthoritiesestimatedenergysavingsthisyear,othersalestopublicauthoritiesnoofconsumersyearend,othersalestopublicauthoritiesamountinvestedyearend,othersalestopublicauthoritiesestimatedenergysavingsyearend,salesforresalerusborrowersnoofconsumersthisyear,salesforresalerusborrowersamountinvestedthisyear,salesforresalerusborrowersestimatedenergysavingsthisyear,salesforresalerusborrowersnoofconsumersyearend,salesforresalerusborrowersamountinvestedyearend,salesforresalerusborrowersestimatedenergysavingsyearend,salesforresaleothernoofconsumersthisyear,salesforresaleotheramountinvestedthisyear,salesforresaleotherestimatedenergysavingsthisyear,salesforresaleothernoofconsumersyearend,salesforresaleotheramountinvestedyearend,salesforresaleotherestimatedenergysavingsyearend,totalnoofconsumersthisyear,totalamountinvestedthisyear,totalestimatedenergysavingsthisyear,totalnoofconsumersyearend,totalamountinvestedyearend,totalestimatedenergysavingsyearend
2019,rusborrowerid,borrowername,year,period,residentialsalesnoofconsumersthisyear,residentialsalesamountinvestedthisyear,residentialsalesestimatedenergysavingsthisyear,residentialsalesnoofconsumersyearend,residentialsalesamountinvestedyearend,residentialsalesestimatedenergysavingsyearend,residentialsalesseasonalnoofconsumersthisyear,residentialsalesseasonalamountinvestedthisyear,residentialsalesseasonalestimatedenergysavingsthisyear,residentialsalesseasonalnoofconsumersyearend,residentialsalesseasonalamountinvestedyearend,residentialsalesseasonalestimatedenergysavingsyearend,irrigationsalesnoofconsumersthisyear,irrigationsalesamountinvestedthisyear,irrigationsalesestimatedenergysavingsthisyear,irrigationsalesnoofconsumersyearend,irrigationsalesamountinvestedyearend,irrigationsalesestimatedenergysavingsyearend,commercialandindustriallessnoofconsumersthisyear,commercialandindustriallessamountinvestedthisyear,commercialandindustriallessestimatedenergysavingsthisyear,commercialandindustriallessnoofconsumersyearend,commercialandindustriallessamountinvestedyearend,commercialandindustriallessestimatedenergysavingsyearend,commercialandindustrialnoofconsumersthisyear,commercialandindustrialamountinvestedthisyear,commercialandindustrialestimatedenergysavingsthisyear,commercialandindustrialnoofconsumersyearend,commercialandindustrialamountinvestedyearend,commercialandindustrialestimatedenergysavingsyearend,publicstreetandhighwaylightingnoofconsumersthisyear,publicstreetandhighwaylightingamountinvestedthisyear,publicstreetandhighwaylightingestimatedenergysavingsthisyear,publicstreetandhighwaylightingnoofconsumersyearend,publicstreetandhighwaylightingamountinvestedyearend,publicstreetandhighwaylightingestimatedenergysavingsyearend,othersalestopublicauthoritiesnoofconsumersthisyear,othersalestopublicauthoritiesamountinvestedthisyear,othersalestopublicauthoritiesestimatedenergysavingsthisyear,othersalestopublicauthoritiesnoofconsumersyearend,othersalestopublicauthoritiesamountinvestedyearend,othersalestopublicauthoritiesestimatedenergysavingsyearend,salesforresalerusborrowersnoofconsumersthisyear,salesforresalerusborrowersamountinvestedthisyear,salesforresalerusborrowersestimatedenergysavingsthisyear,salesforresalerusborrowersnoofconsumersyearend,salesforresalerusborrowersamountinvestedyearend,salesforresalerusborrowersestimatedenergysavingsyearend,salesforresaleothernoofconsumersthisyear,salesforresaleotheramountinvestedthisyear,salesforresaleotherestimatedenergysavingsthisyear,salesforresaleothernoofconsumersyearend,salesforresaleotheramountinvestedyearend,salesforresaleotherestimatedenergysavingsyearend,totalnoofconsumersthisyear,totalamountinvestedthisyear,totalestimatedenergysavingsthisyear,totalnoofconsumersyearend,totalamountinvestedyearend,totalestimatedenergysavingsyearend
