year_index,borrower_id_rus,borrower_name_rus,report_year,report_month,utility_name_eia,is_eia_borrower,supplier_code_rus,purchased_kwh,fuel_cost_total,fuel_cost_average_cents_per_kwh,fuel_cost_adjustment,fuel_cost_wheeling_and_other_charges,renewable_energy_program,fuel_type_code,fuel_type,comment
2006,rusborrowerid,borrowername,year,period,eianame,iseiaborrower,russuppliercode,kwhpurchased,totalcost,averagecostcentsperkwh,fuelcostadjustment,wheelingandothercharges,-1,-1,-1,-1
2007,rusborrowerid,borrowername,year,period,eianame,iseiaborrower,russuppliercode,kwhpurchased,totalcost,averagecostcentsperkwh,fuelcostadjustment,wheelingandothercharges,-1,-1,-1,-1
2008,rusborrowerid,borrowername,year,period,eianame,iseiaborrower,russuppliercode,kwhpurchased,totalcost,averagecostcentsperkwh,fuelcostadjustment,wheelingandothercharges,-1,-1,-1,-1
2009,rusborrowerid,borrowername,year,period,eianame,iseiaborrower,russuppliercode,kwhpurchased,totalcost,averagecostcentsperkwh,fuelcostadjustment,wheelingandothercharges,-1,-1,-1,-1
2010,rusborrowerid,borrowername,year,period,eianame,iseiaborrower,russuppliercode,kwhpurchased,totalcost,averagecostcentsperkwh,fuelcostadjustment,wheelingandothercharges,renewableenergyprogramname,fueltypeid,fueltypename,comment
2011,rusborrowerid,borrowername,year,period,eianame,iseiaborrower,russuppliercode,kwhpurchased,totalcost,averagecostcentsperkwh,fuelcostadjustment,wheelingandothercharges,renewableenergyprogramname,fueltypeid,fueltypename,comment
2012,rusborrowerid,borrowername,year,period,eianame,iseiaborrower,russuppliercode,kwhpurchased,totalcost,averagecostcentsperkwh,fuelcostadjustment,wheelingandothercharges,renewableenergyprogramname,fueltypeid,fueltypename,comment
2013,rusborrowerid,borrowername,year,period,eianame,iseiaborrower,russuppliercode,kwhpurchased,totalcost,averagecostcentsperkwh,fuelcostadjustment,wheelingandothercharges,renewableenergyprogramname,fueltypeid,fueltypename,comment
2014,rusborrowerid,borrowername,year,period,eianame,iseiaborrower,russuppliercode,kwhpurchased,totalcost,averagecostcentsperkwh,fuelcostadjustment,wheelingandothercharges,renewableenergyprogramname,fueltypeid,fueltypename,comment
2015,rusborrowerid,borrowername,year,period,eianame,iseiaborrower,russuppliercode,kwhpurchased,totalcost,averagecostcentsperkwh,fuelcostadjustment,wheelingandothercharges,renewableenergyprogramname,fueltypeid,fueltypename,comment
2016,rusborrowerid,borrowername,year,period,eianame,iseiaborrower,russuppliercode,kwhpurchased,totalcost,averagecostcentsperkwh,fuelcostadjustment,wheelingandothercharges,renewableenergyprogramname,fueltypeid,fueltypename,comment
2017,rusborrowerid,borrowername,year,period,eianame,iseiaborrower,russuppliercode,kwhpurchased,totalcost,averagecostcentsperkwh,fuelcostadjustment,wheelingandothercharges,renewableenergyprogramname,fueltypeid,fueltypename,comment
2018,rusborrowerid,borrowername,year,period,eianame,iseiaborrower,russuppliercode,kwhpurchased,totalcost,averagecostcentsperkwh,fuelcostadjustment,wheelingandothercharges,renewableenergyprogramname,fueltypeid,fueltypename,comment
2019,rusborrowerid,borrowername,year,period,eianame,iseiaborrower,russuppliercode,kwhpurchased,totalcost,averagecostcentsperkwh,fuelcostadjustment,wheelingandothercharges,renewableenergyprogramname,fueltypeid,fueltypename,comment
2020,rusborrowerid,borrowername,year,period,eianame,iseiaborrower,russuppliercode,kwhpurchased,totalcost,averagecostcentsperkwh,fuelcostadjustment,wheelingandothercharges,renewableenergyprogramname,fueltypeid,fueltypename,comment
2021,-1,-1,-1,-1,,,,,,,,,,,,
