year_index,borrower_id_rus,borrower_name,report_year,report_month,debt_description,balance_end_of_report_year,interest,principal,total
2006,rusborrowerid,borrowername,year,period,description,endofyearbalance,interest,principal,total
2007,rusborrowerid,borrowername,year,period,description,endofyearbalance,interest,principal,total
2008,rusborrowerid,borrowername,year,period,description,endofyearbalance,interest,principal,total
2009,rusborrowerid,borrowername,year,period,description,endofyearbalance,interest,principal,total
2010,rusborrowerid,borrowername,year,period,description,endofyearbalance,interest,principal,total
2011,rusborrowerid,borrowername,year,period,description,endofyearbalance,interest,principal,total
2012,rusborrowerid,borrowername,year,period,description,endofyearbalance,interest,principal,total
2013,rusborrowerid,borrowername,year,period,description,endofyearbalance,interest,principal,total
2014,rusborrowerid,borrowername,year,period,description,endofyearbalance,interest,principal,total
2015,rusborrowerid,borrowername,year,period,description,endofyearbalance,interest,principal,total
2016,rusborrowerid,borrowername,year,period,description,endofyearbalance,interest,principal,total
2017,rusborrowerid,borrowername,year,period,description,endofyearbalance,interest,principal,total
2018,rusborrowerid,borrowername,year,period,description,endofyearbalance,interest,principal,total
2019,rusborrowerid,borrowername,year,period,description,endofyearbalance,interest,principal,total
2020,rusborrowerid,borrowername,year,period,description,endofyearbalance,interest,principal,total
2021,rusborrowerid,borrowername,year,period,description,endofyearbalance,interest,principal,total
