year_index,borrower_id_rus,borrower_name_rus,report_year,report_month,distributions_general_retirements_report_year,distributions_general_retirements_cumulative,distributions_special_retirements_report_year,distributions_special_retirements_cumulative,total_distributions_retirements_report_year,total_distributions_retirements_cumulative,received_supplier_of_electric_power_report_year,received_lenders_of_electric_power_report_year,total_received_report_year
2006,rusborrowerid,borrowername,year,period,capitalcreditsdistibutionsgeneralretirementsthisyear,capitalcreditsdistibutionsgeneralretirementscumulative,capitalcreditsdistibutionsspecialretirementsthisyear,capitalcreditsdistibutionsspecialretirementscumulative,capitalcreditsdistibutionstotalretirementsthisyear,capitalcreditsdistibutionstotalretirementscumulative,capitalcreditsreceivedsupplierofelectricpowerthisyear,capitalcreditsreceivedlendersofelectricpowerthisyear,capitalcreditsreceivedtotalcashreceivedthisyear
2007,rusborrowerid,borrowername,year,period,capitalcreditsdistibutionsgeneralretirementsthisyear,capitalcreditsdistibutionsgeneralretirementscumulative,capitalcreditsdistibutionsspecialretirementsthisyear,capitalcreditsdistibutionsspecialretirementscumulative,capitalcreditsdistibutionstotalretirementsthisyear,capitalcreditsdistibutionstotalretirementscumulative,capitalcreditsreceivedsupplierofelectricpowerthisyear,capitalcreditsreceivedlendersofelectricpowerthisyear,capitalcreditsreceivedtotalcashreceivedthisyear
2008,rusborrowerid,borrowername,year,period,capitalcreditsdistibutionsgeneralretirementsthisyear,capitalcreditsdistibutionsgeneralretirementscumulative,capitalcreditsdistibutionsspecialretirementsthisyear,capitalcreditsdistibutionsspecialretirementscumulative,capitalcreditsdistibutionstotalretirementsthisyear,capitalcreditsdistibutionstotalretirementscumulative,capitalcreditsreceivedsupplierofelectricpowerthisyear,capitalcreditsreceivedlendersofelectricpowerthisyear,capitalcreditsreceivedtotalcashreceivedthisyear
2009,rusborrowerid,borrowername,year,period,capitalcreditsdistibutionsgeneralretirementsthisyear,capitalcreditsdistibutionsgeneralretirementscumulative,capitalcreditsdistibutionsspecialretirementsthisyear,capitalcreditsdistibutionsspecialretirementscumulative,capitalcreditsdistibutionstotalretirementsthisyear,capitalcreditsdistibutionstotalretirementscumulative,capitalcreditsreceivedsupplierofelectricpowerthisyear,capitalcreditsreceivedlendersofelectricpowerthisyear,capitalcreditsreceivedtotalcashreceivedthisyear
2010,rusborrowerid,borrowername,year,period,capitalcreditsdistibutionsgeneralretirementsthisyear,capitalcreditsdistibutionsgeneralretirementscumulative,capitalcreditsdistibutionsspecialretirementsthisyear,capitalcreditsdistibutionsspecialretirementscumulative,capitalcreditsdistibutionstotalretirementsthisyear,capitalcreditsdistibutionstotalretirementscumulative,capitalcreditsreceivedsupplierofelectricpowerthisyear,capitalcreditsreceivedlendersofelectricpowerthisyear,capitalcreditsreceivedtotalcashreceivedthisyear
2011,rusborrowerid,borrowername,year,period,capitalcreditsdistibutionsgeneralretirementsthisyear,capitalcreditsdistibutionsgeneralretirementscumulative,capitalcreditsdistibutionsspecialretirementsthisyear,capitalcreditsdistibutionsspecialretirementscumulative,capitalcreditsdistibutionstotalretirementsthisyear,capitalcreditsdistibutionstotalretirementscumulative,capitalcreditsreceivedsupplierofelectricpowerthisyear,capitalcreditsreceivedlendersofelectricpowerthisyear,capitalcreditsreceivedtotalcashreceivedthisyear
2012,rusborrowerid,borrowername,year,period,capitalcreditsdistibutionsgeneralretirementsthisyear,capitalcreditsdistibutionsgeneralretirementscumulative,capitalcreditsdistibutionsspecialretirementsthisyear,capitalcreditsdistibutionsspecialretirementscumulative,capitalcreditsdistibutionstotalretirementsthisyear,capitalcreditsdistibutionstotalretirementscumulative,capitalcreditsreceivedsupplierofelectricpowerthisyear,capitalcreditsreceivedlendersofelectricpowerthisyear,capitalcreditsreceivedtotalcashreceivedthisyear
2013,rusborrowerid,borrowername,year,period,capitalcreditsdistibutionsgeneralretirementsthisyear,capitalcreditsdistibutionsgeneralretirementscumulative,capitalcreditsdistibutionsspecialretirementsthisyear,capitalcreditsdistibutionsspecialretirementscumulative,capitalcreditsdistibutionstotalretirementsthisyear,capitalcreditsdistibutionstotalretirementscumulative,capitalcreditsreceivedsupplierofelectricpowerthisyear,capitalcreditsreceivedlendersofelectricpowerthisyear,capitalcreditsreceivedtotalcashreceivedthisyear
2014,rusborrowerid,borrowername,year,period,capitalcreditsdistibutionsgeneralretirementsthisyear,capitalcreditsdistibutionsgeneralretirementscumulative,capitalcreditsdistibutionsspecialretirementsthisyear,capitalcreditsdistibutionsspecialretirementscumulative,capitalcreditsdistibutionstotalretirementsthisyear,capitalcreditsdistibutionstotalretirementscumulative,capitalcreditsreceivedsupplierofelectricpowerthisyear,capitalcreditsreceivedlendersofelectricpowerthisyear,capitalcreditsreceivedtotalcashreceivedthisyear
2015,rusborrowerid,borrowername,year,period,capitalcreditsdistibutionsgeneralretirementsthisyear,capitalcreditsdistibutionsgeneralretirementscumulative,capitalcreditsdistibutionsspecialretirementsthisyear,capitalcreditsdistibutionsspecialretirementscumulative,capitalcreditsdistibutionstotalretirementsthisyear,capitalcreditsdistibutionstotalretirementscumulative,capitalcreditsreceivedsupplierofelectricpowerthisyear,capitalcreditsreceivedlendersofelectricpowerthisyear,capitalcreditsreceivedtotalcashreceivedthisyear
