year_index,borrower_id_rus,borrower_name_rus,report_year,report_month,ratio
2006,rusborrowerid,borrowername,year,period,ratio
2007,rusborrowerid,borrowername,year,period,ratio
2008,rusborrowerid,borrowername,year,period,ratio
2009,rusborrowerid,borrowername,year,period,ratio
2010,rusborrowerid,borrowername,year,period,ratio
2011,rusborrowerid,borrowername,year,period,ratio
2012,rusborrowerid,borrowername,year,period,ratio
2013,rusborrowerid,borrowername,year,period,ratio
2014,rusborrowerid,borrowername,year,period,ratio
2015,rusborrowerid,borrowername,year,period,ratio
2016,rusborrowerid,borrowername,year,period,ratio
2017,rusborrowerid,borrowername,year,period,ratio
2018,rusborrowerid,borrowername,year,period,ratio
2019,rusborrowerid,borrowername,year,period,ratio
2020,rusborrowerid,borrowername,year,period,ratio
2021,rusborrowerid,borrowername,year,period,ratio
