year_index,borrower_id_rus,borrower_name_rus,report_year,report_month,power_supplier_annual_saidi_minutes,major_event_annual_saidi_minutes,planned_annual_saidi_minutes,other_annual_saidi_minutes,total_annual_saidi_minutes,power_supplier_five_year_average_saidi_minutes,major_event_five_year_average_saidi_minutes,planned_five_year_average_saidi_minutes,other_five_year_average_saidi_minutes,total_five_year_average_saidi_minutes
2006,rusborrowerid,borrowername,year,period,presentyearpowersupplier,presentyearextremestorm,presentyearprearranged,presentyearallother,presentyeartotal,fiveyearaveragepowersupplier,fiveyearaverageextremestorm,fiveyearaverageprearranged,fiveyearaverageallother,fiveyearaveragetotal
2007,rusborrowerid,borrowername,year,period,presentyearpowersupplier,presentyearextremestorm,presentyearprearranged,presentyearallother,presentyeartotal,fiveyearaveragepowersupplier,fiveyearaverageextremestorm,fiveyearaverageprearranged,fiveyearaverageallother,fiveyearaveragetotal
2008,rusborrowerid,borrowername,year,period,presentyearpowersupplier,presentyearextremestorm,presentyearprearranged,presentyearallother,presentyeartotal,fiveyearaveragepowersupplier,fiveyearaverageextremestorm,fiveyearaverageprearranged,fiveyearaverageallother,fiveyearaveragetotal
2009,rusborrowerid,borrowername,year,period,presentyearpowersupplier,presentyearextremestorm,presentyearprearranged,presentyearallother,presentyeartotal,fiveyearaveragepowersupplier,fiveyearaverageextremestorm,fiveyearaverageprearranged,fiveyearaverageallother,fiveyearaveragetotal
2010,rusborrowerid,borrowername,year,period,presentyearpowersupplier,presentyearextremestorm,presentyearprearranged,presentyearallother,presentyeartotal,fiveyearaveragepowersupplier,fiveyearaverageextremestorm,fiveyearaverageprearranged,fiveyearaverageallother,fiveyearaveragetotal
2011,rusborrowerid,borrowername,year,period,presentyearpowersupplier,presentyearextremestorm,presentyearprearranged,presentyearallother,presentyeartotal,fiveyearaveragepowersupplier,fiveyearaverageextremestorm,fiveyearaverageprearranged,fiveyearaverageallother,fiveyearaveragetotal
2012,rusborrowerid,borrowername,year,period,presentyearpowersupplier,presentyearextremestorm,presentyearprearranged,presentyearallother,presentyeartotal,fiveyearaveragepowersupplier,fiveyearaverageextremestorm,fiveyearaverageprearranged,fiveyearaverageallother,fiveyearaveragetotal
2013,rusborrowerid,borrowername,year,period,presentyearpowersupplier,presentyearextremestorm,presentyearprearranged,presentyearallother,presentyeartotal,fiveyearaveragepowersupplier,fiveyearaverageextremestorm,fiveyearaverageprearranged,fiveyearaverageallother,fiveyearaveragetotal
2014,rusborrowerid,borrowername,year,period,presentyearpowersupplier,presentyearextremestorm,presentyearprearranged,presentyearallother,presentyeartotal,fiveyearaveragepowersupplier,fiveyearaverageextremestorm,fiveyearaverageprearranged,fiveyearaverageallother,fiveyearaveragetotal
2015,rusborrowerid,borrowername,year,period,presentyearpowersupplier,presentyearextremestorm,presentyearprearranged,presentyearallother,presentyeartotal,fiveyearaveragepowersupplier,fiveyearaverageextremestorm,fiveyearaverageprearranged,fiveyearaverageallother,fiveyearaveragetotal
2016,rusborrowerid,borrowername,year,period,presentyearpowersupplier,presentyearextremestorm,presentyearprearranged,presentyearallother,presentyeartotal,fiveyearaveragepowersupplier,fiveyearaverageextremestorm,fiveyearaverageprearranged,fiveyearaverageallother,fiveyearaveragetotal
2017,rusborrowerid,borrowername,year,period,presentyearpowersupplier,presentyearextremestorm,presentyearprearranged,presentyearallother,presentyeartotal,fiveyearaveragepowersupplier,fiveyearaverageextremestorm,fiveyearaverageprearranged,fiveyearaverageallother,fiveyearaveragetotal
2018,rusborrowerid,borrowername,year,period,presentyearpowersupplier,presentyearextremestorm,presentyearprearranged,presentyearallother,presentyeartotal,fiveyearaveragepowersupplier,fiveyearaverageextremestorm,fiveyearaverageprearranged,fiveyearaverageallother,fiveyearaveragetotal
2019,rusborrowerid,borrowername,year,period,presentyearpowersupplier,presentyearextremestorm,presentyearprearranged,presentyearallother,presentyeartotal,fiveyearaveragepowersupplier,fiveyearaverageextremestorm,fiveyearaverageprearranged,fiveyearaverageallother,fiveyearaveragetotal
2020,rusborrowerid,borrowername,year,period,presentyearpowersupplier,presentyearextremestorm,presentyearprearranged,presentyearallother,presentyeartotal,fiveyearaveragepowersupplier,fiveyearaverageextremestorm,fiveyearaverageprearranged,fiveyearaverageallother,fiveyearaveragetotal
2021,rusborrowerid,borrowername,year,period,presentyearpowersupplier,presentyearextremestorm,presentyearprearranged,presentyearallother,presentyeartotal,fiveyearaveragepowersupplier,fiveyearaverageextremestorm,fiveyearaverageprearranged,fiveyearaverageallother,fiveyearaveragetotal
