year_index,borrower_id_rus,borrower_name_rus,report_year,report_month,services_connected,services_retired,services_total,services_idle,transmission_line_length_miles,distribution_overhead_length_miles,distribution_underground_length_miles,total_energized_miles
2006,rusborrowerid,borrowername,year,period,newservicesconnected,servicesretired,totalservicesinplace,idleservices,milestransmission,milesdistributionoverhead,milesdistributionunderground,totalmilesenergized
2007,rusborrowerid,borrowername,year,period,newservicesconnected,servicesretired,totalservicesinplace,idleservices,milestransmission,milesdistributionoverhead,milesdistributionunderground,totalmilesenergized
2008,rusborrowerid,borrowername,year,period,newservicesconnected,servicesretired,totalservicesinplace,idleservices,milestransmission,milesdistributionoverhead,milesdistributionunderground,totalmilesenergized
2009,rusborrowerid,borrowername,year,period,newservicesconnected,servicesretired,totalservicesinplace,idleservices,milestransmission,milesdistributionoverhead,milesdistributionunderground,totalmilesenergized
2010,rusborrowerid,borrowername,year,period,newservicesconnected,servicesretired,totalservicesinplace,idleservices,milestransmission,milesdistributionoverhead,milesdistributionunderground,totalmilesenergized
2011,rusborrowerid,borrowername,year,period,newservicesconnected,servicesretired,totalservicesinplace,idleservices,milestransmission,milesdistributionoverhead,milesdistributionunderground,totalmilesenergized
2012,rusborrowerid,borrowername,year,period,newservicesconnected,servicesretired,totalservicesinplace,idleservices,milestransmission,milesdistributionoverhead,milesdistributionunderground,totalmilesenergized
2013,rusborrowerid,borrowername,year,period,newservicesconnected,servicesretired,totalservicesinplace,idleservices,milestransmission,milesdistributionoverhead,milesdistributionunderground,totalmilesenergized
2014,rusborrowerid,borrowername,year,period,newservicesconnected,servicesretired,totalservicesinplace,idleservices,milestransmission,milesdistributionoverhead,milesdistributionunderground,totalmilesenergized
2015,rusborrowerid,borrowername,year,period,newservicesconnected,servicesretired,totalservicesinplace,idleservices,milestransmission,milesdistributionoverhead,milesdistributionunderground,totalmilesenergized
2016,rusborrowerid,borrowername,year,period,newservicesconnected,servicesretired,totalservicesinplace,idleservices,milestransmission,milesdistributionoverhead,milesdistributionunderground,totalmilesenergized
2017,rusborrowerid,borrowername,year,period,newservicesconnected,servicesretired,totalservicesinplace,idleservices,milestransmission,milesdistributionoverhead,milesdistributionunderground,totalmilesenergized
2018,rusborrowerid,borrowername,year,period,newservicesconnected,servicesretired,totalservicesinplace,idleservices,milestransmission,milesdistributionoverhead,milesdistributionunderground,totalmilesenergized
2019,rusborrowerid,borrowername,year,period,newservicesconnected,servicesretired,totalservicesinplace,idleservices,milestransmission,milesdistributionoverhead,milesdistributionunderground,totalmilesenergized
2020,rusborrowerid,borrowername,year,period,newservicesconnected,servicesretired,totalservicesinplace,idleservices,milestransmission,milesdistributionoverhead,milesdistributionunderground,totalmilesenergized
2021,rusborrowerid,borrowername,year,period,newservicesconnected,servicesretired,totalservicesinplace,idleservices,milestransmission,milesdistributionoverhead,milesdistributionunderground,totalmilesenergized
