year_index,borrower_id_rus,borrower_name_rus,report_year,report_month,distribution_plant_additions,distribution_plant_retirements,distribution_plant_adjustments_and_transfers,distribution_plant_balance_end_of_year,general_plant_additions,general_plant_retirements,general_plant_adjustments_and_transfers,general_plant_balance_end_of_year,headquarters_plant_additions,headquarters_plant_retirements,headquarters_plant_adjustments_and_transfers,headquarters_plant_balance_end_of_year,intangibles_additions,intangibles_retirements,intangibles_adjustments_and_transfers,intangibles_balance_end_of_year,transmission_plant_additions,transmission_plant_retirements,transmission_plant_adjustments_and_transfers,transmission_plant_balance_end_of_year,regional_transmission_and_market_operation_plant_additions,regional_transmission_and_market_operation_plant_retirements,regional_transmission_and_market_operation_plant_adjustments_and_transfers,regional_transmission_and_market_operation_plant_balance_end_of_year,all_other_utility_plant_additions,all_other_utility_plant_retirements,all_other_utility_plant_adjustments_and_transfers,all_other_utility_plant_balance_end_of_year,total_utility_plant_in_service_additions,total_utility_plant_in_service_retirements,total_utility_plant_in_service_adjustments_and_transfers,total_utility_plant_in_service_balance_end_of_year,construction_work_in_progress_additions,construction_work_in_progress_balance_end_of_year,total_utility_plant_additions,total_utility_plant_retirements,total_utility_plant_adjustments_and_transfers,total_utility_plant_balance_end_of_year
2006,rusborrowerid,borrowername,year,period,distributionplantadditions,distributionplantretirements,distributionplantadjustmentsandtransfers,distributionplantbalanceendofyear,generalplantadditions,generalplantretirements,generalplantadjustmentsandtransfers,generalplantbalanceendofyear,headquartersplantadditions,headquartersplantretirements,headquartersplantadjustmentsandtransfers,headquartersplantbalanceendofyear,intangiblesadditions,intangiblesretirements,intangiblesadjustmentsandtransfers,intangiblesbalanceendofyear,transmissionplantadditions,transmissionplantretirements,transmissionplantadjustmentsandtransfers,transmissionplantbalanceendofyear,-1,-1,-1,-1,allotherutilityplantadditions,allotherutilityplantretirements,allotherutilityplantadjustmentsandtransfers,allotherutilityplantbalanceendofyear,totalutilityplantinserviceadditions,totalutilityplantinserviceretirements,totalutilityplantinserviceadjustmentsandtransfers,totalutilityplantinservicebalanceendofyear,constructionworkinprogressadditions,constructionworkinprogressbalanceendofyear,totalutilityplantadditions,totalutilityplantretirements,totalutilityplantadjustmentsandtransfers,totalutilityplantbalanceendofyear
2007,rusborrowerid,borrowername,year,period,distributionplantadditions,distributionplantretirements,distributionplantadjustmentsandtransfers,distributionplantbalanceendofyear,generalplantadditions,generalplantretirements,generalplantadjustmentsandtransfers,generalplantbalanceendofyear,headquartersplantadditions,headquartersplantretirements,headquartersplantadjustmentsandtransfers,headquartersplantbalanceendofyear,intangiblesadditions,intangiblesretirements,intangiblesadjustmentsandtransfers,intangiblesbalanceendofyear,transmissionplantadditions,transmissionplantretirements,transmissionplantadjustmentsandtransfers,transmissionplantbalanceendofyear,-1,-1,-1,-1,allotherutilityplantadditions,allotherutilityplantretirements,allotherutilityplantadjustmentsandtransfers,allotherutilityplantbalanceendofyear,totalutilityplantinserviceadditions,totalutilityplantinserviceretirements,totalutilityplantinserviceadjustmentsandtransfers,totalutilityplantinservicebalanceendofyear,constructionworkinprogressadditions,constructionworkinprogressbalanceendofyear,totalutilityplantadditions,totalutilityplantretirements,totalutilityplantadjustmentsandtransfers,totalutilityplantbalanceendofyear
2008,rusborrowerid,borrowername,year,period,distributionplantadditions,distributionplantretirements,distributionplantadjustmentsandtransfers,distributionplantbalanceendofyear,generalplantadditions,generalplantretirements,generalplantadjustmentsandtransfers,generalplantbalanceendofyear,headquartersplantadditions,headquartersplantretirements,headquartersplantadjustmentsandtransfers,headquartersplantbalanceendofyear,intangiblesadditions,intangiblesretirements,intangiblesadjustmentsandtransfers,intangiblesbalanceendofyear,transmissionplantadditions,transmissionplantretirements,transmissionplantadjustmentsandtransfers,transmissionplantbalanceendofyear,-1,-1,-1,-1,allotherutilityplantadditions,allotherutilityplantretirements,allotherutilityplantadjustmentsandtransfers,allotherutilityplantbalanceendofyear,totalutilityplantinserviceadditions,totalutilityplantinserviceretirements,totalutilityplantinserviceadjustmentsandtransfers,totalutilityplantinservicebalanceendofyear,constructionworkinprogressadditions,constructionworkinprogressbalanceendofyear,totalutilityplantadditions,totalutilityplantretirements,totalutilityplantadjustmentsandtransfers,totalutilityplantbalanceendofyear
2009,rusborrowerid,borrowername,year,period,distributionplantadditions,distributionplantretirements,distributionplantadjustmentsandtransfers,distributionplantbalanceendofyear,generalplantadditions,generalplantretirements,generalplantadjustmentsandtransfers,generalplantbalanceendofyear,headquartersplantadditions,headquartersplantretirements,headquartersplantadjustmentsandtransfers,headquartersplantbalanceendofyear,intangiblesadditions,intangiblesretirements,intangiblesadjustmentsandtransfers,intangiblesbalanceendofyear,transmissionplantadditions,transmissionplantretirements,transmissionplantadjustmentsandtransfers,transmissionplantbalanceendofyear,-1,-1,-1,-1,allotherutilityplantadditions,allotherutilityplantretirements,allotherutilityplantadjustmentsandtransfers,allotherutilityplantbalanceendofyear,totalutilityplantinserviceadditions,totalutilityplantinserviceretirements,totalutilityplantinserviceadjustmentsandtransfers,totalutilityplantinservicebalanceendofyear,constructionworkinprogressadditions,constructionworkinprogressbalanceendofyear,totalutilityplantadditions,totalutilityplantretirements,totalutilityplantadjustmentsandtransfers,totalutilityplantbalanceendofyear
2010,rusborrowerid,borrowername,year,period,distributionplantadditions,distributionplantretirements,distributionplantadjustmentsandtransfers,distributionplantbalanceendofyear,generalplantadditions,generalplantretirements,generalplantadjustmentsandtransfers,generalplantbalanceendofyear,headquartersplantadditions,headquartersplantretirements,headquartersplantadjustmentsandtransfers,headquartersplantbalanceendofyear,intangiblesadditions,intangiblesretirements,intangiblesadjustmentsandtransfers,intangiblesbalanceendofyear,transmissionplantadditions,transmissionplantretirements,transmissionplantadjustmentsandtransfers,transmissionplantbalanceendofyear,regionaltransmissionandmarketoperationplantadditions,regionaltransmissionandmarketoperationplantretirements,regionaltransmissionandmarketoperationplantadjustmentsandtransfers,regionaltransmissionandmarketoperationplantbalanceendofyear,allotherutilityplantadditions,allotherutilityplantretirements,allotherutilityplantadjustmentsandtransfers,allotherutilityplantbalanceendofyear,totalutilityplantinserviceadditions,totalutilityplantinserviceretirements,totalutilityplantinserviceadjustmentsandtransfers,totalutilityplantinservicebalanceendofyear,constructionworkinprogressadditions,constructionworkinprogressbalanceendofyear,totalutilityplantadditions,totalutilityplantretirements,totalutilityplantadjustmentsandtransfers,totalutilityplantbalanceendofyear
2011,rusborrowerid,borrowername,year,period,distributionplantadditions,distributionplantretirements,distributionplantadjustmentsandtransfers,distributionplantbalanceendofyear,generalplantadditions,generalplantretirements,generalplantadjustmentsandtransfers,generalplantbalanceendofyear,headquartersplantadditions,headquartersplantretirements,headquartersplantadjustmentsandtransfers,headquartersplantbalanceendofyear,intangiblesadditions,intangiblesretirements,intangiblesadjustmentsandtransfers,intangiblesbalanceendofyear,transmissionplantadditions,transmissionplantretirements,transmissionplantadjustmentsandtransfers,transmissionplantbalanceendofyear,regionaltransmissionandmarketoperationplantadditions,regionaltransmissionandmarketoperationplantretirements,regionaltransmissionandmarketoperationplantadjustmentsandtransfers,regionaltransmissionandmarketoperationplantbalanceendofyear,allotherutilityplantadditions,allotherutilityplantretirements,allotherutilityplantadjustmentsandtransfers,allotherutilityplantbalanceendofyear,totalutilityplantinserviceadditions,totalutilityplantinserviceretirements,totalutilityplantinserviceadjustmentsandtransfers,totalutilityplantinservicebalanceendofyear,constructionworkinprogressadditions,constructionworkinprogressbalanceendofyear,totalutilityplantadditions,totalutilityplantretirements,totalutilityplantadjustmentsandtransfers,totalutilityplantbalanceendofyear
2012,rusborrowerid,borrowername,year,period,distributionplantadditions,distributionplantretirements,distributionplantadjustmentsandtransfers,distributionplantbalanceendofyear,generalplantadditions,generalplantretirements,generalplantadjustmentsandtransfers,generalplantbalanceendofyear,headquartersplantadditions,headquartersplantretirements,headquartersplantadjustmentsandtransfers,headquartersplantbalanceendofyear,intangiblesadditions,intangiblesretirements,intangiblesadjustmentsandtransfers,intangiblesbalanceendofyear,transmissionplantadditions,transmissionplantretirements,transmissionplantadjustmentsandtransfers,transmissionplantbalanceendofyear,regionaltransmissionandmarketoperationplantadditions,regionaltransmissionandmarketoperationplantretirements,regionaltransmissionandmarketoperationplantadjustmentsandtransfers,regionaltransmissionandmarketoperationplantbalanceendofyear,allotherutilityplantadditions,allotherutilityplantretirements,allotherutilityplantadjustmentsandtransfers,allotherutilityplantbalanceendofyear,totalutilityplantinserviceadditions,totalutilityplantinserviceretirements,totalutilityplantinserviceadjustmentsandtransfers,totalutilityplantinservicebalanceendofyear,constructionworkinprogressadditions,constructionworkinprogressbalanceendofyear,totalutilityplantadditions,totalutilityplantretirements,totalutilityplantadjustmentsandtransfers,totalutilityplantbalanceendofyear
2013,rusborrowerid,borrowername,year,period,distributionplantadditions,distributionplantretirements,distributionplantadjustmentsandtransfers,distributionplantbalanceendofyear,generalplantadditions,generalplantretirements,generalplantadjustmentsandtransfers,generalplantbalanceendofyear,headquartersplantadditions,headquartersplantretirements,headquartersplantadjustmentsandtransfers,headquartersplantbalanceendofyear,intangiblesadditions,intangiblesretirements,intangiblesadjustmentsandtransfers,intangiblesbalanceendofyear,transmissionplantadditions,transmissionplantretirements,transmissionplantadjustmentsandtransfers,transmissionplantbalanceendofyear,regionaltransmissionandmarketoperationplantadditions,regionaltransmissionandmarketoperationplantretirements,regionaltransmissionandmarketoperationplantadjustmentsandtransfers,regionaltransmissionandmarketoperationplantbalanceendofyear,allotherutilityplantadditions,allotherutilityplantretirements,allotherutilityplantadjustmentsandtransfers,allotherutilityplantbalanceendofyear,totalutilityplantinserviceadditions,totalutilityplantinserviceretirements,totalutilityplantinserviceadjustmentsandtransfers,totalutilityplantinservicebalanceendofyear,constructionworkinprogressadditions,constructionworkinprogressbalanceendofyear,totalutilityplantadditions,totalutilityplantretirements,totalutilityplantadjustmentsandtransfers,totalutilityplantbalanceendofyear
2014,rusborrowerid,borrowername,year,period,distributionplantadditions,distributionplantretirements,distributionplantadjustmentsandtransfers,distributionplantbalanceendofyear,generalplantadditions,generalplantretirements,generalplantadjustmentsandtransfers,generalplantbalanceendofyear,headquartersplantadditions,headquartersplantretirements,headquartersplantadjustmentsandtransfers,headquartersplantbalanceendofyear,intangiblesadditions,intangiblesretirements,intangiblesadjustmentsandtransfers,intangiblesbalanceendofyear,transmissionplantadditions,transmissionplantretirements,transmissionplantadjustmentsandtransfers,transmissionplantbalanceendofyear,regionaltransmissionandmarketoperationplantadditions,regionaltransmissionandmarketoperationplantretirements,regionaltransmissionandmarketoperationplantadjustmentsandtransfers,regionaltransmissionandmarketoperationplantbalanceendofyear,allotherutilityplantadditions,allotherutilityplantretirements,allotherutilityplantadjustmentsandtransfers,allotherutilityplantbalanceendofyear,totalutilityplantinserviceadditions,totalutilityplantinserviceretirements,totalutilityplantinserviceadjustmentsandtransfers,totalutilityplantinservicebalanceendofyear,constructionworkinprogressadditions,constructionworkinprogressbalanceendofyear,totalutilityplantadditions,totalutilityplantretirements,totalutilityplantadjustmentsandtransfers,totalutilityplantbalanceendofyear
2015,rusborrowerid,borrowername,year,period,distributionplantadditions,distributionplantretirements,distributionplantadjustmentsandtransfers,distributionplantbalanceendofyear,generalplantadditions,generalplantretirements,generalplantadjustmentsandtransfers,generalplantbalanceendofyear,headquartersplantadditions,headquartersplantretirements,headquartersplantadjustmentsandtransfers,headquartersplantbalanceendofyear,intangiblesadditions,intangiblesretirements,intangiblesadjustmentsandtransfers,intangiblesbalanceendofyear,transmissionplantadditions,transmissionplantretirements,transmissionplantadjustmentsandtransfers,transmissionplantbalanceendofyear,regionaltransmissionandmarketoperationplantadditions,regionaltransmissionandmarketoperationplantretirements,regionaltransmissionandmarketoperationplantadjustmentsandtransfers,regionaltransmissionandmarketoperationplantbalanceendofyear,allotherutilityplantadditions,allotherutilityplantretirements,allotherutilityplantadjustmentsandtransfers,allotherutilityplantbalanceendofyear,totalutilityplantinserviceadditions,totalutilityplantinserviceretirements,totalutilityplantinserviceadjustmentsandtransfers,totalutilityplantinservicebalanceendofyear,constructionworkinprogressadditions,constructionworkinprogressbalanceendofyear,totalutilityplantadditions,totalutilityplantretirements,totalutilityplantadjustmentsandtransfers,totalutilityplantbalanceendofyear
