table_name_parent,xbrl_factoid_parent,table_name,xbrl_factoid,weight,utility_type,plant_function,plant_status
core_ferc1__yearly_balance_sheet_assets,accumulated_provision_for_depreciation_amortization_and_depletion_of_plant_utility,core_ferc1__yearly_utility_plant_summary,abandonment_of_leases,,,,
core_ferc1__yearly_balance_sheet_assets,accumulated_provision_for_depreciation_amortization_and_depletion_of_plant_utility,core_ferc1__yearly_utility_plant_summary,accumulated_provision_for_depreciation_amortization_and_depletion_of_plant_utility,1.0,total,,
core_ferc1__yearly_balance_sheet_assets,accumulated_provision_for_depreciation_amortization_and_depletion_of_plant_utility,core_ferc1__yearly_utility_plant_summary,amortization_of_other_utility_plant_utility_plant_in_service,,,,
core_ferc1__yearly_balance_sheet_assets,accumulated_provision_for_depreciation_amortization_and_depletion_of_plant_utility,core_ferc1__yearly_utility_plant_summary,amortization_of_plant_acquisition_adjustment,,,,
core_ferc1__yearly_balance_sheet_assets,accumulated_provision_for_depreciation_amortization_and_depletion_of_plant_utility,core_ferc1__yearly_utility_plant_summary,depreciation_amortization_and_depletion_utility_plant_in_service,,,,
core_ferc1__yearly_balance_sheet_assets,accumulated_provision_for_depreciation_amortization_and_depletion_of_plant_utility,core_ferc1__yearly_utility_plant_summary,depreciation_amortization_and_depletion_utility_plant_leased_to_others,,,,
core_ferc1__yearly_balance_sheet_assets,accumulated_provision_for_depreciation_amortization_and_depletion_of_plant_utility,core_ferc1__yearly_utility_plant_summary,depreciation_and_amortization_utility_plant_held_for_future_use,,,,
core_ferc1__yearly_balance_sheet_assets,accumulated_provision_for_depreciation_amortization_and_depletion_of_plant_utility,core_ferc1__yearly_utility_plant_summary,depreciation_utility_plant_in_service,,,,
core_ferc1__yearly_balance_sheet_assets,construction_work_in_progress,core_ferc1__yearly_utility_plant_summary,construction_work_in_progress,1.0,total,,
core_ferc1__yearly_balance_sheet_assets,current_and_accrued_assets,core_ferc1__yearly_balance_sheet_assets,derivative_instrument_assets_hedges_long_term,,,,
core_ferc1__yearly_balance_sheet_assets,current_and_accrued_assets,core_ferc1__yearly_balance_sheet_assets,derivative_instrument_assets_long_term,,,,
core_ferc1__yearly_balance_sheet_assets,current_and_accrued_assets,core_ferc1__yearly_balance_sheet_assets,less_derivative_instrument_assets_hedges_long_term,-1.0,,,
core_ferc1__yearly_balance_sheet_assets,current_and_accrued_assets,core_ferc1__yearly_balance_sheet_assets,less_derivative_instrument_assets_long_term,-1.0,,,
core_ferc1__yearly_balance_sheet_assets,current_and_accrued_assets,core_ferc1__yearly_balance_sheet_assets,less_noncurrent_portion_of_allowances,-1.0,,,
